_id	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y
church/N/br-a07/1325	-0.0829685019013727	-0.0527970895710186	-0.0834852404536385	-0.0877289421026738	-0.073932211369491	-0.0905776869541152	-0.0774239521384894	-0.103105358898136	-0.0850257681372132	-0.0641066827408461	-0.00132768307733482	-0.00162324200685529	-0.0610981113045307	-0.0796061224329231	-0.0104299185527858	-0.00119714007035349
church/N/br-a07/1487	-0.247760442591088	-0.0685321969425257	-0.223906608919772	-0.205022050738673	-0.238586577606277	-0.144719450896867	-0.222458479465748	-0.223310013461204	-0.207443614575697	-0.0630385251308627	-0.0013300455328103	-0.00162746131993982	-0.204646344194042	-0.102825543900825	-0.0104306134058757	-0.00119390312786378
church/N/br-a09/1417	0.082426416103058	0.0536849693763849	0.12013302589902	0.0660979437388573	0.0739288027235888	0.0592826565371409	0.103248619903407	0.0774600777211273	0.0626825270931409	0.0440564701487315	-0.00132957352295781	-0.00162363906602165	0.068264549556678	-0.0735387771195268	-0.0104310737354221	-0.00118954572874982
church/N/br-a10/1674	0.0660747423515143	0.0732222687037071	0.105818363072859	-0.0272493287794362	0.0565287771943056	0.0562317948256073	0.105513716235609	-0.0286452678337973	0.104847974038455	0.0918811234322811	-0.00133158431115625	-0.00162594280101316	0.102724833637085	-0.12177301053684	-0.0104155901139694	-0.00118613601083717
church/N/br-a10/1754	-0.0156807073018845	-0.0631093862221729	0.0181362984022664	-0.0477146147776192	-0.00461026754693585	-0.0647501721862556	0.0168300094697812	-0.0488641788119022	-0.000288746014728251	-0.0989121178029901	-0.0013272515618844	-0.0016238403029441	0.0141037532074623	0.0913031657980001	-0.0104163868884934	-0.00118759629896719
church/N/br-a10/1769	-0.0344538943893403	-0.0652108978808163	-0.123673338407108	0.00304393498701477	-0.0222230336963692	-0.0678521136072165	-0.132311778368141	-0.000593098008409276	-0.0601260514714378	-0.0419885975660548	-0.00132762065159598	-0.00162562934537174	-0.0602904523801262	0.0473517299790489	-0.0104224804179267	-0.00117651234873335
church/N/br-a10/1831	0.0563063874708289	0.0442782178089777	0.0314048781237355	-0.0270742383840598	0.0502817771753072	0.0457901836278964	0.0278359446601108	-0.0258975276679022	0.0972113249102622	0.00594431379965918	-0.00133317965519283	-0.00162376490791481	0.103398087615916	-0.0097501264784368	-0.010419519915996	-0.00116588419388121
church/N/br-a10/1850	0.000250426661479319	0.0139107684807953	-0.0506991602584117	-0.0493768523345598	0.00274794241187189	-0.0187426609816308	-0.0468463035169184	-0.0482053785931722	0.0142299670292465	0.00238167141588625	-0.00132992097273502	-0.00162347466691631	0.0271997610810826	-0.0445317871343739	-0.0104304249038982	-0.0011825750527918
church/N/br-a10/1918	-0.00168521117781701	0.0298832660167751	-0.00156875520466109	0.0125874786142301	-0.0056658797534915	0.0177063017779585	-0.00219944870606185	0.0117156640009444	0.0272695928354817	0.023259623818638	-0.00132801300649079	-0.00162106654184415	0.0196415281132943	-0.0399756977286435	-0.0104175670311485	-0.00117068332213971
church/N/br-a10/1940	0.0395652543892551	-0.103859370439485	0.049899622488924	-0.0335755951975115	0.0551368266822838	-0.0944606173132915	0.0507386197739854	-0.0339857729771625	0.187722189148404	-0.120230537693914	-0.0013267262021667	-0.00162139699848743	0.0995149891065244	0.199725402115458	-0.0104255645574349	-0.00118299952399993
church/N/br-a10/1980	-0.0327453777838276	0.036359789606151	-0.039087220642646	0.0603193370589891	-0.0430683355670016	0.0277942197443254	-0.0433451920995608	0.066661984450463	-0.00296326079035073	0.0296972093594666	-0.0013275155072776	-0.0016226301485217	-0.0177212787569158	-0.0428284210228197	-0.0104209548450295	-0.00119287873335496
church/N/br-a10/1984	0.00485696834367934	0.0961759566305017	-0.0442041270091487	0.0997452709869913	-0.0226866216530377	0.0955735480113844	-0.0495518878592054	0.105123427861941	0.00949655768457292	0.0321186193261864	-0.00132791436417351	-0.00162283107331955	-0.0106484861581075	-0.0473102550851523	-0.0104269495072952	-0.00119067055684875
church/N/br-a10/1996	0.0178628820095474	0.0634355789616077	0.0421335315093459	-0.064316300540371	0.00681258561555721	0.0612136506556578	0.0523688982376876	-0.0632266014748592	0.0113919638937756	0.0485979170691328	-0.00132962715345863	-0.00162305904454026	0.00384422412780597	-0.0737537918874179	-0.0104305607646621	-0.00118900046245088
church/N/br-a10/2022	-0.0196792398958695	-0.0149739385199171	0.00707805005224447	-0.0271586807305682	-0.0180030531857088	-0.0221015651714586	0.0106999625323662	-0.0336227403119284	-0.0248728959238727	-0.026485689469146	-0.00132712782494339	-0.00162480844348389	-0.0129943416381778	-0.00385923285581766	-0.0104320037928726	-0.00119046972913268
church/N/br-a16/453	0.242932041294172	0.0913897316613623	0.229303321795727	0.00104520091120709	0.226766142133538	0.141973707475609	0.234843715291845	0.0333844908149415	0.115057021249292	0.192831062119433	-0.00132966459484135	-0.00162370493454658	0.125560617607118	-0.207906017121773	-0.0104215627574303	-0.00117759865437039
church/N/br-a17/2228	-0.0208472269975299	0.0421164429595918	-0.0473578122290226	0.074756504151829	-0.02876102747734	0.0491053651382561	-0.053256750197243	0.0800416210738947	-0.0393096043635492	0.0484825530760107	-0.0013282204508704	-0.00162205631811508	-0.0700719260753453	-0.0183878065202853	-0.0104322577920834	-0.00119001338947621
