id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre	wordform	msOct	determiner	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization	msOct4
church/NN/br-a01/2073	-0.28243034546713	0.138357951282884	church	NN	press_reportage	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	NN	informative	1	0	2.31	0	3	church	others	church	c3	none	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-d01/1628	-0.140346685373402	-0.34959737613883	church	NN	religion	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	NN	informative	3	1	2.53	0.33	3	church	others	church	a2	a	no	no	B	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/1641	0.180145812036472	-0.170289529129638	church	NN	religion	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	NN	informative	2	1	2.84	0.5	3	church	others	church	a2	the	no	yes	B	singular	no	no	no	no	no	yes	no	NA	yes	a
church/NN/br-d02/706	0.0207301256616677	-0.0928257740135179	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	NN	informative	4	4	2.07	1	7	church	others	church	a2	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/786	-0.0828117441146127	0.327530924289524	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	NN	informative	3	0	2.82	0	3	church	others	church	a2	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/877	0.180667563079573	-0.140248667600494	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	NN	informative	4	3	2.57	0.75	3	church	others	church	a2	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/923	0.201781044158367	0.0945196850241661	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world	NN	informative	3	1	1.66	0.33	4	church	others	church	a1	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/949	-0.0392726934760285	-0.248475547720032	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need	NN	informative	2	1	2	0.5	3	church	others	church	a1	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/969	-0.0721009286614226	-0.177589812537831	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	NN	informative	4	3	2.16	0.75	3	church	others	church	a1	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d03/1080	0.185092480087274	0.0370663855890074	church	NN	religion	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good	NN	informative	2	1	2.03	0.5	4	church	others	church	c3	none	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-d03/1342	0.00520049409649391	-0.00748607662061362	church	NN	religion	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the	NN	informative	5	2	2.05	0.4	7	church	others	church	c3	none	yes	no	?	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-d03/1350	0.00768426176858043	-0.00957280602834206	church	NN	religion	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	NN	informative	5	4	2.38	0.8	10	church	others	church	c3	NA	yes	NA	?	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-d03/1871	0.107077319021524	-0.0387339950351431	church	NN	religion	B	B	AB	AB	catholic_church%1:14:00::	B1	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	NNP	informative	2	2	2.84	1	7	Church	others	Church	a2	the	no	yes	B	singular	yes	no	no	no	no	yes	no	NA	yes	a
church/NN/br-d03/1909	0.138242181209534	-0.0598569520515469	church	NN	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	NNP	informative	6	2	2.88	0.33	4	Church	others	Church	a2	the	no	yes	B	singular	yes	yes	no	no	no	no	no	NA	yes	a
church/NN/br-d03/2097	0.0553181441935858	-0.0553694809851168	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Canterbury. The good feeling which exists between these two important <font color=green>church</font>  figures is now well known in England. The Holy Sacrifice	NN	informative	4	0	2.18	0	4	church	others	church	a2	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d03/2336	0.074345959941526	-0.0175989509524562	church	NN	religion	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	NN	informative	2	1	2.99	0.5	6	church	others	church	c1	a	yes	no	D	singular	no	no	no	no	no	yes	no	no	no	c
church/NN/br-d03/2341	0.0965285940226689	-0.0205930371842551	church	NN	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	NNP	informative	2	1	3.17	0.5	5	Church	others	Church	a1	NA	no	NA	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-d03/721	0.286006660363547	0.00576490868826145	church	NN	religion	B	B	AB	AB	church%1:06:00::	D	D	DE	CDE	 crowds going in and out of the Birmingham Oratory( Catholic) <font color=green>Church</font>  on Sunday mornings. She found this a marvel because, as	NNP	informative	1	0	2.85	0	3	Church	others	Church	c1	the	yes	yes	D	singular	yes	no	no	yes	no	yes	no	no	no	c
church/NN/br-d03/862	0.0447651694236176	0.0217293886347439	church	NN	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 to a newspaper report of the 1961 statistics of the <font color=green>Church</font>  of England, the`` total of confirmed members is 9748000, but	NNP	informative	3	2	2.45	0.67	5	Church	others	Church	a2	the	no	yes	B	singular	yes	yes	no	no	no	no	no	NA	yes	a
church/NN/br-d03/883	0.151545815596865	0.318577073444841	church	NN	religion	C	C	C	CDE	church_roll%1:10:00::	C	C	C	CDE	 is 9748000, but only 2887671 are registered on the parochial <font color=green>church</font>  rolls'', and`` over 27 million people in England are baptized	NN	informative	4	3	2.58	0.75	3	church	others	church	b	NA	no	NA	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-d03/899	0.21669872107756	-0.0751803866788901	church	NN	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 over 27 million people in England are baptized into the <font color=green>Church</font>  of England, but roughly only a tenth of them continue	NNP	informative	3	2	2.86	0.67	3	Church	others	Church	a2	the	no	yes	B	singular	yes	yes	no	no	no	no	no	NA	yes	a
church/NN/br-d03/945	0.0788896256058915	0.0185876010412508	church	NN	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 than an Archbishops' Commission`` reported last month that in the <font color=green>Church</font>  of England alone there are 790 churches which are redundant	NNP	informative	1	0	2.22	0	4	Church	others	Church	a2	the	no	yes	B	singular	yes	yes	no	no	no	no	no	NA	yes	a
church/NN/br-d04/56	0.0360805800806549	-0.140415442960188	church	NN	religion	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 Jesus Christ the unique and the universal concur. Perhaps no <font color=green>church</font>  father saw this concurrence of the unique and the universal	NN	informative	4	6	2.34	1.5	6	church	others	church	a1	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-f15/713	0.219627414482416	-0.0239199857524765	church	NN	popular_lore	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 permit birth control only for medical reasons. The Roman Catholic <font color=green>Church</font> , however, sanctions a much more liberal policy on family planning	NNP	informative	5	3	2.82	0.6	4	Church	others	Church	a2	the	no	yes	B	singular	yes	no	no	no	no	yes	no	NA	yes	a
church/NN/br-f15/754	0.167970555793462	0.00390748141934253	church	NN	popular_lore	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 disagree over the methods to be used. The Roman Catholic <font color=green>Church</font>  sanctions only abstention or the rhythm method, also known as	NNP	informative	1	0	2.87	0	5	Church	others	Church	a2	the	no	yes	B	singular	yes	no	no	no	no	yes	no	NA	yes	a
church/NN/br-f15/776	0.138972944416264	0.0769742241030369	church	NN	popular_lore	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 as the use of the infertile or safe period. The <font color=green>Church</font>  considers this to be the method provided by nature and	NNP	informative	3	2	1.78	0.67	4	Church	others	Church	a2	the	no	yes	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-f15/862	0.315063726683969	-0.125265800784247	church	NN	popular_lore	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 there seems little chance of agreement. The grounds for the <font color=green>Church</font>  's position are Scriptural( Old Testament), the teachings of the	NNP	informative	3	1	1.84	0.33	2	Church	others	Church	a2	the	no	yes	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-f15/882	0.0679442874316989	-0.0675727710107868	church	NN	popular_lore	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 the teachings of the fathers and doctors of the early <font color=green>Church</font> , the unbroken tradition of nineteen centuries, the decisions of the	NNP	informative	4	3	1.89	0.75	4	Church	others	Church	a1	the	no	yes	A	singular	yes	no	no	no	no	yes	no	NA	yes	a
church/NN/br-f44/1076	0.109625979706833	0.0880276491297121	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 and economic level of the congregation; the mission of the <font color=green>church</font>  is actually a process of informal co-optation; the lay ministry	NN	informative	5	2	2.6	0.4	4	church	others	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-f44/1122	0.0317785929937601	0.058098930419904	church	NN	popular_lore	D	D	DE	CDE	church%1:14:00::	B	B	AB	AB	 process of co-optation so long as the environs of the <font color=green>church</font>  provide a sufficient pool of people who can fit the	NN	informative	1	0	1.5	0	4	church	others	church	c2	the	yes	yes	?	singular	no	no	no	no	no	no	yes	no	no	c
church/NN/br-f44/1285	0.0947025880443968	0.0482767721138316	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 co-optation is the principal form of mission in the contemporary <font color=green>church</font> ; economic integration and co-optation are the two methods by which	NN	informative	3	2	2.11	0.67	5	church	others	church	b	the	no	yes	?	singular	no	no	yes	no	no	no	yes	no	yes	b
church/NN/br-f44/1618	0.0860178585568162	0.0681512880917508	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 in the metropolis. It now becomes evident that the denominational <font color=green>church</font>  is intimately involved with the economy of middle-class culture, for	NN	informative	5	3	1.72	0.6	6	church	others	church	b	the	no	yes	C	singular	no	no	no	no	no	yes	yes	no	yes	b
church/NN/br-f44/2150	0.0395975093945614	0.0360142764912732	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 will occupy our attention under the rubric of the organization <font color=green>church</font> . An understanding of the new role of residential association in	NN	informative	3	3	1.76	1	6	church	others	church	a2	the	no	yes	?	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-f44/368	0.0123172397651294	0.0289720365210656	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 they can lose higher- and lower status members from the <font color=green>church</font>  without collapsing, but they need adequate recruits for the core	NN	informative	3	2	1.84	0.67	6	church	others	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-f44/647	0.0336311095669687	-0.0234817244670522	church	NN	popular_lore	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 denominations. There is much talk in theological circles about the`` <font color=green>Church</font>  as Mission'' and the`` Church 's Mission''; theologians have been	NNP	informative	4	4	2.82	1	6	Church	others	Church	a1	the	no	yes	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-f44/654	0.0644239143607804	-0.0305168154545164	church	NN	popular_lore	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 in theological circles about the`` Church as Mission'' and the`` <font color=green>Church</font>  's Mission''; theologians have been stressing the fact that the	NNP	informative	4	2	3.3	0.5	3	Church	others	Church	a2	the	no	yes	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-f44/667	-0.342179933052264	-0.456568527618538	church	NN	popular_lore	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 's Mission''; theologians have been stressing the fact that the <font color=green>Church</font>  does not exist for its own sake but as a	NNP	informative	4	1	2.49	0.25	1	Church	others	Church	a1	the	no	yes	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-f44/924	0.0674629953383992	0.0674702965259219	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 with friendly members the`` contacts with an organization of the <font color=green>church</font> ''( 11.2 per cent of the cases), then a substantial two	NN	informative	3	3	2.48	1	4	church	others	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-f44/986	-0.000508419674808435	0.0177597435704846	church	NN	popular_lore	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 people; the new people respond in kind by joining the <font color=green>church</font> . Missionary outreach by friendly contact looks somewhat different when one	NN	informative	4	2	1.82	0.5	7	church	others	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-g12/1271	0.202310374256961	-0.285514061650975	church	NN	belles_lettres	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 and gestured toward the Madeleine. The classical lines of the <font color=green>church</font>  which Napoleon thought of as a Temple of Glory, dominated	NN	informative	5	2	2.65	0.4	3	church	others	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-g12/1807	-0.193824167370793	0.268597628907946	church	NN	belles_lettres	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 not attractive, but it is deeper. When you pass a <font color=green>church</font>  on an Irish bus, all the hands flurry in the	NN	informative	2	1	2.12	0.5	2	church	others	church	c1	a	yes	no	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-g12/544	-0.258690418218397	0.0580694310962636	church	NN	belles_lettres	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 the Madeleine and across to a sidewalk cafe opposite that <font color=green>church</font> . The conversation that ensued may have been engrossing but it	NN	informative	4	3	2.1	0.75	5	church	others	church	c1	that	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-h17/1199	-0.00769959623274431	0.0760133800215594	church	NN	miscellaneous	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 because of his willingness to kill in defense of his <font color=green>church</font>  and home. Upon administrative approval of the reclassification, he was	NN	informative	2	1	1.91	0.5	5	church	tech	church	b	his	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-h17/1434	0.0571477203183343	0.0537869763075613	church	NN	miscellaneous	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 preaching and from 20 to 25 hours per month to <font color=green>church</font>  activities. His claim was therefore`` so highly exaggerated'', the Department	NN	informative	1	1	1.92	1	5	church	tech	church	b1	NA	no	NA	C	singular	no	no	no	no	no	no	yes	yes	no	b
church/NN/br-j23/1105	0.107226533790128	0.107666386984775	church	NN	learned	C	C	C	CDE	church_member%1:18:00::	C	C	C	CDE	 which is reflective of our common religion. Even the non <font color=green>church</font>  members- the freewheelers, marginal religionists and so on- have the	NN	informative	2	1	2.49	0.5	2	church	tech	church	a2	NA	no	NA	?	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-j57/2237	0.0997680679912152	-0.196603548326202	church	NN	learned	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 which reached Christianity by the way of Stoicism through the <font color=green>Church</font>  Fathers of Late Antiquity.	NNP	informative	3	2	2.38	0.67	2	Church	tech	Church	a1	NA	no	NA	A	singular	yes	no	no	no	no	no	no	NA	yes	a
church/NN/br-j57/958	-0.0121788626645201	-0.0534503461286417	church	NN	learned	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 all possessions. This conception was taken up by the early <font color=green>Church</font>  Fathers and by canon lawyers and theologians in the Middle	NNP	informative	5	3	1.93	0.6	5	Church	tech	Church	a1	NA	no	NA	A	singular	yes	no	no	no	no	yes	no	NA	yes	a
church/NN/br-j58/1496	-0.0490344929051636	0.113718997964759	church	NN	learned	D	D	DE	CDE	church_bell%1:06:00::	D	D	DE	CDE	 In many Northern towns and cities meetings were held and <font color=green>church</font>  bells were tolled. Such was not the case in Rhode	NN	informative	4	1	1.76	0.25	4	church	tech	church	c1	NA	yes	NA	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1076	-0.0450259020561935	0.023153038165006	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 There were two liquor saloons not very far from the <font color=green>church</font> , one white, that is conducted for white people with a	NN	imaginative	4	3	1.92	0.75	6	church	imag	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1117	-0.26554408225324	0.252695517715736	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of gambling in both. On the other side of the <font color=green>church</font>  was a quiet, well-kept house with shutters and recently painted	NN	imaginative	4	0	2.91	0	2	church	imag	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1145	-0.00170368254583773	0.395663117274826	church	NN	fiction_gral	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 it. It was called Kent House. The deacon of the <font color=green>church</font> , Carlson, was its janitor. One of the leading members of	NN	imaginative	3	0	2	0	2	church	imag	church	c2	the	yes	yes	?	singular	no	no	no	no	no	no	yes	no	no	c
church/NN/br-k04/1353	-0.0809519356270127	0.129549940744016	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 tract of land, and it occurred to him that the <font color=green>church</font>  and the better Negro homes might gradually be moved to	NN	imaginative	3	1	1.65	0.33	3	church	imag	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1419	-0.0592320480319008	0.00564174871943442	church	NN	fiction_gral	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 stress, and that was that the contribution to the general <font color=green>church</font>  expenses, the dollar money, had been seriously falling behind in	NN	imaginative	3	3	1.82	1	6	church	imag	church	b	NA	no	NA	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-k04/1433	-0.0970915991136663	-0.0293204252739052	church	NN	fiction_gral	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 the dollar money, had been seriously falling behind in this <font color=green>church</font> , and that must be looked after immediately. In fact, he	NN	imaginative	1	1	1.77	1	4	church	imag	church	b	this	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-k04/1485	0.0299249183415734	-0.00545133932908836	church	NN	fiction_gral	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 that clear as this was, they must have a better <font color=green>church</font> , a more business-like conduct of the church organization, and an	NN	imaginative	2	1	2.69	0.5	4	church	imag	church	b	a	no	no	?	singular	no	no	yes	no	no	no	yes	no	yes	b
church/NN/br-k04/1493	0.0330029182072035	-0.0037273625030432	church	NN	fiction_gral	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 have a better church, a more business-like conduct of the <font color=green>church</font>  organization, and an effort to get this religious center out	NN	imaginative	4	2	2.56	0.5	5	church	imag	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-k04/1514	0.0481587631546346	0.0601906034044981	church	NN	fiction_gral	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 out of its rut of wild worship into a modern <font color=green>church</font>  organization. He emphasized to the Presiding Elder the plan of	NN	imaginative	5	2	2.28	0.4	5	church	imag	church	b	NA	no	NA	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-k04/1530	-0.0688768606378419	0.0583256618571532	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 the Presiding Elder the plan of giving up the old <font color=green>church</font>  and moving across the river. The Presiding Elder was sure	NN	imaginative	5	1	1.37	0.2	2	church	imag	church	c1	the	yes	yes	D	singular	no	no	yes	no	no	no	no	no	no	c
church/NN/br-k04/1578	-0.034538407401507	0.00346493369124428	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 impossible. The bank which held the mortgage on the old <font color=green>church</font>  declared that the interest was considerably in arrears, and the	NN	imaginative	2	1	1.39	0.5	5	church	imag	church	c1	the	yes	yes	D	singular	no	no	yes	no	no	no	no	no	no	c
church/NN/br-k04/1634	-0.125965197378879	0.0597112833831173	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 to colored folk. When it was proposed to rebuild the <font color=green>church</font> , Wilson found that the terms for a new mortgage were	NN	imaginative	2	0	1.96	0	4	church	imag	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1685	0.147395264037642	-0.222014233577708	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 made to his Deacon Board, he met unanimous opposition. The <font color=green>church</font>  certainly would not be removed. The very proposition was sacrilege	NN	imaginative	3	0	2.19	0	3	church	imag	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1807	-0.130888397943098	0.101782839104459	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 of money that has been invested by whites around that <font color=green>church</font> ? Tenements, stores, saloons, some gambling, I hope not too much	NN	imaginative	5	2	2.09	0.4	4	church	imag	church	c1	that	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
church/NN/br-k04/1874	-0.151110228083071	0.158112354533837	church	NN	fiction_gral	D	D	DE	CDE	church%1:06:00::	D	D	DE	CDE	 were you I would just plan to repair the old <font color=green>church</font>  so it would last for five or ten years. By	NN	imaginative	3	3	2.05	1	3	church	imag	church	c1	the	yes	yes	D	singular	no	no	yes	no	no	no	no	no	no	c
church/NN/br-k04/2301	0.0696005957868116	0.0101559364963598	church	NN	fiction_gral	B	B	AB	AB	methodist_church%1:14:00::	B2	B	AB	AB	 mean practically the end of his career in the Methodist <font color=green>church</font> , if not in all churches.	NN	imaginative	3	1	1.83	0.33	4	church	imag	church	a2	the	no	yes	B	singular	no	no	no	no	no	yes	no	NA	yes	a
church/NN/br-k04/356	-0.0827611437970841	0.018870869962959	church	NN	fiction_gral	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 with the whites, especially the rich who partly supported the <font color=green>church</font> . The Deacon Board, headed by a black man named Carlson	NN	imaginative	7	4	1.72	0.57	6	church	imag	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-k04/397	-0.0134526542539279	-0.00288975675788469	church	NN	fiction_gral	C	C	C	CDE	church%1:06:00::	D	D	DE	CDE	 support of the Amen corner. The characteristic thing about this <font color=green>church</font>  was its Amen corner and the weekly religious orgy. A	NN	imaginative	4	4	2.13	1	5	church	imag	church	b	this	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-k04/828	-0.0211100814060076	0.0156832254432347	church	NN	fiction_gral	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 the home of one of the old members of the <font color=green>church</font> , a woman named Catt who, as Wilson afterward found, was	NN	imaginative	2	1	1.81	0.5	5	church	imag	church	b	the	no	yes	C	singular	no	no	no	no	no	no	yes	no	yes	b
