_id	model.x	model.y	lemma	wf	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw
country/NN/br-b20/2202	-0.000207662244097951	-0.0153406955549433	country	country	NN	press_editorial	press	B2	B	B23	B	country%1:14:00::	B2	B	BB2	B	 more serious should the cold war mount in frenzy. The <font color=green>country</font>  is committed to the doctrine of security by military means	5	3	1.31	0.6	9
country/NN/br-b20/308	-0.0115522506054985	-0.0126714010927146	country	country	NN	press_editorial	press	B4	B	B14	B	country%1:15:00::	B1	B	B1	B	 that of diplomatic policy''. Morrison points out that since our <font color=green>country</font>  is more urbanized than the Soviet Union or Red China	5	3	1.68	0.6	8
country/NN/br-c01/2379	0.00262795110401252	-0.00150856821310336	country	country	NN	press_reviews	press	B	B	B14	B	country%1:14:00::	B2	B	BB2	B	 in this last of the Russian films to reach this <font color=green>country</font>  in the program of joint cultural exchange. Also on the	4	3	1.45	0.75	9
country/NN/br-c01/621	0.0570197036507289	-0.184016686506354	country	country	NN	press_reviews	press	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 extraordinary, considers the finest house of its kind in the <font color=green>country</font> - and of course he does n't weep at the capacity	3	1	1.21	0.33	5
country/NN/br-c01/944	-0.110706620882979	-0.111859964634795	country	country	NN	press_reviews	press	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 bookers, cancellation of one of the richest bookings in the <font color=green>country</font> . Will somebody please reopen the Auditorium? Paintings and drawings by	2	0	1.74	0	5
country/NN/br-c02/2222	-0.0677795305018542	-0.133173052445299	country	country	NN	press_reviews	press	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 storylines too. He intimated that they were n't doing the <font color=green>country</font>  much good in the Cold War. And to an industry	2	0	1.29	0	4
country/NN/br-c02/2265	-0.0190582274368449	-0.0774594190672977	country	country	NN	press_reviews	press	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 globe'', he said,`` the major source of impressions about this <font color=green>country</font>  are in the movies they meet. Would we want a	1	0	0.98	0	7
country/NN/br-d03/1224	-0.0193237011809686	-0.024817616616825	country	country	NN	religion	non-fiction	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 seems no longer very meaningful to call England a`` Protestant <font color=green>country</font> ''. One of the ironies of the present crusade for Christian	2	2	1.26	1	7
country/NN/br-d03/1509	-0.0463272373195113	-0.0566846150076298	country	country	NN	religion	non-fiction	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 Faith of our Fathers: Mary 's prayers/ Shall win our <font color=green>country</font>  back to thee''. The English saints are widely venerated, quite	3	1	1.56	0.33	6
country/NN/br-d03/249	-0.0335591111487359	-0.0339525919862479	country	country	NN	religion	non-fiction	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 century literature of England, I knew only a Protestant dominated <font color=green>country</font> . Since arriving here, however, I have formed a far different	3	3	1.26	1	7
country/NN/br-e28/1281	0.0131565528968555	-0.0108297643041515	country	country	NN	skill_and_hobbies	non-fiction	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 some benefit they can share? In one company covering the <font color=green>country</font>  with a high quality sales force of 10 men, the	2	2	0.94	1	8
country/NN/br-e29/1920	-0.0189334689702339	-0.00650175133704337	country	country	NN	skill_and_hobbies	non-fiction	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 a candidate. Since there are almost no schools in the <font color=green>country</font>  offering graduate work in interior design this rule cannot at	2	1	0.67	0.5	9
country/NN/br-e30/1177	0.0393094832854824	0.00914274796680018	country	country	NN	skill_and_hobbies	non-fiction	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 What 's your profit margin? In what section of the <font color=green>country</font>  are you located? Are you in a rural or urban	4	2	1.14	0.5	6
country/NN/br-e31/1795	0.0634398276162607	-0.115718632034884	country	country	NN	skill_and_hobbies	non-fiction	B4	B	B14	B	country%1:15:00::;1:14:00::	B1	B	B1	B	 and( 6) more education. The more people learn about their <font color=green>country</font> , the more they want to learn. Camping is family fun	3	4	1.01	1.33	7
country/NN/br-e31/1819	-0.036446179575479	-0.0605755767137255	country	country	NN	skill_and_hobbies	non-fiction	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 and it is helping more Americans see more of the <font color=green>country</font>  than they ever saw before. But make no mistake about	2	2	0.89	1	9
country/NN/br-f03/2248	-0.0731719374860531	-0.0511265755046577	country	country	NN	popular_lore	fiction	A	A	A	A	country%1:15:01::	A	A	A	A	 the convention, Depew was seated on the porch of a <font color=green>country</font>  home on the Hudson, gazing at the opposite shore.	4	4	1.87	1	7
country/NN/br-f13/1645	-0.0427773244712908	0.0352233450819293	country	country	NN	popular_lore	fiction	A	A	A	A	country%1:15:01::	A	A	A	A	 a neighborhood of well-kept homes. There are slums in the <font color=green>country</font>  as well as in the city. Few rural areas are	5	4	0.93	0.8	7
country/NN/br-f13/637	0.0398432230180095	0.0535884741614079	country	country	NN	popular_lore	fiction	A	A	A	A	country%1:15:01::	A	A	A	A	 Generally, the same level of living costs less in the <font color=green>country</font>  than in the city. The savings are not as great	3	3	1.13	1	6
country/NN/br-f13/701	0.00246036486962238	0.0104717133376081	country	country	NN	popular_lore	fiction	A	A	A	A	country%1:15:01::	A	A	A	A	 similar municipal services are of equal quality in city and <font color=green>country</font> , real estate taxes are usually about the same. A part-time	4	2	0.96	0.5	10
country/NN/br-f15/2048	0.0162689001403399	-0.0478489596163025	country	country	NN	popular_lore	fiction	B1	B	B14	B	country%1:14:00::	B2	B	BB2	B	 translated into action by the majority of people in this <font color=green>country</font> . Repeated polls have disclosed that most married couples are now	4	3	1.82	0.75	8
country/NN/br-f15/235	0.015559269920582	-0.0473318774953338	country	country	NN	popular_lore	fiction	B4	B	B14	B	country%1:14:00::	B2	B	BB2	B	 more tension, rancor and strife among religious groups in this <font color=green>country</font>  than the birth-control issue. It has flared up periodically on	3	2	0.98	0.67	6
