cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_1	ann_3	ann_2	votes	conc_distance	conc_id
hoop/noun/nrc_handelsblad_19991009_120/2290/L0	hoop/noun/nrc_handelsblad_19991009_120/2290	L0	een	det	een/det	een	True	L	1	0.36697876	11075723	25530	FALSE	FALSE	FALSE	0	1	hoop/noun/nrc_handelsblad_19991009_120/2290/L0
hoop/noun/nrc_handelsblad_19991009_120/2290/L1	hoop/noun/nrc_handelsblad_19991009_120/2290	L1	vooralsnog	adv	vooralsnog/adv	vooralsnog	True	L	2	0.6519644	13828	42	FALSE	FALSE	FALSE	0	2	hoop/noun/nrc_handelsblad_19991009_120/2290/L1
hoop/noun/nrc_handelsblad_19991009_120/2290/L2	hoop/noun/nrc_handelsblad_19991009_120/2290	L2	laat_over	verb	laat_over/verb	laat	True	L	3	-0.416175	14254	15	TRUE	FALSE	TRUE	2	3	hoop/noun/nrc_handelsblad_19991009_120/2290/L2
hoop/noun/nrc_handelsblad_19991009_120/2290/L3	hoop/noun/nrc_handelsblad_19991009_120/2290	L3	publiek	noun	publiek/noun	publiek	True	L	4	-0.019247236	89319	140	FALSE	FALSE	FALSE	0	4	hoop/noun/nrc_handelsblad_19991009_120/2290/L3
hoop/noun/nrc_handelsblad_19991009_120/2290/L4	hoop/noun/nrc_handelsblad_19991009_120/2290	L4	groot	adj	groot/adj	grote	True	L	5	0.013668241000000001	774779	1252	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_19991009_120/2290/L4
hoop/noun/nrc_handelsblad_19991009_120/2290/L5	hoop/noun/nrc_handelsblad_19991009_120/2290	L5	het	det	het/det	het	True	L	6	-0.15225483	11650779	15954	FALSE	FALSE	FALSE	0	6	hoop/noun/nrc_handelsblad_19991009_120/2290/L5
hoop/noun/nrc_handelsblad_19991009_120/2290/L6	hoop/noun/nrc_handelsblad_19991009_120/2290	L6	naar	prep	naar/prep	naar	True	L	7	-0.03765903	1512452	2319	FALSE	FALSE	FALSE	0	7	hoop/noun/nrc_handelsblad_19991009_120/2290/L6
hoop/noun/nrc_handelsblad_19991009_120/2290/L7	hoop/noun/nrc_handelsblad_19991009_120/2290	L7	communicatie	noun	communicatie/noun	communicatie	True	L	8	-0.23660636	11898	15	FALSE	FALSE	FALSE	0	8	hoop/noun/nrc_handelsblad_19991009_120/2290/L7
hoop/noun/nrc_handelsblad_19991009_120/2290/L8	hoop/noun/nrc_handelsblad_19991009_120/2290	L8	de	det	de/det	de	True	L	9	0.16304721	28074105	52673	FALSE	FALSE	FALSE	0	9	hoop/noun/nrc_handelsblad_19991009_120/2290/L8
hoop/noun/nrc_handelsblad_19991009_120/2290/L9	hoop/noun/nrc_handelsblad_19991009_120/2290	L9	maar	vg	maar/vg	maar	True	L	10	NA	NA	NA	TRUE	FALSE	FALSE	1	10	hoop/noun/nrc_handelsblad_19991009_120/2290/L9
hoop/noun/nrc_handelsblad_19991009_120/2290/L10	hoop/noun/nrc_handelsblad_19991009_120/2290	L10	,	punct	,/punct	,	True	L	11	NA	NA	NA	FALSE	FALSE	FALSE	0	11	hoop/noun/nrc_handelsblad_19991009_120/2290/L10
hoop/noun/nrc_handelsblad_19991009_120/2290/L11	hoop/noun/nrc_handelsblad_19991009_120/2290	L11	onderken	verb	onderken/verb	onderkend	True	L	12	NA	NA	NA	FALSE	FALSE	FALSE	0	12	hoop/noun/nrc_handelsblad_19991009_120/2290/L11
hoop/noun/nrc_handelsblad_19991009_120/2290/L12	hoop/noun/nrc_handelsblad_19991009_120/2290	L12	word	verb	word/verb	werd	True	L	13	-0.09748684	3486710	5045	FALSE	FALSE	FALSE	0	13	hoop/noun/nrc_handelsblad_19991009_120/2290/L12
hoop/noun/nrc_handelsblad_19991009_120/2290/L13	hoop/noun/nrc_handelsblad_19991009_120/2290	L13	kring	noun	kring/noun	kringen	True	L	14	-0.30158833	15242	18	FALSE	FALSE	FALSE	0	14	hoop/noun/nrc_handelsblad_19991009_120/2290/L13
hoop/noun/nrc_handelsblad_19991009_120/2290/L14	hoop/noun/nrc_handelsblad_19991009_120/2290	L14	breed	adj	breed/adj	brede	True	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0	15	hoop/noun/nrc_handelsblad_19991009_120/2290/L14
hoop/noun/nrc_handelsblad_19991009_120/2290/L15	hoop/noun/nrc_handelsblad_19991009_120/2290	L15	in	prep	in/prep	in	True	L	16	0.19974847	9492181	18439	FALSE	FALSE	FALSE	0	16	hoop/noun/nrc_handelsblad_19991009_120/2290/L15
hoop/noun/nrc_handelsblad_19991009_120/2290/R0	hoop/noun/nrc_handelsblad_19991009_120/2290	R0	te	fixed	te/fixed	te	True	R	1	NA	NA	NA	FALSE	TRUE	TRUE	2	1	hoop/noun/nrc_handelsblad_19991009_120/2290/R0
hoop/noun/nrc_handelsblad_19991009_120/2290/R1	hoop/noun/nrc_handelsblad_19991009_120/2290	R1	wensen	fixed	wensen/fixed	wensen	True	R	2	NA	NA	NA	FALSE	TRUE	TRUE	2	2	hoop/noun/nrc_handelsblad_19991009_120/2290/R1
hoop/noun/nrc_handelsblad_19991009_120/2290/R2	hoop/noun/nrc_handelsblad_19991009_120/2290	R2	over	part	over/part	over	True	R	3	0.06692492	111584	190	TRUE	FALSE	TRUE	2	3	hoop/noun/nrc_handelsblad_19991009_120/2290/R2
hoop/noun/nrc_handelsblad_19991009_120/2290/R3	hoop/noun/nrc_handelsblad_19991009_120/2290	R3	.	punct	./punct	.	True	R	4	NA	NA	NA	FALSE	FALSE	FALSE	0	4	hoop/noun/nrc_handelsblad_19991009_120/2290/R3
hoop/noun/nrc_handelsblad_19991009_120/2290/R4	hoop/noun/nrc_handelsblad_19991009_120/2290	R4	""""	punct	"""/punct"	""""	True	R	5	NA	NA	NA	FALSE	FALSE	FALSE	0	5	hoop/noun/nrc_handelsblad_19991009_120/2290/R4
hoop/noun/nrc_handelsblad_19991009_120/2290/R5	hoop/noun/nrc_handelsblad_19991009_120/2290	R5	sentence_delimiter	none	none	</sentence>	none	R	6	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_19991009_120/2290/delimiter
hoop/noun/nrc_handelsblad_19991009_120/2290/R6	hoop/noun/nrc_handelsblad_19991009_120/2290	R6	sentence_delimiter	none	none	</artikel>	none	R	7	NA	NA	NA	FALSE	FALSE	FALSE	0	-1	hoop/noun/nrc_handelsblad_19991009_120/2290/delimiter
