	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
heilzaam/adj/nrc_handelsblad_20011116_30/584/L0	heilzaam/adj/nrc_handelsblad_20011116_30/584	L0	ook	adv	ook/adv	ook	True	L	1	0.33461595	2214625.0	175.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L1	heilzaam/adj/nrc_handelsblad_20011116_30/584	L1	die	pron	die/pron	die	True	L	2	0.2860925	2519801.0	190.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L2	heilzaam/adj/nrc_handelsblad_20011116_30/584	L2	,	punct	,/punct	,	True	L	3			
heilzaam/adj/nrc_handelsblad_20011116_30/584/L3	heilzaam/adj/nrc_handelsblad_20011116_30/584	L3	recessie	noun	recessie/noun	recessie	True	L	4	1.8485005	5623.0	2.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L4	heilzaam/adj/nrc_handelsblad_20011116_30/584	L4	een	det	een/det	een	True	L	5	0.30468807	11075723.0	847.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L5	heilzaam/adj/nrc_handelsblad_20011116_30/584	L5	men	pron	men/pron	men	True	L	6	0.70136875	166196.0	19.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L6	heilzaam/adj/nrc_handelsblad_20011116_30/584	L6	dat	comp	dat/comp	dat	True	L	7			
heilzaam/adj/nrc_handelsblad_20011116_30/584/L7	heilzaam/adj/nrc_handelsblad_20011116_30/584	L7	adagium	noun	adagium/noun	adagium	True	L	8	2.9649603	912.0	1.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L8	heilzaam/adj/nrc_handelsblad_20011116_30/584	L8	aloud	adj	aloud/adj	aloude	True	L	9	2.5705169999999997	2713.0	2.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L9	heilzaam/adj/nrc_handelsblad_20011116_30/584	L9	het	det	het/det	het	True	L	10	0.1326374	11650779.0	749.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L10	heilzaam/adj/nrc_handelsblad_20011116_30/584	L10	in	prep	in/prep	in	True	L	11	-0.13897213	9492181.0	464.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L11	heilzaam/adj/nrc_handelsblad_20011116_30/584	L11	waar	adj	waar/adj	waars	True	L	12			
heilzaam/adj/nrc_handelsblad_20011116_30/584/L12	heilzaam/adj/nrc_handelsblad_20011116_30/584	L12	veel	noun	veel/noun	veel	True	L	13			
heilzaam/adj/nrc_handelsblad_20011116_30/584/L13	heilzaam/adj/nrc_handelsblad_20011116_30/584	L13	steek	verb	steek/verb	steekt	True	L	14			
heilzaam/adj/nrc_handelsblad_20011116_30/584/L14	heilzaam/adj/nrc_handelsblad_20011116_30/584	L14	er	adv	er/adv	er	True	L	15	-0.17268619	1744977.0	83.0
heilzaam/adj/nrc_handelsblad_20011116_30/584/L15												
heilzaam/adj/nrc_handelsblad_20011116_30/584/R0	heilzaam/adj/nrc_handelsblad_20011116_30/584	R0	kan	verb	kan/verb	kan	True	R	1	0.807767	1969534.0	249.0
