_id	_cws.heilzaam.foc10.nav.weight.bound	_count.heilzaam.foc10.nav.weight.bound	_cws.heilzaam.foc10.nav.selection.bound	_count.heilzaam.foc10.nav.selection.bound	_cws.heilzaam.foc10.nav.no.bound	_count.heilzaam.foc10.nav.no.bound	_cws.heilzaam.foc10.all.weight.bound	_count.heilzaam.foc10.all.weight.bound	_cws.heilzaam.foc10.all.selection.bound	_count.heilzaam.foc10.all.selection.bound	_cws.heilzaam.foc10.all.no.bound	_count.heilzaam.foc10.all.no.bound	_cws.heilzaam.foc5.nav.weight.bound	_count.heilzaam.foc5.nav.weight.bound	_cws.heilzaam.foc5.nav.selection.bound	_count.heilzaam.foc5.nav.selection.bound	_cws.heilzaam.foc5.nav.no.bound	_count.heilzaam.foc5.nav.no.bound	_cws.heilzaam.foc5.all.weight.bound	_count.heilzaam.foc5.all.weight.bound	_cws.heilzaam.foc5.all.selection.bound	_count.heilzaam.foc5.all.selection.bound	_cws.heilzaam.foc5.all.no.bound	_count.heilzaam.foc5.all.no.bound
heilzaam/adj/nrc_handelsblad_20011116_30/584	adagium/noun;aloud/adj;ben/verb;gewoon/adj;kan/verb;recessie/noun;zit_uit/verb	7	adagium/noun;aloud/adj;ben/verb;gewoon/adj;kan/verb;recessie/noun;zit_uit/verb	7	adagium/noun;aloud/adj;ben/verb;gewoon/adj;kan/verb;recessie/noun;zit_uit/verb	7	adagium/noun;aloud/adj;ben/verb;die/pron;een/det;gewoon/adj;het/det;kan/verb;men/pron;ook/adv;recessie/noun;zit_uit/verb	12	adagium/noun;aloud/adj;ben/verb;die/pron;een/det;gewoon/adj;het/det;kan/verb;men/pron;ook/adv;recessie/noun;zit_uit/verb	12	adagium/noun;aloud/adj;ben/verb;die/pron;een/det;gewoon/adj;het/det;kan/verb;men/pron;ook/adv;recessie/noun;zit_uit/verb	12	ben/verb;gewoon/adj;kan/verb;recessie/noun	4	ben/verb;gewoon/adj;kan/verb;recessie/noun	4	ben/verb;gewoon/adj;kan/verb;recessie/noun	4	ben/verb;die/pron;een/det;gewoon/adj;kan/verb;ook/adv;recessie/noun	7	ben/verb;die/pron;een/det;gewoon/adj;kan/verb;ook/adv;recessie/noun	7	ben/verb;die/pron;een/det;gewoon/adj;kan/verb;ook/adv;recessie/noun	7
heilzaam/adj/nrc_handelsblad_19991030_63/155	cyclus/noun;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;vernieuwing/noun	10	cyclus/noun;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;vernieuwing/noun	10	cyclus/noun;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;vernieuwing/noun	10	cyclus/noun;de/det;een/det;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;van/prep;vernieuwing/noun	13	cyclus/noun;de/det;een/det;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;van/prep;vernieuwing/noun	13	cyclus/noun;de/det;een/det;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;van/prep;vernieuwing/noun	13	cyclus/noun;heb/verb;leid/verb;sterk/adj	4	cyclus/noun;heb/verb;leid/verb;sterk/adj	4	cyclus/noun;heb/verb;leid/verb;sterk/adj	4	cyclus/noun;een/det;heb/verb;leid/verb;sterk/adj	5	cyclus/noun;een/det;heb/verb;leid/verb;sterk/adj	5	cyclus/noun;een/det;heb/verb;leid/verb;sterk/adj	5
heilzaam/adj/nrc_handelsblad_20000701_38/883	kan/verb;partij/noun;pretendeer/verb;werk/verb;zal/verb	5	kan/verb;partij/noun;pretendeer/verb;werk/verb;zal/verb	5	kan/verb;partij/noun;pretendeer/verb;werk/verb;zal/verb	5	de/det;die/pron;een/det;kan/verb;ook/adv;partij/noun;pretendeer/verb;van/prep;voor/prep;werk/verb;zal/verb	11	de/det;die/pron;een/det;kan/verb;ook/adv;partij/noun;pretendeer/verb;van/prep;voor/prep;werk/verb;zal/verb	11	de/det;die/pron;een/det;kan/verb;ook/adv;partij/noun;pretendeer/verb;van/prep;voor/prep;werk/verb;zal/verb	11	kan/verb;werk/verb;zal/verb	3	kan/verb;werk/verb;zal/verb	3	kan/verb;werk/verb;zal/verb	3	de/det;kan/verb;ook/adv;voor/prep;werk/verb;zal/verb	6	de/det;kan/verb;ook/adv;voor/prep;werk/verb;zal/verb	6	de/det;kan/verb;ook/adv;voor/prep;werk/verb;zal/verb	6
heilzaam/adj/nrc_handelsblad_20010426_61/409	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;termijn/noun;vraag/noun	6	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;termijn/noun;vraag/noun	6	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;termijn/noun;vraag/noun	6	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;op/prep;tegen/prep;termijn/noun;van/prep;vraag/noun	10	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;op/prep;tegen/prep;termijn/noun;van/prep;vraag/noun	10	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;op/prep;tegen/prep;termijn/noun;van/prep;vraag/noun	10	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;vraag/noun	5	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;vraag/noun	5	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;vraag/noun	5	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;van/prep;vraag/noun	7	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;van/prep;vraag/noun	7	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;van/prep;vraag/noun	7
heilzaam/adj/nrc_handelsblad_20010123_5/480	geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	4	geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	4	geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	4	de/det;geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	5	de/det;geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	5	de/det;geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	5	schijn/noun	1	schijn/noun	1	schijn/noun	1	de/det;schijn/noun	2	de/det;schijn/noun	2	de/det;schijn/noun	2
heilzaam/adj/nrc_handelsblad_20031013_102/42	boodschap/noun;heb/verb;positief/adj;werking/noun	4	boodschap/noun;heb/verb;positief/adj;werking/noun	4	boodschap/noun;heb/verb;positief/adj;werking/noun	4	boodschap/noun;die/det;een/det;heb/verb;op/prep;positief/adj;werking/noun	7	boodschap/noun;die/det;een/det;heb/verb;op/prep;positief/adj;werking/noun	7	boodschap/noun;die/det;een/det;heb/verb;op/prep;positief/adj;werking/noun	7	boodschap/noun;positief/adj;werking/noun	3	boodschap/noun;positief/adj;werking/noun	3	boodschap/noun;positief/adj;werking/noun	3	boodschap/noun;die/det;een/det;positief/adj;werking/noun	5	boodschap/noun;die/det;een/det;positief/adj;werking/noun	5	boodschap/noun;die/det;een/det;positief/adj;werking/noun	5
heilzaam/adj/nrc_handelsblad_20001216_24/400	blijk/verb	1	blijk/verb	1	blijk/verb	1	blijk/verb;dat/det;de/det;die/pron;voor/prep;zeer/adv	6	blijk/verb;dat/det;de/det;die/pron;voor/prep;zeer/adv	6	blijk/verb;dat/det;de/det;die/pron;voor/prep;zeer/adv	6	blijk/verb	1	blijk/verb	1	blijk/verb	1	blijk/verb;de/det;die/pron;voor/prep;zeer/adv	5	blijk/verb;de/det;die/pron;voor/prep;zeer/adv	5	blijk/verb;de/det;die/pron;voor/prep;zeer/adv	5
heilzaam/adj/nrc_handelsblad_19991006_128/792	coffeeshop/noun;niets/noun	2	coffeeshop/noun;niets/noun	2	coffeeshop/noun;niets/noun	2	bijvoorbeeld/adv;coffeeshop/noun;de/det;het/det;intussen/adv;niet/adv;niets/noun;van/prep	8	bijvoorbeeld/adv;coffeeshop/noun;de/det;het/det;intussen/adv;niet/adv;niets/noun;van/prep	8	bijvoorbeeld/adv;coffeeshop/noun;de/det;het/det;intussen/adv;niet/adv;niets/noun;van/prep	8	coffeeshop/noun	1	coffeeshop/noun	1	coffeeshop/noun	1	coffeeshop/noun;de/det;het/det;niet/adv	4	coffeeshop/noun;de/det;het/det;niet/adv	4	coffeeshop/noun;de/det;het/det;niet/adv	4
heilzaam/adj/nrc_handelsblad_20000505_64/25	beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;gezond/adj;ongeëvenaard/adj;uiting/noun	7	beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;gezond/adj;ongeëvenaard/adj;uiting/noun	7	beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;gezond/adj;ongeëvenaard/adj;uiting/noun	7	als/prep;beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;de/det;een/det;gezond/adj;ongeëvenaard/adj;op/prep;uiting/noun;van/prep	12	als/prep;beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;de/det;een/det;gezond/adj;ongeëvenaard/adj;op/prep;uiting/noun;van/prep	12	als/prep;beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;de/det;een/det;gezond/adj;ongeëvenaard/adj;op/prep;uiting/noun;van/prep	12	correctie/noun;gezond/adj;ongeëvenaard/adj	3	correctie/noun;gezond/adj;ongeëvenaard/adj	3	correctie/noun;gezond/adj;ongeëvenaard/adj	3	als/prep;correctie/noun;een/det;gezond/adj;ongeëvenaard/adj	5	als/prep;correctie/noun;een/det;gezond/adj;ongeëvenaard/adj	5	als/prep;correctie/noun;een/det;gezond/adj;ongeëvenaard/adj	5
heilzaam/adj/nrc_handelsblad_20001111_39/181	ben/verb;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun	8	ben/verb;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun	8	ben/verb;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun	8	ben/verb;de/det;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun;van/prep;volgens/prep	11	ben/verb;de/det;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun;van/prep;volgens/prep	11	ben/verb;de/det;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun;van/prep;volgens/prep	11	ben/verb;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun	6	ben/verb;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun	6	ben/verb;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun	6	ben/verb;de/det;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun;van/prep	8	ben/verb;de/det;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun;van/prep	8	ben/verb;de/det;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun;van/prep	8
