pmi	raw_freq	raw_co	cw
3.1137187	786	1	1901/noun
3.0768886	817	1	1905/noun
1.1213644	5784	1	1975/noun
0.37944922	36388	3	1997/noun
0.03669248	51305	3	1998/noun
0.77949053	16437	2	24/noun
1.2904798	4941	1	25-jarige/adj
-0.15363055	231449	11	Amerikaans/adj
-0.19037591	43848	2	Antwerps/adj
3.1004043	820	1	Belgisch_Nederlands/adj
0.0046096626	35568	2	Engels/adj
-0.0282762	165681	9	Europees/adj
1.5186723	11853	3	Haags/adj
1.5860437	3652	1	Israëli/noun
0.22073524	28973	2	Japans/adj
4.0182467	352	1	LPF_leider/noun
4.121655	286	1	Melkert/det
-0.19505642	241254	11	Nederlands/adj
1.2049247	5371	1	Oost_Vlaams/adj
0.47642428	22182	2	Palestijn/noun
0.70896745	17551	2	Rus/noun
-0.14935	124773	6	Vlaams/adj
3.8544767	749	2	Zalm_norm/noun
0.838369	15596	2	Zwitsers/adj
-0.15437399	2153601	104	aan/prep
0.38741687	72257	6	aandacht/noun
-1.6760178	95095	1	aandeel/noun
2.5526106	2807	2	aandeel_markt/noun
3.3876598	5390	9	aandoening/noun
0.28685564	13337	1	aangenaam/adj
0.7877135	8260	1	aanhouding/noun
1.7957538	5893	2	aankondiging/noun
-0.27994895	235279	10	aantal/noun
1.6950494	19470	6	aanwezigheid/noun
1.4795097	20232	5	aarde/noun
0.3780855	36670	3	acteur/noun
-0.2262646	44503	2	activiteit/noun
1.4149996	4447	1	actualiteit/noun
4.6583195	342	2	acupunctuur/noun
2.9649603	912	1	adagium/noun
0.7403772	33909	4	advies/noun
1.0165191	12861	2	adviseer/verb
0.22154222	28306	2	af/adv
-0.40998706	321541	12	af/part
3.5487978	507	1	afstandelijkheid/noun
1.9598467	9985	4	afwezigheid/noun
-0.14709231	1066466	52	al/adv
3.5501363	1029	2	alcohol_gebruik/noun
2.9386704	937	1	alcoholisch/adj
-0.20507382	176667	8	aldus/prep
1.8097303	2897	1	alle/adv
0.1260469	422543	27	alle/det
-0.36599472	178364	7	alleen/adj
0.899495	7242	1	alleenstaand/adj
-0.18179427	127360	6	allemaal/adv
0.6216922	9520	1	allen/adv
1.4426765	37558	9	allerlei/det
2.4257798	4736	3	alom/adv
2.570517	2713	2	aloud/adj
0.1983091	1263756	87	als/prep
1.4102521	13040	3	alternatief/adj
0.9053008	21590	3	alternatief/noun
0.23956902	292821	21	altijd/adv
0.45237252	33813	3	alvast/adv
0.46968642	663512	60	ander/adj
1.2480674	5103	1	andermaal/adv
0.842546	15140	2	anderzijds/adv
2.589661	2682	2	antibioticum/noun
3.3671288	1222	2	apparaat_DIM/noun
2.5264452	1415	1	argeloos/adj
2.6492536	1249	1	aroma/noun
0.25923166	48055	3	artikel/noun
1.0750998	36523	6	arts/noun
3.470128	559	1	aspirine/noun
-1.2089038	59862	1	augustus/noun
1.1889464	5401	1	autonomie/noun
1.1189069	17609	3	baby/noun
3.281861	7340	11	bad/noun
0.2676806	26993	2	basis/prep
1.3441362	4611	1	bedenking/noun
3.3669221	1244	2	bedevaart/noun
3.5160463	533	1	bedorven/adj
2.362489	1668	1	bedreig/adj
-0.14887354	248130	12	bedrijf/noun
-0.54945475	30645	1	begin/adv
-0.15448481	61997	3	begrijp/verb
2.5857952	2678	2	begrotingstekort/noun
1.7763963	27083	9	behandeling/noun
0.36221138	98533	8	beide/det
-0.092590824	19416	1	beide/pron
0.59012526	128314	13	bekend/adj
-0.8900178	43245	1	bekijk/verb
1.8896075	2698	1	bekoor/verb
3.3834143	1204	2	belijd/verb
1.957377	2504	1	bemoeienis/noun
0.44002548	9938754	869	ben/verb
1.4469146	12525	3	beoordeel/verb
0.7985662	7963	1	bepaald/adv
0.7571334	33306	4	beperkt/adj
2.209069	5839	3	bereid/verb
0.014758324	17543	1	bescherming/noun
1.3584486	40989	9	beschouw/verb
0.86888	22233	3	beschrijf/verb
-1.2149028	59799	1	beslissing/noun
1.6072215	7125	2	beslist/adj
-1.651909	94053	1	besluit/verb
0.5879003	9944	1	bespaar/verb
4.080643	1198	4	bestanddeel/noun
0.12724862	93316	6	beteken/verb
0.6704826	45210	5	betref/verb
1.0756608	55437	9	beurs/noun
0.69549775	8871	1	beval/verb
0.8609867	45058	6	bevestig/verb
1.0511951	37144	6	bevind/verb
0.551798	51052	5	bevolking/noun
1.2126273	31601	6	beweging/noun
1.59088	28924	8	bewijs/noun
1.2257526	52009	10	bewijs/verb
-1.1652348	57450	1	bewoner/noun
2.3260663	1736	1	bezing/verb
2.3253663	1751	1	bezinning/noun
0.36056507	86654	7	bied/verb
-0.12998697	1803877	89	bij/prep
2.7020097	1191	1	bijgenaamd/prep
-0.4339708	192484	7	bijna/adv
0.75271493	132829	16	bijvoorbeeld/adv
0.5019942	75089	7	bijzonder/adj
-0.1674445	125900	6	binnen/prep
2.248294	9400	5	bitter/adj
0.22945628	28154	2	blad/noun
1.0881629	279801	47	blijk/verb
0.46946654	22175	2	blik/noun
3.744165	423	1	bloed_controle/noun
3.1850827	2204	3	bloeddruk/noun
2.671918	1222	1	bloedvat/noun
0.21306257	157857	11	boek/noun
2.8274164	1065	1	boek_prijs/noun
4.223877	261	1	boekhouden/noun
-0.55046433	30916	1	boer/noun
0.54623693	10284	1	boerderij/noun
0.9324092	34900	5	boodschap/noun
0.9948542	19712	3	bos/noun
-0.029023543	145076	8	bovendien/adv
3.122285	778	1	braak/verb
0.2658121	40663	3	breed/adj
2.4342396	26394	17	bron/noun
-0.08794316	38732	2	buiten/adv
1.752051	12331	4	buitengewoon/adj
-0.7538536	37877	1	buitenland/noun
3.5296597	524	1	cactus/noun
3.4474733	3432	6	cannabis/noun
0.15644172	60925	4	centrum/noun
1.256141	10198	2	chaos/noun
1.8416654	5650	2	chip/noun
4.7013564	487	3	chocolademelk/noun
2.4893045	2937	2	christendom/noun
3.0347075	851	1	cluster/noun
1.8338329	2859	1	coffeeshop/noun
1.2610803	15096	3	collectief/adj
0.055316996	67006	4	collega/noun
1.4089143	25952	6	combinatie/noun
2.0505726	4542	2	combinatie/prep
