_id	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y
church/N/br-a01/2073	-8.90199678182969e-05	0.000443907986771019	-0.00322943533574455	0.00382625475214783	-0.316999451995976	-0.160753151679168	-0.247426123368347	0.233944971837031
church/N/br-a07/1325	-0.00447089823883207	-0.000621633301804324	-0.00441483763036088	-0.000822817253974599	0.0525927500350443	-0.094452873039572	0.0602007824370247	-0.0923104589274992
church/N/br-a07/1487	-0.0052114241163998	-0.00145140792326635	-0.00528212266207643	-0.00171664062348056	0.204238654976772	-0.0685289747752805	0.139041568711606	-0.193346016165598
church/N/br-a09/1417	-0.00423982052074538	0.000515603605135499	-0.00357166646046654	0.000128951483741998	-0.0208005791726122	0.0842470038900157	-0.0536206523650384	-0.0893576816773194
church/N/br-a10/1674	-0.00446310340130643	0.000423972046219747	-0.0036163867009279	-0.000124356005138301	-0.0457857485200666	0.129640347765663	-0.0932976951279098	-0.1207423348551
church/N/br-a10/1754	-0.0038893748080596	-0.00012035596165585	-0.00393176339631147	-0.000296285723390135	-0.0497513367602357	-0.0863628829969962	-0.0210242556550169	0.0848049092171285
church/N/br-a10/1769	-0.00390279970855291	-0.00032318432194666	-0.00405873093000321	-0.000300924040357824	0.0285404595739444	-0.0765641499969245	0.0515998887363402	0.0415547259415949
church/N/br-a10/1831	-0.00404684800222255	0.000404020494562229	-0.00379457307360854	0.000276424019442467	-0.0934256991837771	0.0468174674779684	-0.109199977969174	-0.0107986405076255
church/N/br-a10/1850	-0.00414604769318168	-0.000124825485280158	-0.00404451039123623	-0.000134018326026204	0.000441237605122769	0.0358705202906551	-0.0208853106486566	-0.0645117366158043
church/N/br-a10/1863	-0.00449707619908071	0.0015211285751062	-0.00233453574767902	-0.000301364882179921	-0.108990266143362	0.198070609079567	-0.171191614888073	-0.195999551762284
church/N/br-a10/1918	-0.00424458969424463	-1.32060688262672e-06	-0.00411082587019067	-7.04675671045591e-05	-0.0176950901698592	0.0210330965878186	-0.0208377993819721	-0.0369957132576091
church/N/br-a10/1940	-0.00354605350173431	0.000268212020195426	-0.00357517260864228	0.000282353444046789	-0.1938676313558	-0.110395719234419	-0.145430524839244	0.157129077587075
church/N/br-a10/1980	-0.00407298678244225	-0.000248518239255774	-0.00434411955593881	5.07187855143793e-05	0.0204046426251882	0.0111600719187087	0.0221001349226013	-0.0381440696192657
church/N/br-a10/1984	-0.00353984970760436	4.58862470409004e-05	-0.00423041506643987	0.000553318306638817	-0.0013307173770358	0.0154945033879912	0.00466247896890214	-0.0360873348613005
church/N/br-a10/1996	-0.00469285125951006	-3.41889794244394e-05	-0.00396373064403032	-0.0006192208171196	0.02984802495	0.0505961713400971	0.00958149226693705	-0.0848043915970496
church/N/br-a10/2022	-0.00441816612229594	-0.000157664985527547	-0.0040934081509832	-0.000384332547127196	0.0134528444985518	-0.0383342726740055	0.00959636456045751	-0.0247995387838557
church/N/br-a10/2051	-0.00722428239044456	-0.00171510747494787	-0.00640563822546839	-0.00299896452428905	0.243472853735086	0.291411853612021	0.16235995078022	-0.362654128841511
church/N/br-a16/453	-0.00511571846734379	0.00128125435647274	-0.0024391160074339	-0.000769425443346041	0.0158159321762606	0.235509478794102	-0.0867604258631686	-0.22161658545017
church/N/br-a17/2228	-0.00375999954675106	-9.03215187858604e-05	-0.0042462127737352	0.000284319223087335	0.0585420110900319	0.00982192395063446	0.0753645594962476	0.0128639324080621
church/N/br-a18/760	-0.00505450530169254	-0.000325128536454034	-0.00513356528313643	-0.000208064933802509	0.0496925119036505	0.117671416666593	0.0155091929860128	-0.14591581840937
church/N/br-a31/1594	-0.00435047382903092	0.000119874189218152	-0.00422091073480676	-3.20421437874203e-05	0.0779350212008923	0.108437051358731	0.0427098912943789	-0.13421557141157
church/N/br-a31/1753	-0.00405531342572936	-0.00083602313966935	-0.00476144315416734	-0.00041109491970224	-0.0166951224587605	-0.0467407457158376	-0.0305962803971466	-0.0972073547698047
church/N/br-a31/2120	-0.00395972497172573	-7.73241982469685e-05	-0.00404992444134227	3.1978653817058e-05	0.0493312425318645	0.0214793083408174	0.0433371278329296	-0.00698269004526871
church/N/br-a31/2212	-0.0045071999268304	-0.000143304369339723	-0.00446786260998811	-0.000136306986628158	0.0557851370003822	0.0759552334461603	0.0218841434732096	-0.11318230036315
church/N/br-a31/2241	-0.00451005684724838	4.05664661708246e-05	-0.00447085044561344	4.90042260397252e-05	0.0702732564291562	0.123604417299862	0.0225414284210796	-0.132990743843969
church/N/br-a35/810	-0.00423242125150977	-0.000175785519024	-0.00410303990162079	-0.000302293105112428	-0.0294256459364867	-0.0282600513937149	-0.0276241644109434	0.0167084745874668
church/N/br-b04/1480	-0.00223682000183842	-0.000902269207633064	-0.00547052737821401	0.00171663105605478	-0.038685290915858	0.157861333579695	-0.111791790847758	-0.158324837887104
