_id	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	_text	sense	supersense	compound_status
church/N/br-a01/2073	-4.0750115501591e-05	0.000143601145771075	0	0	-0.00578513051813515	0.00343869668413733	0	0	-0.258913261682248	-0.23353047044301	-0.340449777667121	0.359450440000079	-0.293333950952194	0.18122376868847	-0.339126145692099	-0.116297813564382	`` Being at the polls was just like being at church . I did n't smell a drop of liquor ,	c3	C	simply_church
church/N/br-a07/1325	-0.00422869645655684	-0.000812719222282764	-0.10434434034071	-0.0726521357666541	-0.00462643504687144	-0.00069015508957013	-0.110927802223136	-0.0835829249537193	0.0773048059000414	-0.0380979834849323	0.000932091972275193	-0.00402789544466303	0.0680867930055244	-0.0842051769791222	2.89486674643302e-05	-0.00159019608040465	Interviews with several church leaders have disclosed that this development has raised the question whether the Peace Corps will be able to prevent confusion for church and state over methods , means and goals . There	a1	A	simply_church
church/N/br-a07/1487	-0.00490933896675128	-0.0016933735045927	-0.253495480496042	-0.168273372048629	-0.00510263595077752	-0.00181587837086664	-0.260160779963529	-0.206289690967406	0.198636449401451	-0.0690576559338896	0.000937605997925368	-0.00402943020434802	0.175907700169243	-0.15814497651318	2.34612005556351e-05	-0.00158696848059203	And then , some churchmen remarked , there is a more classical church-state problem : Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? R. Sargent Shriver Jr. , director of	a1	A	simply_church
church/N/br-a09/1417	-0.00425634764770149	0.000496114617307155	0.123312776921842	0.0513320869311674	-0.00347761999733396	0.000183635454623015	0.131937510757843	0.0319053449819068	-0.0429198014374803	0.0758896120616387	0.000942796052859473	-0.00402720242764132	-0.0374887179113466	-0.0993439690248662	2.06308126512586e-05	-0.00159287702627916	It is designated as Stage 1 Residential on the Redevelopment Authority 's master plan and will feature row houses , garden apartments , four small parks , schools , churches , a shopping center and several small clusters of stores .	c1	C	simply_church
church/N/br-a10/1674	-0.0044768238028097	0.000429689289843479	0.0940899592242307	-0.0367559028543389	-0.00349912992155415	-2.35952234044005e-05	0.101158188494012	-0.0501169449656035	-0.0788335299290497	0.115324626966076	0.000933856167674126	-0.00402518105958381	-0.076715900953285	-0.132956758204882	3.3443228194281e-05	-0.00159118456313241	Friday night the delegates heard the need for their forthcoming program , `` Breakthrough '' scheduled to fill the churches for the next two years . In his opening address	c3	C	simply_church
church/N/br-a10/1754	-0.00379039579715229	-0.000312998146010764	0.00286660877382721	-0.0490491940874492	-0.00436576173281129	-6.00833515080864e-05	0.00311465738751322	-0.0531432206717467	-0.0270645469236855	-0.0901094262885779	0.000936822461044608	-0.00402745166321416	-0.0362049793912663	0.0829741996497137	2.20786144050085e-05	-0.00159388062972465	`` Surveys show that one out of three Americans has vital contact with the church . This means that more than 100 million have no	d	D	simply_church
church/N/br-a10/1769	-0.00383446146986965	-0.000425689204558619	-0.13049123586919	0.0146099380397925	-0.00446623319957624	-0.000129593631343791	-0.146432409789257	0.00708538911283486	0.0438201245512386	-0.046521011320238	0.000940515471521819	-0.00403321532875666	0.0439009936059119	0.0559448047589584	2.34091033274121e-05	-0.00159325420101398	This means that more than 100 million have no vital touch with the church or religious life '' , he told delegates Friday .	d	D	simply_church
church/N/br-a10/1831	-0.00413036557245683	0.000418395191399437	0.0210790075581711	-0.0305629922543821	-0.00363387627691256	0.000190053662151829	0.0215538795800208	-0.0293917207635766	-0.0996512740628744	0.025153501010339	0.000932253716389349	-0.00403094470511993	-0.106141034683897	-0.0377461233658304	3.39244005392844e-05	-0.00158067361812252	'' . `` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons .	b	B	simply_church
church/N/br-a10/1850	-0.00408141248154487	-0.000224786404925463	-0.0635514706759733	-0.0377761281963532	-0.00417005304285348	-7.97121787884127e-05	-0.0620890296436575	-0.0394015056251903	-0.00835682016675852	0.0244352378068039	0.000948527651458742	-0.00402958628830349	-0.00927454627502222	-0.0689047801671892	3.01771440188693e-05	-0.00158571821003842	`` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons . `` In this light we	b	B	simply_church
church/N/br-a10/1863	-0.00268838280715702	0.000405668384037644	0	0	-0.00246588165563558	0.000428374807727458	0	0	-0.154340027870829	0.16829201838739	0.000934691590713003	-0.00402997793769173	-0.13192024871626	-0.22679855729694	3.15594390171537e-05	-0.00158219637128191	10000 persons . `` In this light we need 1000 churches in Illinois , where we have 200 ; 800 in Southern New England , we have 60 ; we need 100 in Rhode Island , we have none '' , he said .	b	B	simply_church
church/N/br-a10/1918	-0.00428110069161242	3.54237886394438e-05	-0.00222829280190387	0.0159852938964862	-0.00388623590659574	-0.00014156970527065	-0.00392834567267554	0.0127421442853014	-0.0255091238135931	0.0316682199728516	0.000936486916859505	-0.00402994685924917	-0.0156948356076606	-0.0427376298329554	3.02889868901948e-05	-0.00159419888525259	To step up the denomination 's program , the Rev. Mr. Brandt suggested the vision of 8000 new Assemblies of God churches in the next 10 years . To accomplish this would	b	B	simply_church
church/N/br-a10/1940	-0.00342400201888812	-1.28960560298809e-05	0.0416386026475794	-0.0327889424665721	-0.00431764638354608	0.000451494911050315	0.0451891498817054	-0.043627154308966	-0.200293201531882	-0.0662831903062411	0.000935533617016291	-0.00402443973923646	-0.167287115794773	0.138528662838083	3.16800677660946e-05	-0.00159409464654327	some changes in methods , he said . `` The church 's ability to change her methods is going to determine her ability to meet the challenge of this hour '' .	a2	A	simply_church
church/N/br-a10/1980	-0.0042652184319497	-3.2632347365032e-05	-0.0273345267227206	0.0687544324204428	-0.00394334520477096	-0.000230550677139965	-0.0347623257923372	0.0742487418483308	0.00742611374133217	0.0326778293811168	0.000937297598663044	-0.00401862582381772	0.025900921773369	-0.0381005930938351	3.43175702249066e-05	-0.00157818476080005	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men	b	B	simply_church
church/N/br-a10/1984	-0.00408689335514134	0.000484904382681655	-0.0256175206692025	0.107349553581902	-0.00378905089142172	0.000400738181451173	-0.0350285355867433	0.11457844359548	-0.00928625349864707	0.0332140732775641	0.000939532064529184	-0.00403153736152881	0.00949259341174439	-0.0436051779959591	2.32358868691388e-05	-0.00159451578936409	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men to pioneer or open	b	B	simply_church
