filename	type	socc	subset	tokens	threshold	stress
Semcor.church.COHAisocc.min0	church	COHAi	NA	345	0	0.264737597488556
Semcor.church.COHAisocc.min1	church	COHAi	NA	345	1	0.270187465986631
Semcor.church.COHAisocc.min2	church	COHAi	NA	319	2	0.284826923174859
Semcor.church.COHAisocc.min2_5	church	COHAi	NA	288	2.5	0.289993526161246
Semcor.church.COHAisocc.min3	church	COHAi	NA	204	3	0.288291264561958
Semcor.church.COHAisocc.nona.min0	church	COHAi	nona	170	0	0.254922872063362
Semcor.church.COHAisocc.nona.min1	church	COHAi	nona	170	1	0.263018809089645
Semcor.church.COHAisocc.nona.min2	church	COHAi	nona	156	2	0.27868697267801
Semcor.church.Semcorisocc.min0	church	Semcori	NA	345	0	0.264747034372524
Semcor.church.Semcorisocc.min1	church	Semcori	NA	345	1	0.269962587530696
Semcor.church.Semcorisocc.min2	church	Semcori	NA	319	2	0.284303569305414
Semcor.church.Semcorisocc.min2_5	church	Semcori	NA	288	2.5	0.289353754942012
Semcor.church.Semcorisocc.min3	church	Semcori	NA	204	3	0.290592820935056
Semcor.church.Semcorisocc.nona.min0	church	Semcori	nona	170	0	0.254520531659932
Semcor.church.Semcorisocc.nona.min1	church	Semcori	nona	170	1	0.264246552301081
Semcor.church.Semcorisocc.nona.min2	church	Semcori	nona	156	2	0.279684589505128
Semcor.country.COHAisocc.min0	country	COHAi	NA	341	0	0.26936871648303
Semcor.country.COHAisocc.min1	country	COHAi	NA	337	1	0.273680446181939
Semcor.country.COHAisocc.min2	country	COHAi	NA	294	2	0.304895573422501
Semcor.country.COHAisocc.min2_5	country	COHAi	NA	198	2.5	0.326912896975393
Semcor.country.COHAisocc.nona.min0	country	COHAi	nona	123	0	0.252463087855847
Semcor.country.COHAisocc.nona.min1	country	COHAi	nona	121	1	0.261684475599777
Semcor.country.COHAisocc.nona.min2	country	COHAi	nona	100	2	0.292673290536216
Semcor.country.Semcorisocc.min0	country	Semcori	NA	341	0	0.272783321285175
Semcor.country.Semcorisocc.min1	country	Semcori	NA	337	1	0.27573698547579
Semcor.country.Semcorisocc.min2	country	Semcori	NA	294	2	0.304934481841206
Semcor.country.Semcorisocc.min2_5	country	Semcori	NA	198	2.5	0.32712711294641
Semcor.country.Semcorisocc.nona.min0	country	Semcori	nona	123	0	0.252218897893092
Semcor.country.Semcorisocc.nona.min1	country	Semcori	nona	121	1	0.263062541622695
Semcor.country.Semcorisocc.nona.min2	country	Semcori	nona	100	2	0.294722073106543
Semcor.country_church.COHAisocc.min2_5	country_church	COHAi	NA	486	2.5	0.311466626782568
Semcor.country_church.COHAisocc.min3	country_church	COHAi	NA	324	3	0.307588169647746
Semcor.country_church.COHAisocc.nona.min0	country_church	COHAi	nona	293	0	0.255153355684622
Semcor.country_church.COHAisocc.nona.min1	country_church	COHAi	nona	291	1	0.26465691354246
Semcor.country_church.COHAisocc.nona.min2	country_church	COHAi	nona	256	2	0.291279683990399
Semcor.country_church.COHAisocc.nona.min2_5	country_church	COHAi	nona	207	2.5	0.307409384957205
Semcor.country_church.sample.COHAisocc.min0	country_church.sample	COHAi	NA	497	0	0.26875626149482
Semcor.country_church.sample.COHAisocc.min1	country_church.sample	COHAi	NA	498	1	0.273421965119032
Semcor.country_church.sample.COHAisocc.min2	country_church.sample	COHAi	NA	500	2	0.291062374036408
Semcor.country_church.sample.Semcorisocc.min0	country_church.sample	Semcori	NA	498	0	0.270035123657359
Semcor.country_church.sample.Semcorisocc.min1	country_church.sample	Semcori	NA	497	1	0.272311294472162
Semcor.country_church.sample.Semcorisocc.min2	country_church.sample	Semcori	NA	499	2	0.294297040851954
Semcor.country_church.Semcorisocc.min2_5	country_church	Semcori	NA	486	2.5	0.31240590257395
Semcor.country_church.Semcorisocc.min3	country_church	Semcori	NA	324	3	0.307468403881301
Semcor.country_church.Semcorisocc.nona.min0	country_church	Semcori	nona	293	0	0.255287710965229
Semcor.country_church.Semcorisocc.nona.min1	country_church	Semcori	nona	291	1	0.264997029036927
Semcor.country_church.Semcorisocc.nona.min2	country_church	Semcori	nona	256	2	0.29127259710698
Semcor.country_church.Semcorisocc.nona.min2_5	country_church	Semcori	nona	207	2.5	0.30660418894703
Semcor.sample.COHAisocc.min0	sample	COHAi	NA	494	0	0.265365780968773
Semcor.sample.COHAisocc.min1	sample	COHAi	NA	495	1	0.277371671931102
Semcor.sample.COHAisocc.min2	sample	COHAi	NA	495	2	0.298430616358283
Semcor.sample.COHAisocc.min2_5	sample	COHAi	NA	494	2.5	0.307660303823699
Semcor.sample.COHAisocc.min3	sample	COHAi	NA	491	3	0.30437447772664
Semcor.sample.COHAisocc.nona.min0	sample	COHAi	nona	497	0	0.256333157585587
Semcor.sample.COHAisocc.nona.min1	sample	COHAi	nona	496	1	0.266366102881103
Semcor.sample.COHAisocc.nona.min2	sample	COHAi	nona	479	2	0.291505074063126
Semcor.sample.COHAisocc.nona.min2_5	sample	COHAi	nona	354	2.5	0.291839656217852
Semcor.sample.COHAisocc.nona.min3	sample	COHAi	nona	220	3	0.26971306177294
Semcor.sample.Semcorisocc.min0	sample	Semcori	NA	496	0	0.267644646327461
Semcor.sample.Semcorisocc.min1	sample	Semcori	NA	498	1	0.273665029275847
Semcor.sample.Semcorisocc.min2	sample	Semcori	NA	497	2	0.29376569250709
Semcor.sample.Semcorisocc.min2_5	sample	Semcori	NA	492	2.5	0.303019441009331
Semcor.sample.Semcorisocc.min3	sample	Semcori	NA	492	3	0.302695270901746
Semcor.sample.Semcorisocc.nona.min0	sample	Semcori	nona	499	0	0.260690047961612
Semcor.sample.Semcorisocc.nona.min1	sample	Semcori	nona	495	1	0.269006579582623
Semcor.sample.Semcorisocc.nona.min2	sample	Semcori	nona	479	2	0.288783735675009
Semcor.sample.Semcorisocc.nona.min2_5	sample	Semcori	nona	354	2.5	0.293311617948837
Semcor.sample.Semcorisocc.nona.min3	sample	Semcori	nona	220	3	0.269907329080176
Semcor.state.COHAisocc.min2_5	state	COHAi	NA	420	2.5	0.290945610436784
Semcor.state.COHAisocc.min3	state	COHAi	NA	256	3	0.280287852247961
Semcor.state.COHAisocc.nona.min0	state	COHAi	nona	381	0	0.250742061983704
Semcor.state.COHAisocc.nona.min1	state	COHAi	nona	364	1	0.26119601114084
Semcor.state.COHAisocc.nona.min2	state	COHAi	nona	223	2	0.264079651343536
Semcor.state.COHAisocc.nona.min2_5	state	COHAi	nona	147	2.5	0.234260778855552
Semcor.state.sample.COHAisocc.min0	state.sample	COHAi	NA	497	0	0.274651551775446
Semcor.state.sample.COHAisocc.min1	state.sample	COHAi	NA	495	1	0.275066385913353
Semcor.state.sample.COHAisocc.min2	state.sample	COHAi	NA	494	2	0.297892914492754
Semcor.state.sample.Semcorisocc.min0	state.sample	Semcori	NA	495	0	0.276577460340781
Semcor.state.sample.Semcorisocc.min1	state.sample	Semcori	NA	497	1	0.274337684619097
Semcor.state.sample.Semcorisocc.min2	state.sample	Semcori	NA	492	2	0.293618835105053
Semcor.state.Semcorisocc.min2_5	state	Semcori	NA	420	2.5	0.29010116527703
Semcor.state.Semcorisocc.min3	state	Semcori	NA	256	3	0.279372117362017
Semcor.state.Semcorisocc.nona.min0	state	Semcori	nona	381	0	0.250792535869637
Semcor.state.Semcorisocc.nona.min1	state	Semcori	nona	364	1	0.261199724211642
Semcor.state.Semcorisocc.nona.min2	state	Semcori	nona	223	2	0.26704416627772
Semcor.state.Semcorisocc.nona.min2_5	state	Semcori	nona	147	2.5	0.234676919010591
Semcor.state_church.COHAisocc.min2_5	state_church	COHAi	NA	460	2.5	0.296323396076376
Semcor.state_church.COHAisocc.min3	state_church	COHAi	NA	460	3	0.294336019453255
Semcor.state_church.COHAisocc.nona.min2	state_church	COHAi	nona	379	2	0.275523464193594
Semcor.state_church.COHAisocc.nona.min2_5	state_church	COHAi	nona	288	2.5	0.270812774624104
Semcor.state_church.COHAisocc.nona.min3	state_church	COHAi	nona	185	3	0.24662340605235
Semcor.state_church.sample.COHAisocc.min0	state_church.sample	COHAi	NA	497	0	0.268139559715106
Semcor.state_church.sample.COHAisocc.min1	state_church.sample	COHAi	NA	496	1	0.267127533069257
Semcor.state_church.sample.COHAisocc.min2	state_church.sample	COHAi	NA	493	2	0.291176034029739
Semcor.state_church.sample.COHAisocc.min2_5	state_church.sample	COHAi	NA	497	2.5	0.288904780233116
Semcor.state_church.sample.COHAisocc.nona.min0	state_church.sample	COHAi	nona	496	0	0.256111028533834
Semcor.state_church.sample.COHAisocc.nona.min1	state_church.sample	COHAi	nona	496	1	0.264024939430445
Semcor.state_church.sample.Semcorisocc.min0	state_church.sample	Semcori	NA	495	0	0.270834404099468
Semcor.state_church.sample.Semcorisocc.min1	state_church.sample	Semcori	NA	495	1	0.274059784179587
Semcor.state_church.sample.Semcorisocc.min2	state_church.sample	Semcori	NA	497	2	0.295832878762197
Semcor.state_church.sample.Semcorisocc.min2_5	state_church.sample	Semcori	NA	494	2.5	0.284095794440388
Semcor.state_church.sample.Semcorisocc.nona.min0	state_church.sample	Semcori	nona	495	0	0.259093350189192
Semcor.state_church.sample.Semcorisocc.nona.min1	state_church.sample	Semcori	nona	497	1	0.265780685178958
Semcor.state_church.Semcorisocc.min2_5	state_church	Semcori	NA	460	2.5	0.295879458542732
Semcor.state_church.Semcorisocc.min3	state_church	Semcori	NA	460	3	0.293310152947432
Semcor.state_church.Semcorisocc.nona.min2	state_church	Semcori	nona	379	2	0.276305543928251
Semcor.state_church.Semcorisocc.nona.min2_5	state_church	Semcori	nona	288	2.5	0.27164655370554
Semcor.state_church.Semcorisocc.nona.min3	state_church	Semcori	nona	185	3	0.246503927747817
Semcor.state_country.COHAisocc.min2_5	state_country	COHAi	NA	376	2.5	0.300157235251033
Semcor.state_country.COHAisocc.min3	state_country	COHAi	NA	376	3	0.304075639175
Semcor.state_country.COHAisocc.nona.min1	state_country	COHAi	nona	485	1	0.263293444620504
Semcor.state_country.COHAisocc.nona.min2	state_country	COHAi	nona	323	2	0.286201257414228
Semcor.state_country.COHAisocc.nona.min2_5	state_country	COHAi	nona	213	2.5	0.27929991647787
Semcor.state_country.sample.COHAisocc.min0	state_country.sample	COHAi	NA	496	0	0.276177506816994
Semcor.state_country.sample.COHAisocc.min1	state_country.sample	COHAi	NA	498	1	0.277763032840596
Semcor.state_country.sample.COHAisocc.min2	state_country.sample	COHAi	NA	494	2	0.303048080087173
Semcor.state_country.sample.COHAisocc.min2_5	state_country.sample	COHAi	NA	492	2.5	0.309136228898328
Semcor.state_country.sample.COHAisocc.nona.min0	state_country.sample	COHAi	nona	497	0	0.254809565884172
Semcor.state_country.sample.Semcorisocc.min0	state_country.sample	Semcori	NA	495	0	0.269602012361985
Semcor.state_country.sample.Semcorisocc.min1	state_country.sample	Semcori	NA	495	1	0.277258345442276
Semcor.state_country.sample.Semcorisocc.min2	state_country.sample	Semcori	NA	496	2	0.302062264562119
Semcor.state_country.sample.Semcorisocc.min2_5	state_country.sample	Semcori	NA	495	2.5	0.30739479549212
Semcor.state_country.sample.Semcorisocc.nona.min0	state_country.sample	Semcori	nona	497	0	0.255128894664559
Semcor.state_country.Semcorisocc.min2_5	state_country	Semcori	NA	376	2.5	0.304514524082988
Semcor.state_country.Semcorisocc.min3	state_country	Semcori	NA	376	3	0.30209562263007
Semcor.state_country.Semcorisocc.nona.min1	state_country	Semcori	nona	485	1	0.264088200722544
Semcor.state_country.Semcorisocc.nona.min2	state_country	Semcori	nona	323	2	0.286533765189786
Semcor.state_country.Semcorisocc.nona.min2_5	state_country	Semcori	nona	213	2.5	0.280977348484836
