cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_2	ann_1	ann_3	ann_4	votes
horde/noun/de_standaard_20040628_01_51/230/L0	horde/noun/de_standaard_20040628_01_51/230	L0	stroom_toe	verb	stroom_toe/verb	stroomden	True	L	1	3.0343013	1171	3	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L1	horde/noun/de_standaard_20040628_01_51/230	L1	intussen	adv	intussen/adv	Intussen	True	L	2	0.11124863	50529	7	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L2	horde/noun/de_standaard_20040628_01_51/230	L2	sentence_delimiter	none	none	<sentence>	none	L	3	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L3	horde/noun/de_standaard_20040628_01_51/230	L3	sentence_delimiter	none	none	</sentence>	none	L	4	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L4	horde/noun/de_standaard_20040628_01_51/230	L4	.	punct	./punct	.	False	L	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L5	horde/noun/de_standaard_20040628_01_51/230	L5	verwittig	verb	verwittig/verb	verwittigd	False	L	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L6	horde/noun/de_standaard_20040628_01_51/230	L6	word	verb	word/verb	werd	False	L	7	0.09703701	3486710	473	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L7	horde/noun/de_standaard_20040628_01_51/230	L7	leger	noun	leger/noun	leger	False	L	8	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L8	horde/noun/de_standaard_20040628_01_51/230	L8	het	det	het/det	het	False	L	9	-0.19741419	11650779	1177	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L9	horde/noun/de_standaard_20040628_01_51/230	L9	van	prep	van/prep	van	False	L	10	-0.35927182	12638933	1086	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L10	horde/noun/de_standaard_20040628_01_51/230	L10	ontmijningsdienst	noun	ontmijningsdienst/noun	ontmijningsdienst	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L11	horde/noun/de_standaard_20040628_01_51/230	L11	de	det	de/det	de	False	L	12	0.11145183	28074105	3861	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L12	horde/noun/de_standaard_20040628_01_51/230	L12	ook	adv	ook/adv	Ook	False	L	13	-0.110948525	2214625	245	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L13	horde/noun/de_standaard_20040628_01_51/230	L13	sentence_delimiter	none	none	<sentence>	none	L	14	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L14	horde/noun/de_standaard_20040628_01_51/230	L14	sentence_delimiter	none	none	</sentence>	none	L	15	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
horde/noun/de_standaard_20040628_01_51/230/R0	horde/noun/de_standaard_20040628_01_51/230	R0	verbaasd	adj	verbaasd/adj	verbaasde	True	R	1	-0.25490046	10477	1	FALSE	FALSE	FALSE	FALSE	0
