filename	type	socc	subset	tokens	threshold	stress
Semcor.church.COHAisocc.fic.min0	church	COHAi	fic	130	0	0.241913424613526
Semcor.church.COHAisocc.fic.min1	church	COHAi	fic	130	1	0.257599202375184
Semcor.church.COHAisocc.nonfic.min0	church	COHAi	nonfic	140	0	0.254001981633026
Semcor.church.COHAisocc.nonfic.min1	church	COHAi	nonfic	140	1	0.259749663075791
Semcor.church.COHAisocc.nonfic.min2	church	COHAi	nonfic	136	2	0.265371754033639
Semcor.church.Semcorisocc.fic.min0	church	Semcori	fic	130	0	0.241913424613915
Semcor.church.Semcorisocc.fic.min1	church	Semcori	fic	130	1	0.257026920413927
Semcor.church.Semcorisocc.nonfic.min0	church	Semcori	nonfic	140	0	0.256546735856531
Semcor.church.Semcorisocc.nonfic.min1	church	Semcori	nonfic	140	1	0.257744458691414
Semcor.church.Semcorisocc.nonfic.min2	church	Semcori	nonfic	136	2	0.265356102659523
Semcor.country.COHAisocc.nonfic.min0	country	COHAi	nonfic	125	0	0.24881446120031
Semcor.country.COHAisocc.nonfic.min1	country	COHAi	nonfic	124	1	0.260252310629145
Semcor.country.COHAisocc.press.min0	country	COHAi	press	122	0	0.263086614979777
Semcor.country.COHAisocc.press.min1	country	COHAi	press	122	1	0.262802382490488
Semcor.country.Semcorisocc.nonfic.min0	country	Semcori	nonfic	125	0	0.254283419915065
Semcor.country.Semcorisocc.nonfic.min1	country	Semcori	nonfic	124	1	0.260263138534418
Semcor.country.Semcorisocc.press.min0	country	Semcori	press	122	0	0.260656340813551
Semcor.country.Semcorisocc.press.min1	country	Semcori	press	122	1	0.261201057575772
Semcor.country_church.COHAisocc.fic.min0	country_church	COHAi	fic	224	0	0.261642782581071
Semcor.country_church.COHAisocc.fic.min1	country_church	COHAi	fic	221	1	0.268754556088752
Semcor.country_church.COHAisocc.fic.min2	country_church	COHAi	fic	186	2	0.294557280024008
Semcor.country_church.COHAisocc.nonfic.min0	country_church	COHAi	nonfic	265	0	0.261117580783071
Semcor.country_church.COHAisocc.nonfic.min1	country_church	COHAi	nonfic	264	1	0.270101677564694
Semcor.country_church.COHAisocc.nonfic.min2	country_church	COHAi	nonfic	247	2	0.282296360962347
Semcor.country_church.COHAisocc.press.min0	country_church	COHAi	press	197	0	0.264877278630285
Semcor.country_church.COHAisocc.press.min1	country_church	COHAi	press	197	1	0.267967125489221
Semcor.country_church.COHAisocc.press.min2	country_church	COHAi	press	180	2	0.288961199584817
Semcor.country_church.Semcorisocc.fic.min0	country_church	Semcori	fic	224	0	0.262176030495928
Semcor.country_church.Semcorisocc.fic.min1	country_church	Semcori	fic	221	1	0.268757005287843
Semcor.country_church.Semcorisocc.fic.min2	country_church	Semcori	fic	186	2	0.295796016720136
Semcor.country_church.Semcorisocc.nonfic.min0	country_church	Semcori	nonfic	265	0	0.261117288051217
Semcor.country_church.Semcorisocc.nonfic.min1	country_church	Semcori	nonfic	264	1	0.269515730414322
Semcor.country_church.Semcorisocc.nonfic.min2	country_church	Semcori	nonfic	247	2	0.282458024913769
Semcor.country_church.Semcorisocc.press.min0	country_church	Semcori	press	197	0	0.266020899006442
Semcor.country_church.Semcorisocc.press.min1	country_church	Semcori	press	197	1	0.266228300068378
Semcor.country_church.Semcorisocc.press.min2	country_church	Semcori	press	180	2	0.287791200007214
Semcor.sample.COHAisocc.fic.min0	sample	COHAi	fic	412	0	0.261668432035916
Semcor.sample.COHAisocc.fic.min1	sample	COHAi	fic	398	1	0.276804618302244
Semcor.sample.COHAisocc.fic.min2	sample	COHAi	fic	287	2	0.30179645501287
Semcor.sample.COHAisocc.nonfic.min0	sample	COHAi	nonfic	496	0	0.258590055218878
Semcor.sample.COHAisocc.nonfic.min1	sample	COHAi	nonfic	496	1	0.261045421992263
Semcor.sample.COHAisocc.nonfic.min2	sample	COHAi	nonfic	495	2	0.283472805307261
Semcor.sample.COHAisocc.press.min0	sample	COHAi	press	497	0	0.276184689815319
Semcor.sample.COHAisocc.press.min1	sample	COHAi	press	497	1	0.274141148465849
Semcor.sample.COHAisocc.press.min2	sample	COHAi	press	368	2	0.29227870595608
Semcor.sample.Semcorisocc.fic.min0	sample	Semcori	fic	412	0	0.264930856871331
Semcor.sample.Semcorisocc.fic.min1	sample	Semcori	fic	398	1	0.276828969083624
Semcor.sample.Semcorisocc.fic.min2	sample	Semcori	fic	287	2	0.300820306437906
Semcor.sample.Semcorisocc.nonfic.min0	sample	Semcori	nonfic	497	0	0.259640124664758
