cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
staal/noun/het_nieuwsblad_19990306_01_737/622/L0	staal/noun/het_nieuwsblad_19990306_01_737/622	L0	uit	prep	uit/prep	uit	True	L	1	0.76026434	1135560	536	TRUE	TRUE	FALSE	2
staal/noun/het_nieuwsblad_19990306_01_737/622/L1	staal/noun/het_nieuwsblad_19990306_01_737/622	L1	vervaardig	verb	vervaardig/verb	vervaardigd	True	L	2	3.5710092	3293	26	TRUE	FALSE	TRUE	2
staal/noun/het_nieuwsblad_19990306_01_737/622/L2	staal/noun/het_nieuwsblad_19990306_01_737/622	L2	ben	verb	ben/verb	zijn	True	L	3	0.051379632	9938754	2315	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L3	staal/noun/het_nieuwsblad_19990306_01_737/622	L3	geleider	noun	geleider/noun	geleiders	True	L	4	NA	NA	NA	FALSE	FALSE	TRUE	1
staal/noun/het_nieuwsblad_19990306_01_737/622/L4	staal/noun/het_nieuwsblad_19990306_01_737/622	L4	besta	adj	besta/adj	bestaande	True	L	5	-0.020082238999999998	32120	7	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L5	staal/noun/het_nieuwsblad_19990306_01_737/622	L5	de	det	de/det	de	True	L	6	0.019394882	28074105	6330	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L6	staal/noun/het_nieuwsblad_19990306_01_737/622	L6	als	comp	als/comp	Als	True	L	7	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L7	staal/noun/het_nieuwsblad_19990306_01_737/622	L7	sentence_delimiter	none	none	<sentence>	none	L	8	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L8	staal/noun/het_nieuwsblad_19990306_01_737/622	L8	sentence_delimiter	none	none	</sentence>	none	L	9	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L9	staal/noun/het_nieuwsblad_19990306_01_737/622	L9	.	punct	./punct	.	False	L	10	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L10	staal/noun/het_nieuwsblad_19990306_01_737/622	L10	kijk_uit	verb	kijk_uit/verb	uitkijken	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L11	staal/noun/het_nieuwsblad_19990306_01_737/622	L11	wel	adv	wel/adv	wel	False	L	12	-0.40784246	887396	131	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L12	staal/noun/het_nieuwsblad_19990306_01_737/622	L12	u	pron	u/pron	u	False	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L13	staal/noun/het_nieuwsblad_19990306_01_737/622	L13	moet	verb	moet/verb	moet	False	L	14	-0.13841315	1557442	300	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L14	staal/noun/het_nieuwsblad_19990306_01_737/622	L14	renovatie	noun	renovatie/noun	renovatie	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R0	staal/noun/het_nieuwsblad_19990306_01_737/622	R0	of	vg	of/vg	of	True	R	1	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R1	staal/noun/het_nieuwsblad_19990306_01_737/622	R1	ruw	adj	ruw/adj	ruw	True	R	2	2.6900835	7043	23	FALSE	TRUE	FALSE	1
staal/noun/het_nieuwsblad_19990306_01_737/622/R2	staal/noun/het_nieuwsblad_19990306_01_737/622	R2	aluminium	noun	aluminium/noun	aluminium	True	R	3	6.1901226	1836	199	TRUE	TRUE	FALSE	2
staal/noun/het_nieuwsblad_19990306_01_737/622/R3	staal/noun/het_nieuwsblad_19990306_01_737/622	R3	,	punct	,/punct	,	True	R	4	NA	NA	NA	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R4	staal/noun/het_nieuwsblad_19990306_01_737/622	R4	zal	verb	zal/verb	zal	True	R	5	-0.06825491	1661300	344	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R5	staal/noun/het_nieuwsblad_19990306_01_737/622	R5	een	det	een/det	een	True	R	6	0.11532937	11075723	2754	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R6	staal/noun/het_nieuwsblad_19990306_01_737/622	R6	rol_luik	noun	rol_luik/noun	rolluik	True	R	7	1.9802	1245	2	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R7	staal/noun/het_nieuwsblad_19990306_01_737/622	R7	in	prep	in/prep	in	True	R	8	0.05025098	9492181	2203	FALSE	FALSE	FALSE	0
staal/noun/het_nieuwsblad_19990306_01_737/622/R8	staal/noun/het_nieuwsblad_19990306_01_737/622	R8	aluminium	noun	aluminium/noun	aluminium	True	R	9	6.1901226	1836	199	FALSE	FALSE	FALSE	0
