	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
dof/adj/nrc_handelsblad_20010616_65/71/L0	dof/adj/nrc_handelsblad_20010616_65/71	L0	de	det	de/det	de	True	L	1	-0.053170222999999996	28074105.0	1289.0
dof/adj/nrc_handelsblad_20010616_65/71/L1	dof/adj/nrc_handelsblad_20010616_65/71	L1	en	comp	en/comp	En	True	L	2			
dof/adj/nrc_handelsblad_20010616_65/71/L2	dof/adj/nrc_handelsblad_20010616_65/71	L2	sentence_delimiter	none	none	<sentence>	none	L	3			
dof/adj/nrc_handelsblad_20010616_65/71/L3	dof/adj/nrc_handelsblad_20010616_65/71	L3	sentence_delimiter	none	none	</sentence>	none	L	4			
dof/adj/nrc_handelsblad_20010616_65/71/L4	dof/adj/nrc_handelsblad_20010616_65/71	L4	.	punct	./punct	.	False	L	5			
dof/adj/nrc_handelsblad_20010616_65/71/L5	dof/adj/nrc_handelsblad_20010616_65/71	L5	kant	noun	kant/noun	kant	False	L	6	0.34967288	86945.0	6.0
dof/adj/nrc_handelsblad_20010616_65/71/L6	dof/adj/nrc_handelsblad_20010616_65/71	L6	de	det	de/det	de	False	L	7	-0.053170222999999996	28074105.0	1289.0
dof/adj/nrc_handelsblad_20010616_65/71/L7	dof/adj/nrc_handelsblad_20010616_65/71	L7	langs	prep	langs/prep	langs	False	L	8	-0.06702004	88271.0	4.0
dof/adj/nrc_handelsblad_20010616_65/71/L8	dof/adj/nrc_handelsblad_20010616_65/71	L8	tegenstander	noun	tegenstander/noun	tegenstander	False	L	9			
dof/adj/nrc_handelsblad_20010616_65/71/L9	dof/adj/nrc_handelsblad_20010616_65/71	L9	een	det	een/det	een	False	L	10	0.43722054	11075723.0	832.0
dof/adj/nrc_handelsblad_20010616_65/71/L10	dof/adj/nrc_handelsblad_20010616_65/71	L10	van	prep	van/prep	van	False	L	11	-0.045479044	12638933.0	585.0
dof/adj/nrc_handelsblad_20010616_65/71/L11	dof/adj/nrc_handelsblad_20010616_65/71	L11	opmerking	noun	opmerking/noun	opmerking	False	L	12			
dof/adj/nrc_handelsblad_20010616_65/71/L12	dof/adj/nrc_handelsblad_20010616_65/71	L12	een	det	een/det	een	False	L	13	0.43722054	11075723.0	832.0
