_id	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	sentence	sense	supersense	compound_status	_text	wordform
church/N/br-a01/2073	-4.0750115501591e-5	1.43601145771075e-4	0	0	-0.00578513051813515	0.00343869668413733	0	0	-0.258913261682248	-0.23353047044301	-0.340449777667121	0.359450440000079	-0.293333950952194	0.18122376868847	-0.339126145692099	-0.116297813564382	`` Being at the polls was just like being at church . I did n't smell a drop of liquor ,	c3	C	simply_church	was just like being at <span class='hit'>church</span> . I did n't smell	church
church/N/br-a07/1325	-0.00422869645655684	-8.12719222282764e-4	-0.10434434034071	-0.0726521357666541	-0.00462643504687144	-6.9015508957013e-4	-0.110927802223136	-0.0835829249537193	0.0773048059000414	-0.0380979834849323	9.32091972275193e-4	-0.00402789544466303	0.068086793005524393	-0.0842051769791222	2.89486674643302e-5	-0.00159019608040465	Interviews with several church leaders have disclosed that this development has raised the question whether the Peace Corps will be able to prevent confusion for church and state over methods , means and goals . There	a1	A	simply_church	able to prevent confusion for <span class='hit'>church</span> and state over methods ,	church
church/N/br-a07/1487	-0.00490933896675128	-0.0016933735045927	-0.253495480496042	-0.168273372048629	-0.00510263595077752	-0.00181587837086664	-0.260160779963529	-0.206289690967406	0.198636449401451	-0.0690576559338896	9.37605997925368e-4	-0.00402943020434802	0.175907700169243	-0.15814497651318	2.34612005556351e-5	-0.00158696848059203	And then , some churchmen remarked , there is a more classical church-state problem : Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? R. Sargent Shriver Jr. , director of	a1	A	simply_church	constitutional requirement on separation of <span class='hit'>church</span> and state ? R. Sargent	church
church/N/br-a09/1417	-0.00425634764770149	4.96114617307155e-4	0.123312776921842	0.0513320869311674	-0.00347761999733396	1.83635454623015e-4	0.131937510757843	0.0319053449819068	-0.0429198014374803	0.0758896120616387	9.42796052859473e-4	-0.00402720242764132	-0.0374887179113466	-0.0993439690248662	2.06308126512586e-5	-0.00159287702627916	It is designated as Stage 1 Residential on the Redevelopment Authority 's master plan and will feature row houses , garden apartments , four small parks , schools , churches , a shopping center and several small clusters of stores .	c1	C	simply_church	small parks , schools , <span class='hit'>churches</span> , a shopping center and	churches
church/N/br-a10/1674	-0.0044768238028097	4.29689289843479e-4	0.0940899592242307	-0.0367559028543389	-0.00349912992155415	-2.35952234044005e-5	0.101158188494012	-0.0501169449656035	-0.0788335299290497	0.115324626966076	9.33856167674126e-4	-0.00402518105958381	-0.076715900953285	-0.132956758204882	3.3443228194281e-5	-0.00159118456313241	Friday night the delegates heard the need for their forthcoming program , `` Breakthrough '' scheduled to fill the churches for the next two years . In his opening address	c3	C	simply_church	'' scheduled to fill the <span class='hit'>churches</span> for the next two years	churches
church/N/br-a10/1754	-0.00379039579715229	-3.12998146010764e-4	0.00286660877382721	-0.0490491940874492	-0.00436576173281129	-6.00833515080864e-5	0.00311465738751322	-0.0531432206717467	-0.0270645469236855	-0.0901094262885779	9.36822461044608e-4	-0.00402745166321416	-0.0362049793912663	0.0829741996497137	2.20786144050085e-5	-0.00159388062972465	`` Surveys show that one out of three Americans has vital contact with the church . This means that more than 100 million have no	d	D	simply_church	has vital contact with the <span class='hit'>church</span> . This means that more	church
church/N/br-a10/1769	-0.00383446146986965	-4.25689204558619e-4	-0.13049123586919	0.0146099380397925	-0.00446623319957624	-1.29593631343791e-4	-0.146432409789257	0.00708538911283486	0.0438201245512386	-0.046521011320238	9.40515471521819e-4	-0.00403321532875666	0.0439009936059119	0.0559448047589584	2.34091033274121e-5	-0.00159325420101398	This means that more than 100 million have no vital touch with the church or religious life '' , he told delegates Friday .	d	D	simply_church	no vital touch with the <span class='hit'>church</span> or religious life '' ,	church
church/N/br-a10/1831	-0.00413036557245683	4.18395191399437e-4	0.0210790075581711	-0.0305629922543821	-0.00363387627691256	1.90053662151829e-4	0.0215538795800208	-0.0293917207635766	-0.0996512740628744	0.025153501010339	9.32253716389349e-4	-0.00403094470511993	-0.106141034683897	-0.0377461233658304	3.39244005392844e-5	-0.00158067361812252	'' . `` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons .	b	B	simply_church	years we have opened 7000 <span class='hit'>churches</span> '' , the Rev. Mr.	churches
church/N/br-a10/1850	-0.00408141248154487	-2.24786404925463e-4	-0.0635514706759733	-0.0377761281963532	-0.00417005304285348	-7.97121787884127e-5	-0.0620890296436575	-0.0394015056251903	-0.00835682016675852	0.0244352378068039	9.48527651458742e-4	-0.00402958628830349	-0.00927454627502222	-0.0689047801671892	3.01771440188693e-5	-0.00158571821003842	`` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons . `` In this light we	b	B	simply_church	a national goal of one <span class='hit'>church</span> for every 10000 persons .	church
church/N/br-a10/1863	-0.00268838280715702	4.05668384037644e-4	0	0	-0.00246588165563558	4.28374807727458e-4	0	0	-0.154340027870829	0.16829201838739	9.34691590713003e-4	-0.00402997793769173	-0.13192024871626	-0.22679855729694	3.15594390171537e-5	-0.00158219637128191	10000 persons . `` In this light we need 1000 churches in Illinois , where we have 200 ; 800 in Southern New England , we have 60 ; we need 100 in Rhode Island , we have none '' , he said .	b	B	simply_church	this light we need 1000 <span class='hit'>churches</span> in Illinois , where we	churches
church/N/br-a10/1918	-0.00428110069161242	3.54237886394438e-5	-0.00222829280190387	0.0159852938964862	-0.00388623590659574	-1.4156970527065e-4	-0.00392834567267554	0.0127421442853014	-0.0255091238135931	0.0316682199728516	9.36486916859505e-4	-0.00402994685924917	-0.0156948356076606	-0.0427376298329554	3.02889868901948e-5	-0.00159419888525259	To step up the denomination 's program , the Rev. Mr. Brandt suggested the vision of 8000 new Assemblies of God churches in the next 10 years . To accomplish this would	b	B	simply_church	8000 new Assemblies of God <span class='hit'>churches</span> in the next 10 years	churches
church/N/br-a10/1940	-0.00342400201888812	-1.28960560298809e-5	0.0416386026475794	-0.0327889424665721	-0.00431764638354608	4.51494911050315e-4	0.0451891498817054	-0.043627154308966	-0.200293201531882	-0.0662831903062411	9.35533617016291e-4	-0.00402443973923646	-0.167287115794773	0.138528662838083	3.16800677660946e-5	-0.00159409464654327	some changes in methods , he said . `` The church 's ability to change her methods is going to determine her ability to meet the challenge of this hour '' .	a2	A	simply_church	he said . `` The <span class='hit'>church</span> 's ability to change her	church
church/N/br-a10/1980	-0.0042652184319497	-3.2632347365032e-5	-0.0273345267227206	0.0687544324204428	-0.00394334520477096	-2.30550677139965e-4	-0.0347623257923372	0.0742487418483308	0.00742611374133217	0.0326778293811168	9.37297598663044e-4	-0.00401862582381772	0.025900921773369	-0.0381005930938351	3.43175702249066e-5	-0.00157818476080005	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men	b	B	simply_church	all existing Assemblies of God <span class='hit'>churches</span> to start new churches .	churches
church/N/br-a10/1984	-0.00408689335514134	4.84904382681655e-4	-0.0256175206692025	0.107349553581902	-0.00378905089142172	0.00040073818145117303	-0.0350285355867433	0.11457844359548	-0.00928625349864707	0.0332140732775641	9.39532064529184e-4	-0.00403153736152881	0.00949259341174439	-0.0436051779959591	2.32358868691388e-5	-0.00159451578936409	A capsule view of proposed plans includes : Encouraging by every means , all existing Assemblies of God churches to start new churches . Engaging mature , experienced men to pioneer or open	b	B	simply_church	God churches to start new <span class='hit'>churches</span> . Engaging mature , experienced	churches
church/N/br-a10/1996	-0.00463327039417825	-2.47693695827991e-4	0.0310306586925468	-0.0665390064493244	-0.00377345926028423	-5.03277866210835e-4	0.0360187139185016	-0.0773242089594807	0.0101763249976648	0.0654263479999277	9.33149262864739e-4	-0.00402636969664065	0.0239124984411073	-0.0798325296763866	2.68690246449154e-5	-0.00157760937790115	Engaging mature , experienced men to pioneer or open new churches in strategic population centers . Surrounding pioneer pastors with vocational	b	B	simply_church	to pioneer or open new <span class='hit'>churches</span> in strategic population centers .	churches
church/N/br-a10/2022	-0.00431676710761454	-3.20983708581491e-4	-0.00323563614385596	-0.0252107604737016	-0.00407098051124032	-3.47392615933999e-4	-3.0340993023348e-4	-0.034568985759548	0.0185229920724042	-0.0151615685701956	9.36684060941409e-4	-0.0040276277414554	0.0097572238833638	-0.0192114928859316	3.26084820766988e-5	-0.00159231063915906	Surrounding pioneer pastors with vocational volunteers ( laymen , who will be urged to move into the area of new churches in the interest of lending their support to the new project ) .	b	B	simply_church	into the area of new <span class='hit'>churches</span> in the interest of lending	churches
church/N/br-a10/2051	-0.00762371617707723	2.30170656935075e-4	0	0	-0.00183906989685476	-0.00303841950308155	0	0	0.116895564149639	0.359171389259052	9.35117949887713e-4	-0.00402799958578492	0.204809549468111	-0.344371724569039	3.37042750256774e-5	-0.00158004008672388	Arranging for ministerial graduates to spend from 6 - 12 months as apprentices in well-established churches . U. S. Dist. Judge Charles L. Powell denied all	b	B	simply_church	months as apprentices in well-established <span class='hit'>churches</span> . U. S. Dist. Judge	churches
church/N/br-a16/453	-0.00519457415948311	0.00115864668279642	0.218551535631731	-0.0138103887696353	-0.00232414825109241	-9.75240331256031e-6	0.240201574365853	-0.0391380460018211	-0.0440172426650811	0.225776524140994	9.44281695159793e-4	-0.00402592412568863	-0.026559420627265	-0.240750377396663	2.56323861927627e-5	-0.00159884930999484	Because of the recent death of the bride 's father , Frederick B. Hamm , the marriage of Miss Terry Hamm to John Bruce Parichy will be a small one at noon tomorrow in St. Bernadine 's church , Forest Park . A small reception will follow in	c1	C	simply_church	tomorrow in St. Bernadine 's <span class='hit'>church</span> , Forest Park . A	church
church/N/br-a17/2228	-0.00409781795534528	2.12132394906771e-4	-0.0345506333923529	0.0823797619443248	-0.00380801553096263	7.21784955905433e-6	-0.0422252529741618	0.0908342723201856	0.0545903690982737	0.0207193984766493	9.34641568724789e-4	-0.00401987058413998	0.071750166391599	0.0138681694892187	3.27117178906235e-5	-0.00159839162602258	Jr. seated guests . A reception was held at the church . The First Christian Church of Pampa was the setting	c1	C	simply_church	reception was held at the <span class='hit'>church</span> . The First Christian Church	church
church/N/br-a18/760	-0.00511695547399195	1.43241399645476e-4	-0.0233851172312874	-0.201621019073415	-0.0030433252024149	-6.05744249346748e-4	0.0304940339615715	-0.221910857337779	0.00464048455434297	0.12596659678115	9.40684812782509e-4	-0.00402662460027045	0.0430900444505187	-0.144140607599035	3.25806012963933e-5	-0.00159368061096396	party . The women 's committee of St. David 's Church will hold its annual pre-Fair pink parade , a dessert bridge and fashion show at 1 P. M. on Monday , April 17 , in the chapel assembly room , Wayne .	c2	C	simply_church	committee of St. David 's <span class='hit'>Church</span> will hold its annual pre-Fair	Church
