id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre	wordform	msOct	mcuesOct	mcommOct	determiner	premodifier	postmodifier	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization	msOct4
church/NN/br-a01/2073	-0.15399190620999	-0.158138214834201	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	0.952821106624874	0	9	press_reportage	press	church	c3	being at		none	NA	NA	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-d01/1628	0.0112622132650838	-0.137796051201035	church	NN	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	3	2	1.45195475574646	0.666666666666667	7	religion	non-fiction	church	a2	particular	the particular branch is not specified, but the fact that it’s one out of many is explicited	a	NA	NA	no	no	B	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/1641	0.193465268400657	0.0371917694581199	church	NN	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	2	1	2.36251634614752	0.5	4	religion	non-fiction	church	a2	tradition;apostolic		the	apostolic	NA	no	yes	B	singular	no	no	no	no	no	yes	no	NA	yes	a
church/NN/br-d02/706	0.0313282753338663	-0.0724116018924353	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	4	4	1.69286035002335	1	9	religion	non-fiction	church	a2	indifference to the;traditional message;sin and grace		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/786	0.0696854720089489	-0.239021206382707	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	3	0	1.89267241270851	0	5	religion	non-fiction	church	a2	risk assuming	definiteness and agent	the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/877	0.141256564565431	0.0959900782531969	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	4	3	1.67829846949182	0.75	5	religion	non-fiction	church	a2	ancient and venerable tradition		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/923	0.0622052784317212	-0.0552931003671523	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world	3	2	1.13703358816013	0.666666666666667	7	religion	non-fiction	church	a1	independent of the world		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/949	-0.037794074012659	-0.136597949938604	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need	2	1	1.2138483549322	0.5	6	religion	non-fiction	church	a1	to be the;Scripture;God		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d02/969	0.0271544455201194	-0.127163919461852	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	4	3	1.49813952728353	0.75	5	religion	non-fiction	church	a1	God;creatures;afford	definiteness and agent	the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-d03/1080	0.0138377892653623	0.113941933298918	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good	2	2	1.29552162526579	1	7	religion	non-fiction	church	c3	going to;Protestant;redundancy		none	NA	NA	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
