id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	text	wordform	msOct	determiner	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization	msOct4
church/NN/br-a01/2073	-0.00575680972713196	-0.00163745136904596	church	NN	church%1:04:00::	E	E	D	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	church	c3	none	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-a07/1303	-0.0057589481362105	-0.00164802949676569	church	NN	NA	A	A	NA	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	church	a2	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a07/1325	-0.00576908687882802	-0.0016212109928175	church	NN	NA	A	A	NA	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	church	a1	none	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a07/1487	-0.00578014021100283	-0.00161853371489862	church	NN	NA	A	A	NA	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	church	a1	none	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a10/1754	-0.00576732462035513	-0.00161591008374875	church	NN	NA	A	A	NA	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	church	d	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	no	d
church/NN/br-a10/1769	-0.00575571825373939	-0.00162515174113955	church	NN	NA	A	A	NA	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	church	d	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	no	d
church/NN/br-a10/1850	-0.00579386061139176	-0.00162665840816246	church	NN	NA	C	C	NA	 adding that the denomination had a national goal of one <font color=green>church</font>  for every 10000 persons.`` In this light we need 1000	church	b	number	no	no	C	singular	no	no	no	no	no	no	yes	no	yes	b
church/NN/br-a10/1940	-0.00577815122128605	-0.0016518312450138	church	NN	NA	A	A	NA	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	church	a2	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a16/453	-0.00578456767373831	-0.00161200409372421	church	NN	NA	D	D	NA	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	church	c1	none	yes	no	D	singular	no	no	no	no	yes	no	no	no	no	c
church/NN/br-a17/1636	-0.00577721231800917	-0.00163001379068162	church	NN	NA	D	D	NA	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	Church	c1	the	yes	yes	D	singular	yes	no	no	yes	no	yes	no	no	no	c
