id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre	wordform	msOct	mcuesOct	mcommOct	determiner	premodifier	postmodifier	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization
church/NN/br-a01/2073	-0.128213714255845	0.115575042024779	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	2.29875384298412	0	3	press_reportage	press	church	c3	being at		none	NA	NA	yes	no	E	singular	no	no	no	no	no	no	no	yes	no
church/NN/br-a07/1303	0.0678496102995595	-0.0206562199055047	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	1	2.569645393721	0.333333333333333	4	press_reportage	press	church	a2	leaders		NA	NA	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a07/1325	0.120821219298444	0.0357306887925448	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	2	2.39560648483933	0.5	2	press_reportage	press	church	a1	Peace Corps;state		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a07/1487	0.0981492092377203	0.0354190557609101	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	4	1	2.39846976306005	0.25	3	press_reportage	press	church	a1	constitutional requirement;state		none	NA	NA	no	no	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a10/1754	0.0709582989659158	0.0655192284700255	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	1	1	2.24918894878551	1	2	press_reportage	press	church	d	vital contact with the;Americans		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	no
church/NN/br-a10/1769	0.0424045716480645	-0.0142583684688253	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	1	2.39598553113232	0.333333333333333	3	press_reportage	press	church	d	touch with the;religious life	opposition to religious life	the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	no
church/NN/br-a10/1940	0.160966522216147	0.0435790430657718	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	2.5788701050302	0	2	press_reportage	press	church	a2	changes in methods;her methods		the	NA	NA	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes
church/NN/br-a16/453	-0.110694945895765	0.0322621827406248	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	2.66853777552605	0.5	3	press_reportage	press	church	c1	noon;tomorrow;in St. Bernadine’s;Forest Park;reception		none	St. Bernadine’s	NA	yes	no	D	singular	no	no	no	no	yes	no	no	no	no
church/NN/br-a17/1636	-0.12642343170057	-0.00884610172610045	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	3	2.5481958954878	0.75	3	press_reportage	press	Church	c1	married;Saturday;at the Munger Place;Methodist		the	Munger Place Methodist	NA	yes	yes	D	singular	yes	no	no	yes	no	yes	no	no	no
church/NN/br-a17/1770	-0.0728471903518644	0.0654378398576015	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	2	0	2.34208115819546	0	3	press_reportage	press	Church	c1	chapel of the;First Presbyterian;of Houston;bride		the	First Presbyterian	NA	yes	yes	D	singular	yes	no	no	no	no	yes	no	no	no
church/NN/br-a17/2228	-0.0559899735032019	-0.043008532758672	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	2	3.25986261166042	0.4	5	press_reportage	press	church	c1	reception;held at the		the	NA	NA	yes	yes	D	singular	no	no	no	no	no	no	no	no	no
