id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw	genre	broad_genre
church/NN/br-a07/1325	-0.10293939211036	-0.144390646063084	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	2	2.39560648483933	0.5	2	press_reportage	press
church/NN/br-a10/1769	-0.0373380624821524	-0.0511882649918736	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	1	2.39598553113232	0.333333333333333	3	press_reportage	press
church/NN/br-a17/1636	0.1498442015742	0.0884346843368764	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	3	2.5481958954878	0.75	3	press_reportage	press
church/NN/br-a17/1770	0.138576764302156	0.134082573161068	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	2	0	2.34208115819546	0	3	press_reportage	press
church/NN/br-a17/2233	0.0973025542930906	-0.0295125709024139	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	4	1	3.19717904654003	0.25	4	press_reportage	press
church/NN/br-a22/307	0.0572625840617597	-0.0247587252946201	church	NN	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	4	1	2.96487488590881	0.25	2	press_reportage	press
church/NN/br-a22/310	0.0474297795296351	-0.0221959072523723	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	5	1	2.89369637906625	0.2	3	press_reportage	press
church/NN/br-a31/1842	0.26718685165487	-0.138836504125078	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	3	0	3.20740587275114	0	2	press_reportage	press
church/NN/br-a31/2087	0.166798225964001	-0.0166941986487959	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 Family'' at 7: 30 p. m. Sunday at Christ Lutheran <font color=green>Church</font> . Mr. and Mrs. George Treadwell will be honored at a	3	0	2.56738844095307	0	2	press_reportage	press
church/NN/br-a31/2112	0.110964119744108	-0.0154414107896101	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	3	0	3.21671850354691	0	2	press_reportage	press
church/NN/br-a31/2120	0.0842996995583753	-0.0571397649277308	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	4	0	3.52118305428487	0	2	press_reportage	press
church/NN/br-a31/2172	0.209049995425408	-0.0763416738306352	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 service marking National Family Week. Every family of Riviera Presbyterian <font color=green>Church</font>  has been asked to read the Bible and pray together	6	2	2.22692286301387	0.333333333333333	2	press_reportage	press
church/NN/br-b08/1866	0.0712859681710058	-0.0456418895150867	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 wrote after almost a decade of service to this majestic <font color=green>church</font> .`` Such a church needs vigor and vitality in its rector	2	0	3.05758457346936	0	3	press_editorial	press
church/NN/br-b08/2245	0.240567454646825	-0.369661254915637	church	NN	E	E	DE	CDE	Z	Z	Z	Z	Z	 them to bestow saintliness upon us in return for ostentatious <font color=green>church</font>  attendance and a few bucks a week, American cash. If	1	0	2.35431312591885	0	1	press_editorial	press
church/NN/br-b12/2115	0.164114289445025	-0.261818842503983	church	NN	A	A	AB	AB	Z	Z	Z	Z	Z	 and Greek and other ancient writings, some by the early <font color=green>church</font>  fathers, in themselves called for a restudy of the Bible	5	0	2.8800524959404	0	2	press_editorial	press
church/NN/br-b15/1190	0.382240367708475	-0.0952026759007369	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 El; Rev. DeWitt Clemens, pastor of the Mathewson Street Methodist <font color=green>Church</font> ; Mr. Felix Miranda, of the Imperial Knife Co.; and to	2	1	3.31833526061419	0.5	1	press_editorial	press
church/NN/br-b18/1829	0.239660329745379	0.318858700153386	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 the Women 's Association of the Trumbull Ave. United Presbyterian <font color=green>Church</font> , considerable use was made of material from The Detroit News	4	0	2.39466442144241	0	1	press_editorial	press
church/NN/br-d02/786	0.00962333283633616	0.208727648814086	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	3	0	2.80427872843094	0	3	religion	non-fiction
church/NN/br-d02/877	0.0842641608861263	-0.110454009475642	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	4	3	2.56413187014748	0.75	3	religion	non-fiction
church/NN/br-d02/949	-0.39653381684394	0.288776129230762	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need	2	0	2.98716807622267	0	1	religion	non-fiction
church/NN/br-d02/969	0.0341789582815599	-0.234791436438972	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	4	2	2.61597310831214	0.5	2	religion	non-fiction
church/NN/br-d03/1350	0.0380167576752803	-0.0284421137021704	church	NN	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	5	4	2.81893035224512	0.8	7	religion	non-fiction
church/NN/br-d03/2336	0.0316024070910906	-0.0531801616483614	church	NN	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	2	1	2.99059766646577	0.5	6	religion	non-fiction
church/NN/br-d03/2341	0.0416255125678891	-0.0626587892871153	church	NN	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	2	1	3.17197210239365	0.5	5	religion	non-fiction
church/NN/br-d03/945	0.0394927051537431	-0.0493163773211198	church	NN	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 than an Archbishops' Commission`` reported last month that in the <font color=green>Church</font>  of England alone there are 790 churches which are redundant	1	0	2.72451058449298	0	2	religion	non-fiction
church/NN/br-d04/56	0.0392410319819415	-0.166661131059064	church	NN	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 Jesus Christ the unique and the universal concur. Perhaps no <font color=green>church</font>  father saw this concurrence of the unique and the universal	4	5	2.47040112380858	1.25	5	religion	non-fiction
church/NN/br-d06/2048	-0.0442766797242362	-0.385318968018189	church	NN	E	E	DE	CDE	Z	Z	Z	Z	Z	 not one of the 70000000 Americans who do not attend <font color=green>church</font> , but who feel that various forms of recreation are more	1	0	2.31552710088369	0	1	religion	non-fiction
church/NN/br-d07/1408	0.193155658467901	-0.129936173898531	church	NN	D	D	DE	CDE	Z	Z	Z	Z	Z	 then jumped; she was fatally injured. The entrance to a <font color=green>church</font>  has been walled up, so that the congregation, most of	2	0	2.76803330930191	0	2	religion	non-fiction
church/NN/br-d09/1054	0.0374618043201033	-0.0039577380792818	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 Me'',`` What the Church Means to Me'',`` Why Join the <font color=green>Church</font> '',`` The Duties of Church Members'', etc.. Assign a series of	3	3	2.94235281299254	1	5	religion	non-fiction
church/NN/br-d09/1641	0.0615036938847587	0.0385174081754969	church	NN	C	C	C	CDE	Z	Z	Z	Z	Z	 fellowship luncheon or dinner with new members as guests. The <font color=green>church</font>  is`` the family of God''. The members of the`` family	3	2	2.63323532176062	0.666666666666667	4	religion	non-fiction
