token_id	left	target	right
dry/n/wlp_fic_1998/2510334	, then I just sit in the lounge until the cook calls us , feeling hungry , weak , and	dry	all over . <p> I try to stay up after eating , but ca n't . I climb into my
dry/n/wlp_mag_2001/193486	from the walls and base of the building . Generous overhangs are essential in wet regions , and in very	dry	regions with little rainfall , they provide shading from sun in summer , yet allow winter sun to enter .
dry/n/wlp_news_2000/2299528	minutes or until crisp-tender . Lift out of the basket and allow them to drain and cool , then pat	dry	. <p> Preheat oven to 375 degrees . Butter an 11- or 12-inch oval gratin dish or 1 1/2-quart baking
dry/n/wlp_mag_2005/2395752	"in size . "" ON MOUNTAIN : "" We do n't boast the most inches , but our snow is"	dry	and light , and you can always find wind-loaded areas . From the top ( at Big Sky ) ,
dry/n/wlp_spok_2005/5054385	here in Dallas . Welcome to day two of THE TURNAROUND . Our small business owner Amin Bata runs two	dry	cleaning operations in the area . Our mentor is the CEO of FedEx Kinko 's . Well the CEO Gary
dry/n/wlp_fic_1997/1707802	his own decay , a comic vulture to his own carrion . He rubbed his sore arm , exposed his	dry	gums and weakened teeth , jabbed to dislodge small black placques of unsalivated flesh . <p> Spear settled or was
dry/n/wlp_mag_2002/759438	evenly moist , allowing the plants to root in and adjust to their new surroundings . ( Plants that are	dry	and stressed will often decline or die . ) An oscillating hose-end sprinkler covered the rectangular garden well . The
dry/n/wlp_fic_1991/4121016	. He got in the passenger side and took off his boots , socks , and pants . Put on	dry	pants , socks , and running shoes . He got back out of the car . The wind was now
dry/n/wlp_mag_1990/4035547	be able to wait quite happily for up to several weeks if the boxes are stored in a cool ,	dry	location . <p> Because both the U.S. Postal Service and United Parcel Service have limits on package size and weight
dry/n/wlp_news_1996/1870642	Stir in the egg yolks and then the melted chocolate , mixing to blend . <p> In a clean ,	dry	bowl , whip the egg whites , first gently on low to start foaming . Add the salt , and
dry/n/wlp_fic_1995/2705706	helped Kadoh draw it back . When released , the arrow flew only a short distance before plummeting into the	dry	", yellow grass . "" I think Brother Deer has nothing to fear this morning , "" Ximi said ,"
dry/n/wlp_acad_1997/4698396	determine intensity in each octave band ( 16 Hz to 8000 Hz ) . All recordings were made on a	dry	day with little wind present at a location where a pedestrian would stand if he or she wanted to cross
dry/n/wlp_mag_2004/2595710	name sounded like something from an Ayn Rand novel . Pilgrim came from Oklahoma , actually . His personality was	dry	as a dust bowl , making him seem a natural for his position in investments at Philadelphia National Bank 's
dry/n/wlp_mag_2010/3102116	were getting astronomically high , but at least the shelves were n't bare : The groceries , clothiers , and	dry	goods stores in the commercial district were still open for business . People began saying publicly , with something like
dry/n/wlp_acad_1994/4043937	extrusion process allows for a quick change of product with no shutdown time . <p> Today 's powdery mountains of	dry	cornstarch could be tomorrow 's high-tech , economical , and environmentally friendly resins , adhesives , packing materials , and
dry/n/wlp_fic_2002/519948	"were back in his face . "" Yes , I 'm awake , "" she said , her mouth feeling"	dry	". "" What is it ? "" "" Come on , "" he said , taking her hand and urging"
dry/n/wlp_mag_1998/770973	Coast . MAKES 12 SERVINGS 1 cup warm ( 105 deg to 115 deg F ) water 1 package active	dry	yeast with sourdough starter 3 tablespoons olive oil 1/4 teaspoon salt 21/2 to 3 cups unsifted bread flour 1/2 cup
dry/n/wlp_news_1991/3456152	face . His watery eyes turn up sweetly at the outside corners , like cat glasses . His hair is	dry	and shaggy , and he has n't bothered to comb it super-carefully . His book is an appalling onslaught of
dry/n/wlp_news_1992/3924108	"the water regime , "" said Stvan . "" "" Below the dams , rivers and gullies are often stone"	dry	". "" <p> Stvan , an architect , rails against the "" "" ugly ski-lift terminals , parking places ,"
dry/n/wlp_fic_2000/2020376	too . He was up early each day , leading his charges off to graze on what few mouthfuls of	dry	grass the town green afforded in the harsh weather . Master Giles heard his staff tap across the paving stones
dry/n/wlp_mag_1999/1052826	is essential after cleaning a bike or riding in the rain , because water removes lube . When things are	dry	or dirty , moving parts rub against each other ( instead of the oil ) , which means they wear
dry/n/wlp_fic_2009/1877357	Clines had worn plastic smiles and behaved with civility the day of the wedding , but once the ink was	dry	on the marriage license , they 'd made no bones about the fact they were less than happy with Derek
