_id	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	c.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_all.5_5.ppmi0.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.noweight.5_5.nocomp.y	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.x	s.model1_semcw.10k_dvnj.5_5.ppmi0.5_5.nocomp.y	sentence	sense	supersense	compound_status	_text	wordform
church/N/br-a01/2073	-0.316952235675472	-0.3020320047353	0	0	-0.4135215906511	-0.118118464203101	0	0	-0.249713094783835	-0.258834957464178	-0.845558777451345	-0.162413609599695	-0.297749909600154	-0.176942001464527	-0.427879681433069	0.0422514829854077	`` Being at the polls was just like being at church . I did n't smell a drop of liquor ,	c3	C	simply_church	was just like being at <span class='hit'>church</span> . I did n't smell	church
church/N/br-a07/1325	0.0855221062280618	-0.0622033023666089	-0.109824613981259	-0.071455154315455	0.0932799447232112	-0.0423192605803294	-0.104605388228188	-0.0898257658509274	0.0768498638268797	-0.0278895847058162	0.0285492596885032	-0.000130133882655145	0.088883372944195	-0.0335044492287217	0.0016841132549002	-0.000612584905470627	Interviews with several church leaders have disclosed that this development has raised the question whether the Peace Corps will be able to prevent confusion for church and state over methods , means and goals . There	a1	A	simply_church	able to prevent confusion for <span class='hit'>church</span> and state over methods ,	church
church/N/br-a07/1487	0.230740409623427	-0.0786498820585052	-0.263182125067008	-0.169428120040639	0.223675927503951	-0.112360168138872	-0.254142710274944	-0.210666984033098	0.190974510714374	0.0952498274396218	0.0285349383587719	-0.000141629085749645	0.213354213829146	0.0705524332200654	0.00168858705840089	-0.000597155004362011	And then , some churchmen remarked , there is a more classical church-state problem : Can religious agencies use Government funds and Peace Corps personnel in their projects and still preserve the constitutional requirement on separation of church and state ? R. Sargent Shriver Jr. , director of	a1	A	simply_church	constitutional requirement on separation of <span class='hit'>church</span> and state ? R. Sargent	church
church/N/br-a09/1417	-0.0494146625612644	0.0619146843689157	0.134779395557536	0.0410150041816943	-0.0705117733167431	0.00420163309113569	0.113420679600647	0.069583472267738	-0.0502586160522441	0.0713896338271113	0.0285482226298966	-0.000143024872429175	-0.04078568817633	0.0869152844766913	0.00168384283168179	-0.000595886404480562	It is designated as Stage 1 Residential on the Redevelopment Authority 's master plan and will feature row houses , garden apartments , four small parks , schools , churches , a shopping center and several small clusters of stores .	c1	C	simply_church	small parks , schools , <span class='hit'>churches</span> , a shopping center and	churches
church/N/br-a10/1674	-0.0277431014320137	0.0796543468225632	0.0967750942782535	-0.0487669217620439	-0.0514794234388819	0.0151691795776155	0.103798016520524	-0.0447458351004368	-0.0838579094741823	0.11592647444662	0.0285487719753749	-0.000136251428095094	-0.0839304716801344	0.127634901051784	0.00166940971902069	-0.000589576004066998	Friday night the delegates heard the need for their forthcoming program , `` Breakthrough '' scheduled to fill the churches for the next two years . In his opening address	c3	C	simply_church	'' scheduled to fill the <span class='hit'>churches</span> for the next two years	churches
church/N/br-a10/1754	0.0115674439446226	-0.0614918037131089	0.00300721243083942	-0.0530659782248639	0.0358667934580703	0.0262982237759168	0.00737231702979291	-0.0538845947048539	-0.0169948579674805	-0.0975431585457915	0.0285425616350982	-0.00015007648050143	-0.0397928251816871	-0.0817053589105457	0.00167532423178413	-0.000591163487522565	`` Surveys show that one out of three Americans has vital contact with the church . This means that more than 100 million have no	d	D	simply_church	has vital contact with the <span class='hit'>church</span> . This means that more	church
church/N/br-a10/1769	0.0287481838776562	-0.064934894810521	-0.13308842898107	0.0183756321467421	0.0473834230287886	0.0192822190258299	-0.146305866477906	-0.00952206531081861	0.049944983688889	-0.0561685324850202	0.0285431738244518	-0.000146519109194995	0.0464268656819688	-0.0386552880232533	0.00167578389378537	-0.000603213666635571	This means that more than 100 million have no vital touch with the church or religious life '' , he told delegates Friday .	d	D	simply_church	no vital touch with the <span class='hit'>church</span> or religious life '' ,	church
church/N/br-a10/1831	-0.0347857030721915	0.0498735341822733	0.0227007254933952	-0.0344715157021727	-0.0499295800288212	0.00634686616636407	0.0247277535145055	-0.0309135057329077	-0.099526818455163	0.0115752032168143	0.028521703147734	-0.000136426668619265	-0.109998282193675	0.0404263262235304	0.00169538351313769	-0.000594494995837523	'' . `` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons .	b	B	simply_church	years we have opened 7000 <span class='hit'>churches</span> '' , the Rev. Mr.	churches
church/N/br-a10/1850	0.0241364196540416	-0.00403229200411287	-0.0642032785433972	-0.0384105826139042	-0.00585010765405635	-0.0234246786124239	-0.0589910593548318	-0.043545740516051	-0.00968175020864117	0.0305697336591598	0.0285373411334835	-0.00013772340876911	-0.0122118922152543	0.0617153499257473	0.00168332891210974	-0.000596477267713843	`` In 35 years we have opened 7000 churches '' , the Rev. Mr. Brandt said , adding that the denomination had a national goal of one church for every 10000 persons . `` In this light we	b	B	simply_church	a national goal of one <span class='hit'>church</span> for every 10000 persons .	church
church/N/br-a10/1863	-0.121301110558246	0.194766636027894	0	0	-0.183794032669166	0.132375361491131	0	0	-0.166356029826437	0.160683028391287	0.0285460679188949	-0.000136594287389537	-0.137932979194795	0.22668835879137	0.00168074460328428	-0.000607795156300941	10000 persons . `` In this light we need 1000 churches in Illinois , where we have 200 ; 800 in Southern New England , we have 60 ; we need 100 in Rhode Island , we have none '' , he said .	b	B	simply_church	this light we need 1000 <span class='hit'>churches</span> in Illinois , where we	churches
