cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_4	ann_3	ann_2	ann_1	votes	conc_distance	conc_id
gekleurd/adj/nrc_handelsblad_20010616_65/278/L0	gekleurd/adj/nrc_handelsblad_20010616_65/278	L0	vrolijk	adj	vrolijk/adj	vrolijk	True	L	1	4.0542946	15902	158	TRUE	TRUE	TRUE	TRUE	4	1	gekleurd/adj/nrc_handelsblad_20010616_65/278/L0
gekleurd/adj/nrc_handelsblad_20010616_65/278/L1	gekleurd/adj/nrc_handelsblad_20010616_65/278	L1	,	punct	,/punct	,	True	L	2	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	2	gekleurd/adj/nrc_handelsblad_20010616_65/278/L1
gekleurd/adj/nrc_handelsblad_20010616_65/278/L2	gekleurd/adj/nrc_handelsblad_20010616_65/278	L2	gevuld	adj	gevuld/adj	gevulde	True	L	3	2.0170498	6929	9	FALSE	FALSE	FALSE	TRUE	1	3	gekleurd/adj/nrc_handelsblad_20010616_65/278/L2
gekleurd/adj/nrc_handelsblad_20010616_65/278/L3	gekleurd/adj/nrc_handelsblad_20010616_65/278	L3	water	noun	water/noun	water	True	L	4	0.9883429	84146	39	FALSE	FALSE	FALSE	FALSE	0	4	gekleurd/adj/nrc_handelsblad_20010616_65/278/L3
gekleurd/adj/nrc_handelsblad_20010616_65/278/L4	gekleurd/adj/nrc_handelsblad_20010616_65/278	L4	met	prep	met/prep	met	True	L	5	0.6349619000000001	4230163	1379	FALSE	FALSE	FALSE	FALSE	0	5	gekleurd/adj/nrc_handelsblad_20010616_65/278/L4
gekleurd/adj/nrc_handelsblad_20010616_65/278/L5	gekleurd/adj/nrc_handelsblad_20010616_65/278	L5	zes	num	zes/num	zes	True	L	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	6	gekleurd/adj/nrc_handelsblad_20010616_65/278/L5
gekleurd/adj/nrc_handelsblad_20010616_65/278/L6	gekleurd/adj/nrc_handelsblad_20010616_65/278	L6	van	prep	van/prep	van	True	L	7	-0.0039171656	12638933	2173	FALSE	FALSE	FALSE	FALSE	0	7	gekleurd/adj/nrc_handelsblad_20010616_65/278/L6
gekleurd/adj/nrc_handelsblad_20010616_65/278/L7	gekleurd/adj/nrc_handelsblad_20010616_65/278	L7	set	noun	set/noun	sets	True	L	8	0.026241643	33633	6	FALSE	FALSE	FALSE	FALSE	0	8	gekleurd/adj/nrc_handelsblad_20010616_65/278/L7
gekleurd/adj/nrc_handelsblad_20010616_65/278/L8	gekleurd/adj/nrc_handelsblad_20010616_65/278	L8	de	det	de/det	de	True	L	9	-0.050367395999999995	28074105	4606	FALSE	FALSE	FALSE	FALSE	0	9	gekleurd/adj/nrc_handelsblad_20010616_65/278/L8
gekleurd/adj/nrc_handelsblad_20010616_65/278/L9	gekleurd/adj/nrc_handelsblad_20010616_65/278	L9	ga	verb	ga/verb	gaan	True	L	10	-0.29708487	1085158	139	FALSE	FALSE	FALSE	FALSE	0	10	gekleurd/adj/nrc_handelsblad_20010616_65/278/L9
gekleurd/adj/nrc_handelsblad_20010616_65/278/L10	gekleurd/adj/nrc_handelsblad_20010616_65/278	L10	tijd	noun	tijd/noun	tijd	True	L	11	-0.36241755	349223	42	FALSE	FALSE	FALSE	FALSE	0	11	gekleurd/adj/nrc_handelsblad_20010616_65/278/L10
gekleurd/adj/nrc_handelsblad_20010616_65/278/L11	gekleurd/adj/nrc_handelsblad_20010616_65/278	L11	kom	adj	kom/adj	komende	True	L	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	12	gekleurd/adj/nrc_handelsblad_20010616_65/278/L11
gekleurd/adj/nrc_handelsblad_20010616_65/278/L12	gekleurd/adj/nrc_handelsblad_20010616_65/278	L12	de	det	de/det	De	True	L	13	-0.050367395999999995	28074105	4606	FALSE	FALSE	FALSE	FALSE	0	13	gekleurd/adj/nrc_handelsblad_20010616_65/278/L12
gekleurd/adj/nrc_handelsblad_20010616_65/278/L13	gekleurd/adj/nrc_handelsblad_20010616_65/278	L13	sentence_delimiter	none	none	<sentence>	none	L	14	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	-1	gekleurd/adj/nrc_handelsblad_20010616_65/278/delimiter
gekleurd/adj/nrc_handelsblad_20010616_65/278/L14	gekleurd/adj/nrc_handelsblad_20010616_65/278	L14	sentence_delimiter	none	none	</sentence>	none	L	15	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	-1	gekleurd/adj/nrc_handelsblad_20010616_65/278/delimiter
gekleurd/adj/nrc_handelsblad_20010616_65/278/L15	gekleurd/adj/nrc_handelsblad_20010616_65/278	L15	.	punct	./punct	.	False	L	16	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	14	gekleurd/adj/nrc_handelsblad_20010616_65/278/L13
gekleurd/adj/nrc_handelsblad_20010616_65/278/R0	gekleurd/adj/nrc_handelsblad_20010616_65/278	R0	bal	noun	bal/noun	ballen	True	R	1	1.3221063999999998	50751	33	TRUE	TRUE	TRUE	TRUE	4	1	gekleurd/adj/nrc_handelsblad_20010616_65/278/R0
gekleurd/adj/nrc_handelsblad_20010616_65/278/R1	gekleurd/adj/nrc_handelsblad_20010616_65/278	R1	-	punct	-/punct	-	True	R	2	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	2	gekleurd/adj/nrc_handelsblad_20010616_65/278/R1
gekleurd/adj/nrc_handelsblad_20010616_65/278/R2	gekleurd/adj/nrc_handelsblad_20010616_65/278	R2	of	comp	of/comp	of	True	R	3	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0	3	gekleurd/adj/nrc_handelsblad_20010616_65/278/R2
gekleurd/adj/nrc_handelsblad_20010616_65/278/R3	gekleurd/adj/nrc_handelsblad_20010616_65/278	R3	de	det	de/det	de	True	R	4	-0.050367395999999995	28074105	4606	FALSE	FALSE	FALSE	FALSE	0	4	gekleurd/adj/nrc_handelsblad_20010616_65/278/R3
