id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	mari2	mari3	wn2	wn3	wnsense	text
state/JJ/br-d12/2233	-0.00437644696313537	-0.00620086080152509	state	JJ	Z	Z	Z	Z	Z	Z	Z	Z	Z	 the narrow sense of skillfulness in meeting a client 's <font color=green>stated</font>  needs as already noted? Our faculty and students pressed this
state/JJ/br-e21/1154	0.00594791127256276	0.0145775727567303	state	JJ	state%5:00:01:public:00	A3	A	A	ABC	AB	ABC	AB	A2	 parks place emphasis on features which are of national or <font color=green>state</font>  significance, counties should seek out these features which are distinctive
state/JJ/br-g17/2327	0.00265563556631138	0.00611226205480326	state	JJ	state%5:00:02:public:00	A2	A	A	ABC	AB	ABC	AB	A2	 been the very last of the forty-eight to establish a <font color=green>state</font>  university? The state universities of Maine, New Hampshire, And Vermont
state/JJ/br-g17/2331	0.0175651392675585	-0.000340547401041528	state	JJ	state%5:00:02:public:00	A2	A	A	ABC	AB	ABC	AB	A2	 last of the forty-eight to establish a state university? The <font color=green>state</font>  universities of Maine, New Hampshire, And Vermont are older and
state/JJ/br-h11/1931	0.018189363936068	-0.00474896034267375	state	JJ	solid-state%5:00:02:solid:01	D	D	D	D	D	D	D	D2	 addition to the basic programs in wavelength standards, spectroscopy, solid <font color=green>state</font>  physics, interactions of the free electron and atomic constants which
state/JJ/br-h11/1986	0.00328629254421558	0.00103610839926454	state	JJ	solid-state%5:00:02:solid:01	D	D	D	D	D	D	D	D2	 the far infrared, the application of infrared techniques to solid <font color=green>state</font>  studies, and increased emphasis on high resolution instrumentation. Two data
state/JJ/br-h14/1730	0.00140984227527475	-0.00065564871240808	state	JJ	state%5:00:02:public:00	A3	A	A	ABC	AB	ABC	AB	A2	 the minimum( base) allotment, State funds had to equal 1954 <font color=green>State</font>  funds. Prior to and since 1960 the rest of the
state/JJ/br-h14/1997	-0.00396614050212385	-0.0180608545416908	state	JJ	state%5:00:02:public:00	A3	A	A	ABC	AB	ABC	AB	A2	 rates. The method used for computing the respective Federal and <font color=green>State</font>  shares in total program costs is specifically set forth in
state/JJ/br-h14/360	0.00273235033603124	-0.000518906930236818	state	JJ	state%5:00:02:public:00	A3	A	A	ABC	AB	ABC	AB	A2	 Congress, the Federal Government assumed responsibility for 100% of necessary <font color=green>State</font>  expenditures in connection with administration and the counseling and placement
state/NN/br-a01/1015	0.00997151197483062	-0.0381303158406108	state	NN	state%1:14:01::	A3	A	B	ABC	AB	ABC	AB	B	 governor 's race, a top official said Wednesday. Robert Snodgrass, <font color=green>state</font>  GOP chairman, said a meeting held Tuesday night in Blue
