,cw_count_c,cw_count_s,cws_c,cws_s
church/N/br-a01/2073,3,3,be/V;do/V;smell/V,be/V;do/V;smell/V
church/N/br-a07/1325,5,5,able/J;confusion/N;method/N;prevent/V;state/N,able/J;confusion/N;method/N;prevent/V;state/N
church/N/br-a07/1487,6,6,constitutional/J;r.-he/N;requirement/N;sargent/N;separation/N;state/N,constitutional/J;r.-he/N;requirement/N;sargent/N;separation/N;state/N
church/N/br-a09/1417,5,5,center/N;park/N;school/N;shopping/N;small/J,center/N;park/N;school/N;shopping/N;small/J
church/N/br-a10/1674,4,4,fill/V;next/J;schedule/V;year/N,fill/V;next/J;schedule/V;year/N
church/N/br-a10/1754,4,4,contact/N;have/V;mean/V;vital/J,contact/N;have/V;mean/V;vital/J
church/N/br-a10/1769,4,4,life/N;religious/J;touch/N;vital/J,life/N;religious/J;touch/N;vital/J
church/N/br-a10/1831,4,5,have/V;mr.-/N;open/V;year/N,have/V;mr.-/N;open/V;rev./N;year/N
church/N/br-a10/1850,3,3,goal/N;national/J;person/N,goal/N;national/J;person/N
church/N/br-a10/1863,3,3,illinois/N;light/N;need/V,illinois/N;light/N;need/V
church/N/br-a10/1918,5,5,assembly/N;god/N;new/J;next/J;year/N,assembly/N;god/N;new/J;next/J;year/N
church/N/br-a10/1940,3,3,ability/N;change/V;say/V,ability/N;change/V;say/V
church/N/br-a10/1980,6,6,assembly/N;church/N;existing/J;god/N;new/J;start/V,assembly/N;church/N;existing/J;god/N;new/J;start/V
church/N/br-a10/1984,7,7,church/N;engage/V;experience/J;god/N;mature/J;new/J;start/V,church/N;engage/V;experience/J;god/N;mature/J;new/J;start/V
church/N/br-a10/1996,6,6,center/N;new/J;open/V;pioneer/V;population/N;strategic/J,center/N;new/J;open/V;pioneer/V;population/N;strategic/J
church/N/br-a10/2022,4,4,area/N;interest/N;lend/V;new/J,area/N;interest/N;lend/V;new/J
church/N/br-a10/2051,4,7,apprentice/N;judge/N;month/N;s.-a/N,apprentice/N;dist./N;judge/N;month/N;s.-a/N;u./N;well-established/J
church/N/br-a16/453,3,4,bernadine/N;forest/N;park/N,bernadine/N;forest/N;park/N;st./N
church/N/br-a17/2228,6,6,be/V;christian/J;church/N;first/N;hold/V;reception/N,be/V;christian/J;church/N;first/N;hold/V;reception/N
church/N/br-a18/760,4,6,annual/J;committee/N;david/N;hold/V,annual/J;committee/N;david/N;hold/V;pre-fair/J;st./N
church/N/br-a31/1594,6,6,adult/N;adviser/N;area/N;enthral/J;presbyterian/J;sit/V,adult/N;adviser/N;area/N;enthral/J;presbyterian/J;sit/V
church/N/br-a31/1753,4,4,encourage/V;own/N;program/N;try/V,encourage/V;own/N;program/N;try/V
church/N/br-a31/2120,5,5,be/V;family/N;service/N;sexton/N;worship/N,be/V;family/N;service/N;sexton/N;worship/N
church/N/br-a31/2212,4,5,d.-/N;john/N;program/N;special/J,d.-/N;john/N;program/N;rev./N;special/J
church/N/br-a31/2241,5,5,be/V;install/V;new/N;officer/N;ordain/V,be/V;install/V;new/N;officer/N;ordain/V
church/N/br-a35/810,4,4,country/N;have/V;need/N;past/J,country/N;have/V;need/N;past/J
church/N/br-b04/1480,5,5,accusation/N;assail/V;blanket/N;do/V;school/N,accusation/N;assail/V;blanket/N;do/V;school/N
church/N/br-b08/1804,4,5,atlanta/N;be/V;luke/N;rector/N,atlanta/N;be/V;luke/N;rector/N;st./N
church/N/br-b08/1866,4,4,church/N;majestic/J;service/N;such/N,church/N;majestic/J;service/N;such/N
church/N/br-b08/1871,5,5,church/N;need/V;such/N;vigor/N;vitality/N,church/N;need/V;such/N;vigor/N;vitality/N
church/N/br-b08/1912,3,3,benefit/V;leadership/N;write/V,benefit/V;leadership/N;write/V
church/N/br-b08/2063,3,3,believer/N;life/N;take/V,believer/N;life/N;take/V
church/N/br-b08/2363,3,3,be/V;give/V;rest/N,be/V;give/V;rest/N
church/N/br-b08/834,2,2,feeling/N;leave/V,feeling/N;leave/V
church/N/br-b12/2009,5,5,angel/N;biblical/J;have/V;phrase/N;scholar/N,angel/N;biblical/J;have/V;phrase/N;scholar/N
church/N/br-b12/2217,5,5,church/N;england/N;of/N;representative/N;up/V,church/N;england/N;of/N;representative/N;up/V
church/N/br-b12/2221,5,5,church/N;england/N;methodist/J;of/N;scotland/N,church/N;england/N;methodist/J;of/N;scotland/N
church/N/br-b12/2239,4,4,church/N;england/N;presbyterian/J;wales/N,church/N;england/N;presbyterian/J;wales/N
church/N/br-b12/2243,5,5,church/N;ireland/N;of/N;society/N;wales/N,church/N;ireland/N;of/N;society/N;wales/N
church/N/br-b22/1005,4,4,affair/N;have/V;internal/J;turn/V,affair/N;have/V;internal/J;turn/V
church/N/br-b22/1077,4,4,necessary/J;purification/N;renewal/N;step/N,necessary/J;purification/N;renewal/N;step/N
church/N/br-b22/1102,7,7,be/V;believe/V;in/J;order/N;pontiff/N;require/J;revivify/V,be/V;believe/V;in/J;order/N;pontiff/N;require/J;revivify/V
church/N/br-b22/1154,3,3,possible/J;stand/V;way/N,possible/J;stand/V;way/N
church/N/br-b22/1193,3,3,alive/J;establishment/N;growing/J,alive/J;establishment/N;growing/J
church/N/br-b22/1233,6,6,assembly/N;attend/V;council/N;delhi/N;new/N;world/N,assembly/N;attend/V;council/N;delhi/N;new/N;world/N
church/N/br-b22/1245,4,4,observer/N;official/N;reverse/V;stand/N,observer/N;official/N;reverse/V;stand/N
church/N/br-b22/1318,5,5,new/J;pervade/V;protestant/N;spirit/N;stance/N,new/J;pervade/V;protestant/N;spirit/N;stance/N
church/N/br-b22/1326,4,4,difficulty/N;note/V;orthodox/J;protestant/N,difficulty/N;note/V;orthodox/J;protestant/N
church/N/br-d01/1628,2,3,particular/J;surrender/N,church-state/N;particular/J;surrender/N
church/N/br-d02/1641,4,4,apostolic/J;exhibit/V;have/V;tradition/N,apostolic/J;exhibit/V;have/V;tradition/N
church/N/br-d02/548,3,3,absence/N;american/J;teaching/N,absence/N;american/J;teaching/N
church/N/br-d02/706,4,4,complete/J;indifference/N;message/N;traditional/J,complete/J;indifference/N;message/N;traditional/J
church/N/br-d02/877,3,3,derive/V;tradition/N;venerable/J,derive/V;tradition/N;venerable/J
church/N/br-d02/923,4,4,analogy/N;be/V;have/V;regard/V,analogy/N;be/V;have/V;regard/V
church/N/br-d02/949,2,2,be/V;scripture/N,be/V;scripture/N
church/N/br-d03/1011,5,6,be/V;most/N;of/J;use/V;warehouse/N,be/V;former/J;most/N;of/J;use/V;warehouse/N
church/N/br-d03/1027,5,5,catholic/N;nonconformist/N;object/V;roman/J;sell/V,catholic/N;nonconformist/N;object/V;roman/J;sell/V
church/N/br-d03/1051,5,6,build/V;have/V;new/J;period/N;protestant/N,build/V;have/V;new/J;period/N;protestant/N;some/J
church/N/br-d03/1063,7,7,empty/V;have/V;population/N;principal/J;reason/N;religious/J;shift/N,empty/V;have/V;population/N;principal/J;reason/N;religious/J;shift/N
church/N/br-d03/1080,4,5,admit/V;be/V;go/V;protestant/N,admit/V;be/V;fewer/J;go/V;protestant/N
