id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	text
country/NN/br-a04/1253	-0.0306440307339569	-0.0150079267054667	country	NN	NA	B4	B	NA	 that he agreed to the need for unity in the <font color=green>country</font>  now. But he further said that it was better politics
country/NN/br-a05/1184	0.0268180671004764	-0.00213696321046973	country	NN	NA	B4	B	NA	 Sheraton-Biltmore Hotel that about half of the people in the <font color=green>country</font>  want the`` welfare'' type of government and the other half
country/NN/br-a06/106	-0.216201045371652	-0.110501695934837	country	NN	NA	A	A	NA	 Westfield Young Democratic Club cocktail party at the Scotch Plains <font color=green>Country</font>  Club. It was greeted with a chorus of boos by
country/NN/br-a07/1688	0.0139196855279899	-0.0140308262857493	country	NN	NA	B	B	NA	 those countries. A committee of experts has recommended that a <font color=green>country</font>  's population be considered in the distribution of professional posts
country/NN/br-a08/443	-0.0247850773456621	-0.00462185971592947	country	NN	NA	B4	B	NA	 the National Archives building where hundreds of thousands of this <font color=green>country</font>  's most valuable records are kept. Also the department of
country/NN/br-a10/426	0.130718242144656	-0.024537507297776	country	NN	NA	B3	B	NA	 States must plan to absorb the exported goods of the <font color=green>country</font> , at what he termed a`` social cost''. Martin said the
country/NN/br-a10/460	0.147139914084755	0.0658245677392626	country	NN	NA	B3	B	NA	 primary products which may involve the total income of one <font color=green>country</font> . The Portland school board was asked Monday to take a
country/NN/br-a16/837	-0.0675666966307106	-0.186737281653114	country	NN	NA	B1	B	NA	 his brother would meet her at the border of that <font color=green>country</font> - so newly separated from Egypt and the United Arab Republic
country/NN/br-a17/346	-0.172152987022897	-0.08249996336697	country	NN	NA	A	A	NA	 will be a stag dinner Friday evening at the Denver <font color=green>Country</font>  Club which will precede the opening of the 1961 golf
country/NN/br-a18/1063	-0.0951191030408568	-0.160965650602383	country	NN	NA	A	A	NA	 Mrs. John Charles Cotty is chairman of publicity for the <font color=green>country</font>  fair and Mrs. Francis G. Felske and Mrs. Francis Smythe
country/NN/br-a18/1123	-0.169026996395113	-0.0933995204277672	country	NN	NA	A	A	NA	 exhibit and sale of paintings and sculpture at the Philmont <font color=green>Country</font>  Club on April 8 and 9. A preview party for
country/NN/br-a18/24	-0.147877479877521	-0.0769757984402898	country	NN	NA	A	A	NA	 of the Thrift Shop Committee for May 6 at Philmont <font color=green>Country</font>  Club. The women have a reputation for giving parties that
country/NN/br-a18/734	-0.156361967488495	-0.0996092534944627	country	NN	NA	A	A	NA	 contributions may be made there will be facilities at Philmont <font color=green>Country</font>  Club for those who would like to bring the bundles
country/NN/br-a20/641	-0.0105339049601566	-0.00823084986507652	country	NN	NA	B2	B	NA	 and the two civil servants the recipients for selling their <font color=green>country</font>  's secrets. The fact that secrets of the Dreadnought, and
country/NN/br-a26/490	-0.0894618960380858	-0.0456707400090309	country	NN	NA	B1	B	NA	 price would be quoted regularly in newspapers all over the <font color=green>country</font> . He was also pleased with the wide distribution because he
country/NN/br-a27/436	0.0131664278241135	0.051432671617796	country	NN	NA	B2	B	NA	 the steel strike. Draper declared,`` As I see it, this <font color=green>country</font>  has never faced such great dangers as threaten us today
country/NN/br-a28/645	0.0139134812746813	-0.0832828972838777	country	NN	NA	B3	B	NA	 the rural recovery are being felt almost immediately by the <font color=green>country</font>  's farm equipment manufacturers. For example, farm equipment shipments of
country/NN/br-a29/2062	-0.13964923851957	-0.066848832154281	country	NN	NA	A	A	NA	 weekend they have reserved the entire Stagecoach Inn and adjoining <font color=green>country</font>  club, Saledo, for festivities. Invitations have been extended to some
country/NN/br-a29/2109	-0.274608526818584	-0.127870941064764	country	NN	NA	A	A	NA	 The get-together Friday night will be a banquet at the <font color=green>country</font>  club patio and pool, and an orchestra will play for
country/NN/br-a30/1777	-0.0369248510206851	0.100136099753994	country	NN	NA	B1	B	NA	 Longinotti. Newcomers of social note from other parts of the <font color=green>country</font>  are the Ray Carbones, formerly of Panama; the Geddes MacGregors
country/NN/br-a30/292	-0.173265600875721	-0.0908599389227026	country	NN	NA	A	A	NA	 three-building complex. Fall foliage and flowers will decorate Los Angeles <font color=green>Country</font>  Club for the annual formal party Saturday evening. More than
country/NN/br-a30/380	-0.188229380837047	-0.0687427802694806	country	NN	NA	A	A	NA	 A. Swim celebrated his 75 th birthday at the Wilshire <font color=green>Country</font>  Club, guests came by chartered plane from all over the
country/NN/br-a30/392	-0.171415872533766	0.00375830321101244	country	NN	NA	B1	B	NA	 Club, guests came by chartered plane from all over the <font color=green>country</font> . A flight originating in Florida picked up guests on the
country/NN/br-a32/320	-0.0278542433953888	0.0325394184316972	country	NN	NA	B3	B	NA	 today as it ever was; that its presentation in this <font color=green>country</font>  is part of a capitalist plot to boobify the American
country/NN/br-a33/1449	-0.00927322163480117	-0.0210487396641952	country	NN	NA	B1	B	NA	 that the National Gallery`` is the only museum in the <font color=green>country</font>  to have a full-time music director, Richard Bales, I 'm
country/NN/br-a33/399	-0.0198879680201574	-0.0257136311886036	country	NN	NA	B1	B	NA	 Regional representatives appointed to serve from each section of the <font color=green>country</font>  include Frank E. Barnes of Boston. President Kennedy could n't
country/NN/br-a33/754	-0.0745221647646015	0.123926610087328	country	NN	NA	B1	B	NA	 serious music''. He added`` I think that sometimes in this <font color=green>country</font>  we are not aware as we should be of the
country/NN/br-a35/813	0.151965670388096	0.0543775253576844	country	NN	NA	B4	B	NA	 For while the past needs of the Church in this <font color=green>country</font>  may have been adequately met by collegiate institutions, which in
country/NN/br-a41/1107	-0.000795428186615859	-0.049586438776726	country	NN	NA	B	B	NA	 those Congolese( among them Joseph Kasavubu) who favored splitting the <font color=green>country</font>  into small independent states, Balkanizing it. Second, there were those
country/NN/br-a41/1455	0.00156253338109129	-0.0239379599239113	country	NN	NA	B1	B	NA	 the thousands of Belgian civilians who had remained in the <font color=green>country</font> . The Belgian government decided to act, and on July 10
country/NN/br-a41/1497	-0.0400459442774921	0.140552660365902	country	NN	NA	B	B	NA	 Moise Tshombe, announced that his province had seceded from the <font color=green>country</font> . Confusion became chaos; each succeeding day brought new acts of
country/NN/br-a41/2101	-0.029665252111207	-0.0461852431877503	country	NN	NA	B1	B	NA	 Tshombe, holds 65% of the mineral wealth of the entire <font color=green>country</font> . From October 1960 to February 1961, the U. N. forces
country/NN/br-a41/342	0.0329305512844536	-0.0287260391558313	country	NN	NA	B2	B	NA	 part of a government, of managing the affairs of a <font color=green>country</font>  in the manner of a father dealing with his children
country/NN/br-a44/2146	0.076322953175079	0.0569092226877963	country	NN	NA	B1	B	NA	 condition. There are, for example, approximately 25000000 people in this <font color=green>country</font>  with no public library service and about 50000000 with inadequate
country/NN/br-a44/235	-0.00923151559436595	-0.0145021874191305	country	NN	NA	B1	B	NA	 to supplement their annual funds. In some parts of the <font color=green>country</font> , however, a co-operative movement has begun to grow, under the
country/NN/br-b01/1647	0.0161537768051736	-0.212361040389482	country	NN	NA	B4	B	NA	 become oppressive. Unquestionably Trujillo did some good things for his <font color=green>country</font> : he improved public facilities such as roads and sanitation, attracted
country/NN/br-b01/1784	-0.0476841722312571	0.0411907851446433	country	NN	NA	B2	B	NA	 character. Tardily the Government here came to understand how this <font color=green>country</font>  's own reputation was tarnished by the association with repression
country/NN/br-b01/774	0.0283632709623672	0.0174717941216264	country	NN	NA	B2	B	NA	 By limiting American strength too much to nuclear strength, this <font color=green>country</font>  limited its ability to fight any kind of war besides
country/NN/br-b02/2021	0.00164446304946844	0.0194388470746747	country	NN	NA	B	B	NA	 in the fighting- this last big effort to seal that <font color=green>country</font>  from the cold war had to be made. The world
country/NN/br-b05/2003	-0.0150995808062773	0.0336182676701505	country	NN	NA	B1	B	NA	 it the recreation spot of people from all over the <font color=green>country</font> . By comparison, Stone Harbor bird sanctuary 's allies seem less
country/NN/br-b05/2202	-0.0490394702193551	0.0663981381860845	country	NN	NA	B3	B	NA	 day. Then off to a remote place in an underdeveloped <font color=green>country</font>  where the diet, culture, language and living conditions will be
country/NN/br-b05/482	0.0163735265822945	0.00220067310756238	country	NN	NA	B	B	NA	 for world trade as a condition of national survival, this <font color=green>country</font>  can have little patience with labor 's family feuds. The
country/NN/br-b05/98	0.0276879467049929	0.0256062703823322	country	NN	NA	B4	B	NA	 off the Dominican coast, there is every possibility that the <font color=green>country</font>  would now be wracked by civil war. Ultimately either the
country/NN/br-b09/110	-0.421084081471021	0.0823733154784388	country	NN	NA	A	A	NA	 the Pod porch, alone. He had that day attended a <font color=green>country</font>  auction, and he had come back with a prize. The
country/NN/br-b10/2098	-0.0655175241427772	0.00188140873964781	country	NN	NA	B1	B	NA	 in the past few years is still available in this <font color=green>country</font> . The work is executed in England( by hand) and can
country/NN/br-b11/138	-0.119892306298893	-0.016049794706958	country	NN	NA	B1	B	NA	 December that would enlist top-drawer Democrats from all over the <font color=green>country</font> . Blueprints for doubling the CDC 's present 55000 enrollment. Arrangements
country/NN/br-b11/1896	-0.0186059586385788	0.0282404838759072	country	NN	NA	B1	B	NA	 made its first appearance as the Saturday Evening Post. The <font color=green>country</font>  was now full of Gazettes and Samuel C. Atkinson and
country/NN/br-b11/1989	-0.0204071104502003	-0.00596311882306447	country	NN	NA	B1	B	NA	 Post was one of the most popular weeklies in the <font color=green>country</font> . But during the second half of the century its fortunes
country/NN/br-b11/2098	-0.0542196035703935	0.052387109487716	country	NN	NA	B1	B	NA	 again became one of the most popular weeklies of the <font color=green>country</font> .`` Remember the French railroad baron who was going to take
country/NN/br-b15/1451	-0.117640699110595	0.0210555708134299	country	NN	NA	B4	B	NA	 Russia, not in the least! I am proud of my <font color=green>country</font> , the small city I live in, my wonderful parents, my
country/NN/br-b16/1464	0.0288840263889662	0.0704355675935105	country	NN	NA	B4	B	NA	 perhaps, one of the things that is wrong with our <font color=green>country</font> ? Engineering graduates of Illinois Institute of Technology are reported receiving
