id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	text	sensekey	wnsense	wnbroad	wn3	wn2
church/NN/br-a01/2073	-0.230563439795245	-0.162232643799673	church	NN	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	church%1:04:00::	E	E	DE	CDE
church/NN/br-a07/1303	0.118516319397713	0.000338913801545415	church	NN	A	A	AB	AB	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	Z	Z	Z	Z	Z
church/NN/br-a07/1325	0.0712370039086104	-0.0469139630674995	church	NN	A	A	AB	AB	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	Z	Z	Z	Z	Z
church/NN/br-a07/1487	0.0944139747813669	-0.0322824422972271	church	NN	A	A	AB	AB	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	Z	Z	Z	Z	Z
church/NN/br-a10/1754	0.0272836675500818	-0.0612917236735072	church	NN	A	A	AB	AB	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	Z	Z	Z	Z	Z
church/NN/br-a10/1769	0.0170431099337705	0.00517212762974543	church	NN	A	A	AB	AB	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	Z	Z	Z	Z	Z
church/NN/br-a10/1850	0.118550433333627	-0.0745086978796428	church	NN	C	C	C	CDE	 adding that the denomination had a national goal of one <font color=green>church</font>  for every 10000 persons.`` In this light we need 1000	Z	Z	Z	Z	Z
church/NN/br-a10/1940	0.0828014362811337	-0.0725111723077218	church	NN	A	A	AB	AB	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	Z	Z	Z	Z	Z
church/NN/br-a16/453	-0.151737126213203	0.0436968350472275	church	NN	D	D	DE	CDE	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	Z	Z	Z	Z	Z
church/NN/br-a17/1636	-0.138587019265172	0.0942940751510637	church	NN	D	D	DE	CDE	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	Z	Z	Z	Z	Z
church/NN/br-a17/1770	-0.121798560086594	0.105068969881455	church	NN	D	D	DE	CDE	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	Z	Z	Z	Z	Z
church/NN/br-a17/2228	-0.0498055591872645	0.062013009728194	church	NN	D	D	DE	CDE	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	Z	Z	Z	Z	Z
church/NN/br-a17/2233	-0.0446022030474088	0.0657026774367837	church	NN	D	D	DE	CDE	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	Z	Z	Z	Z	Z
church/NN/br-a21/677	-0.0560363151536161	0.200277384619776	church	NN	D	D	DE	CDE	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	Z	Z	Z	Z	Z
church/NN/br-a22/1206	0.0728562731223877	0.163801988055904	church	NN	B	B	AB	AB	 World War 1,. He was a member of the Baptist <font color=green>church</font> . Survivors include two brothers, C. E. Killingsworth, Atlanta, and John	Z	Z	Z	Z	Z
church/NN/br-a22/1283	0.0211029913358893	0.0993750702427273	church	NN	C	C	C	CDE	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	Z	Z	Z	Z	Z
church/NN/br-a22/307	0.0500598410244151	0.0827048640241262	church	NN	B	B	AB	AB	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	Z	Z	Z	Z	Z
church/NN/br-a22/310	0.067431584425018	0.0795800555846246	church	NN	A	A	AB	AB	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	Z	Z	Z	Z	Z
church/NN/br-a31/1395	-0.128128525851709	0.024662227737581	church	NN	D	D	DE	CDE	 from 4 to 8 p. m. Sunday at First Presbyterian <font color=green>Church</font> . At that time the second half of the Christian Youth	Z	Z	Z	Z	Z
church/NN/br-a31/1542	-0.153858621550073	-0.00876183881753502	church	NN	C	C	C	CDE	 he and his wife serve as advisors at First Presbyterian <font color=green>Church</font> . And he wanted to be careful that the kids not	Z	Z	Z	Z	Z
church/NN/br-a31/1842	0.0208909989997374	0.265542572154573	church	NN	D	D	DE	CDE	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	Z	Z	Z	Z	Z
church/NN/br-a31/2087	-0.132390098684922	0.160798501354743	church	NN	D	D	DE	CDE	 Family'' at 7: 30 p. m. Sunday at Christ Lutheran <font color=green>Church</font> . Mr. and Mrs. George Treadwell will be honored at a	Z	Z	Z	Z	Z
church/NN/br-a31/2112	-0.0644971242840276	0.139645065900437	church	NN	D	D	DE	CDE	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	Z	Z	Z	Z	Z
church/NN/br-a31/2120	0.0154886704161031	0.0466160477299247	church	NN	D	D	DE	CDE	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	Z	Z	Z	Z	Z
church/NN/br-a31/2172	-0.028050771751865	0.0360396479760344	church	NN	C	C	C	CDE	 service marking National Family Week. Every family of Riviera Presbyterian <font color=green>Church</font>  has been asked to read the Bible and pray together	Z	Z	Z	Z	Z
church/NN/br-a31/2212	0.0137150797387751	0.0694613161958922	church	NN	C	C	C	CDE	 participate. To start the week of special programs at the <font color=green>church</font> , the Rev. John D. Henderson will preach on`` A Successful	Z	Z	Z	Z	Z
