filename	type	twcorpus	twppmi	twllr	twL	twR	            socccorpus	soccppmi	soccllr	soccL	soccR	            length	tokenL	tokenR
COHA.church.socc10k.min0	church	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.church.socc10k.min1	church	COHA	1		10	10	COHA			10	10	10k	10	10
COHA.church.socc10k.min2	church	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.church.socc10k.min2_5	church	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.church.socc6k.min0	church	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.church.socc6k.min1	church	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.church.socc6k.min2	church	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.church.socc6k.min2_5	church	COHA	2_5		10	10	COHA			10	10	6k	10	10
COHA.country.socc10k.min0	country	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.country.socc10k.min1	country	COHA	1		10	10	COHA			10	10	10k	10	10
COHA.country.socc10k.min2	country	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.country.socc10k.min2_5	country	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.country.socc6k.min0	country	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.country.socc6k.min1	country	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.country.socc6k.min2	country	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.country.socc6k.min2_5	country	COHA	2_5		10	10	COHA			10	10	6k	10	10
COHA.country_church.sample.socc10k.min0	country_church	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.country_church.sample.socc10k.min1	country_church	COHA	1		10	10	COHA			10	10	10k	10	10
COHA.country_church.sample.socc10k.min2	country_church	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.country_church.sample.socc6k.min0	country_church	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.country_church.sample.socc6k.min1	country_church	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.country_church.sample.socc6k.min2	country_church	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.country_church.socc10k.min2_5	country_church	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.country_church.socc6k.min2_5	country_church	COHA	2_5		10	10	COHA			10	10	6k	10	10
COHA.sample.socc10k.min0	sample	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.sample.socc10k.min1	sample	COHA	1		10	10	COHA			10	10	10k	10	10
COHA.sample.socc10k.min2	sample	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.sample.socc10k.min2_5	sample	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.sample.socc6k.min0	sample	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.sample.socc6k.min1	sample	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.sample.socc6k.min2	sample	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.sample.socc6k.min2_5	sample	COHA	2_5		10	10	COHA			10	10	6k	10	10
COHA.state.sample.socc10k.min0	state	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.state.sample.socc10k.min1	state	COHA	1		10	10	COHA			10	10	10k	10	10
COHA.state.sample.socc6k.min0	state	COHA	0		10	10	COHA			10	10	6k	10	10
COHA.state.sample.socc6k.min1	state	COHA	1		10	10	COHA			10	10	6k	10	10
COHA.state.socc10k.min2	state	COHA	2		10	10	COHA			10	10	10k	10	10
COHA.state.socc10k.min2_5	state	COHA	2_5		10	10	COHA			10	10	10k	10	10
COHA.state.socc6k.min2	state	COHA	2		10	10	COHA			10	10	6k	10	10
COHA.state.socc6k.min2_5	state	COHA	2_5		10	10	COHA			10	10	6k	10	10
COHA.state_church.sample.socc10k.min0	state_church	COHA	0		10	10	COHA			10	10	10k	10	10
COHA.state_church.sample.socc10k.min1	state_church	COHA	1		10	10	COHA			10	10	10k	10	10
