,cw_count_c,cw_count_s,cws_c,cws_s
church/N/br-a01/2073,5,6,be/V;do/V;drop/N;liquor/N;smell/V,be/V;do/V;drop/N;liquor/N;polls/N;smell/V
church/N/br-a07/1325,10,10,able/J;be/V;confusion/N;corps/N;goal/N;mean/N;method/N;peace/N;prevent/V;state/N,able/J;be/V;confusion/N;corps/N;goal/N;mean/N;method/N;peace/N;prevent/V;state/N
church/N/br-a07/1487,10,11,constitutional/J;director/N;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N,constitutional/J;director/N;jr./N;preserve/V;project/N;r.-he/N;requirement/N;sargent/N;separation/N;shriver/N;state/N
church/N/br-a09/1417,10,10,apartment/N;center/N;cluster/N;garden/N;park/N;school/N;several/N;shopping/N;small/J;store/N,apartment/N;center/N;cluster/N;garden/N;park/N;school/N;several/N;shopping/N;small/J;store/N
church/N/br-a10/1674,9,9,address/N;breakthrough/N;fill/V;forthcoming/J;next/J;opening/N;program/N;schedule/V;year/N,address/N;breakthrough/N;fill/V;forthcoming/J;next/J;opening/N;program/N;schedule/V;year/N
church/N/br-a10/1754,6,6,american/N;contact/N;have/V;mean/V;million/N;vital/J,american/N;contact/N;have/V;mean/V;million/N;vital/J
church/N/br-a10/1769,9,9,delegate/N;friday/N;have/V;life/N;million/N;religious/J;tell/V;touch/N;vital/J,delegate/N;friday/N;have/V;life/N;million/N;religious/J;tell/V;touch/N;vital/J
church/N/br-a10/1831,7,8,add/V;brandt/N;have/V;mr.-/N;open/V;say/V;year/N,add/V;brandt/N;have/V;mr.-/N;open/V;rev./N;say/V;year/N
church/N/br-a10/1850,7,7,add/V;denomination/N;goal/N;have/V;light/N;national/J;person/N,add/V;denomination/N;goal/N;have/V;light/N;national/J;person/N
church/N/br-a10/1863,5,5,have/V;illinois/N;light/N;need/V;person/N,have/V;illinois/N;light/N;need/V;person/N
church/N/br-a10/1918,9,9,accomplish/V;assembly/N;brandt/N;god/N;new/J;next/J;suggest/V;vision/N;year/N,accomplish/V;assembly/N;brandt/N;god/N;new/J;next/J;suggest/V;vision/N;year/N
church/N/br-a10/1940,8,8,ability/N;be/V;change/N;change/V;determine/V;go/V;method/N;say/V,ability/N;be/V;change/N;change/V;determine/V;go/V;method/N;say/V
church/N/br-a10/1980,12,12,assembly/N;church/N;encourage/V;engage/V;existing/J;experience/J;god/N;man/N;mature/J;mean/N;new/J;start/V,assembly/N;church/N;encourage/V;engage/V;existing/J;experience/J;god/N;man/N;mature/J;mean/N;new/J;start/V
