id	model.x	model.y	country	word	tokenid	text
S_W_P_B-8946-202268-258	-0.161825612455987	-0.0798939570017487	B	bestuurder	bestuurder.N-S_W_P_B-8946-202268-258	zullen zo'n maatregel voelen . """" Europa moet niet denken dat een verhoging van de accijnzen meer geld in het laatje zal brengen """" , zegt Theo 1.564 Vervloet , gedelegeerd <font color='red'>bestuurder</font> van Brouwerij Affligem in Opwijk en voorzitter 2.212 van de Belgische Brouwers . """" De mensen zullen minder consumeren en daar worden uiteindelijk de brouwerijen en aanverwante sectoren zelf het slachtoffer
S_W_P_B-2021-45942-244	-0.118268217686891	-0.0319322014100939	B	bestuurder	bestuurder.N-S_W_P_B-2021-45942-244	. '' Om te vermijden dat er een vacuüm gecreëerd wordt in het operationele beleid van de VRT , heeft de algemene 1.605 vergadering 2.03 Piet 1.703 Van Roe 4.823 aangesteld 2.075 als interim 4.426 gedelegeerd <font color='red'>bestuurder</font> . Van Roe 4.823 ( 67 1.034 ) is een oudgediende 1.508 van de publieke omroep . Hij heeft er 35 jaar gewerkt , eerst als radiojournalist , later als directeur-generaal van de
S_W_P_B-6997-158090-234	-0.168947347183655	-0.132029874479305	B	bestuurder	bestuurder.N-S_W_P_B-6997-158090-234	"""" Het zou best kunnen dat leder in 2200 niet meer van deze wereld is """" , klinkt het ietwat ironisch . Aan het woord is François 2.758 Schwennicke , gedelegeerd <font color='red'>bestuurder</font> van Delvaux 1.765 . """" Ik wil niet paranoïde 2.347 zijn . Leder heeft ongetwijfeld nog een mooie toekomst , maar wat ik zeg is niet onmogelijk . Het is waar dat
S_W_P_B-3406-79879-234	-0.203885074025973	-0.0469438080392051	B	bestuurder	bestuurder.N-S_W_P_B-3406-79879-234	- de on line winkel van de GIB groep ) worden vooral 's avonds ingevoerd . Op dat moment zitten de webmasters 2.577 liever thuis , """" noteert 1.159 Gert Vermeyen , <font color='red'>bestuurder</font> van het in november 99 in Gent opgerichte bedrijfje European Application Service Provider ( EurASP ) . De Belgisch-Zwitserse durfkapitaalverschaffer Mercator & Noordstar en Rendex - beheerd door Icos- en
S_W_P_B-6356-142372-103	-0.10168077469706	-0.0720126097707377	B	bestuurder	bestuurder.N-S_W_P_B-6356-142372-103	golftornooien . Meer bepaald van het tornooi , exclusief de golf , zeg maar den après-golf . Net als Philip Cammaert 3.108 , general manager 1.192 Meli ; Jacques 1.257 Mathias 1.024 , gedelegeerd <font color='red'>bestuurder</font> Schellaert ; ex-voetballer en Rode Duivel Maurice 1.577 De Schryver , zaakvoerder SportTAGFashion / TAG Axel De Corte , business development manager Cocooning Time ; Kaat De Brabandere ; Herwig Norman
S_W_P_B-2998-70270-86	0.023060151733407	0.014577551176347	B	bestuurder	bestuurder.N-S_W_P_B-2998-70270-86	hen hadden zoveel gedronken dat hun rijbewijs onmiddellijk voor vijftien dagen werd ingetrokken . Ze hadden allemaal tussen de 1,8 en 2 promille 5.273 alcohol 4.355 in hun bloed 1.44 . Negen 1.041 andere bestuurders kregen een rijverbod 4.242 van zes uur , acht 1.018 andere <font color='red'>bestuurder</font>s 4.527 moesten hun wagen drie uur aan de kant laten . Onder hen was ook een buitenlander . Hij moest onmiddellijk
S_W_P_B-664-15524-111	0.0569040382567789	-0.00628516678946822	B	bestuurder	bestuurder.N-S_W_P_B-664-15524-111	aangereden door een personenwagen . De jongen was op weg naar school . Toen hij de Jules Moretuslei wilde oversteken , werd hij gegrepen door een wagen 4.233 . De 35-jarige 3.692 <font color='red'>bestuurder</font> uit Borgerhout 1.156 trachtte nog te remmen 2.619 en week uit naar rechts maar raakte het achterwiel nog van de fiets . De jongen kwam zwaar ten val en werd overgebracht naar
S_W_P_B-12643-285082-58	0.069065533836981	-0.00766609742514336	B	bestuurder	bestuurder.N-S_W_P_B-12643-285082-58	twee wagens . Het ongeval gebeurde nadat een van de bestuurders geen voorrang verleend had aan de wagen op de voorrangsweg 7.066 . De schade 1.921 was aanzienlijk , maar de twee <font color='red'>bestuurder</font>s raakten 3.492 als bij wonder 2.666 slechts lichtgewond 5.713 . ( PJ 2.703 . Foto Maenhoudt ) Artikel zonder titel 2 PROVINCIALE C Vice-leider maatje te klein TERNAT De topper tussen vice-leider Ternat en
S_W_P_B-12565-283472-63	0.0135599198220539	0.0120069902950508	B	bestuurder	bestuurder.N-S_W_P_B-12565-283472-63	Pepingen flitste de politie 29 bestuurders . Eén chauffeur reed 89 kilometer per uur waar slechts 50 kilometer per uur toegelaten 2.841 is . Op de Lenniksesteenweg in Pepingen werden 31 <font color='red'>bestuurder</font>s betrapt 3.793 op snelrijden . Hoogst genoteerde 1.159 snelheid 3.972 was 107 2.051 kilometer 1.405 per uur in een zone 50 . Ook op de Ninoofsesteenweg in Lennik blijven chauffeurs het gaspedaal te diep induwen
S_W_P_B-5328-120191-44	0.00221153977169672	-0.0124225199553889	B	bestuurder	bestuurder.N-S_W_P_B-5328-120191-44	eens scherper stellen . """" Koen Grooten , kantoordirecteur KBC Bank Heide-Kalmthout , won een weekendje achter het stuur van een wagen 4.233 uit de garage van Pierre 2.105 Meeusen , gedelegeerd <font color='red'>bestuurder</font> BMW-garage Kalmthout 1.746 . Jan 1.122 Sap , secretaris-generaal 2.181 Federatie 1.563 voor Vrije en Intellectuele Beroepen , vroeg of gastspreker Peter Desmyttere , marketingadviseur , daar een goede slogan op kon kleven .
