id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	mari2	mari3	wn2	wn3	wnsense	text
church/NN/br-a16/453	-0.0822930716464201	-0.210210284176696	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak
church/NN/br-a17/2228	-0.105002791569366	-0.0325186968815677	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for
church/NN/br-a17/2233	-0.0988107123384454	-0.0290561568813894	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday
church/NN/br-a21/677	-0.240517539886308	-0.00655521998338809	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will
church/NN/br-a22/1283	-0.17882916704218	-0.14295956604015	church	NN	Z	C	C	Z	CDE	C	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at
church/NN/br-a22/307	-0.14305912198313	-0.0488094327609084	church	NN	Z	B	B	Z	AB	AB	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the
church/NN/br-a22/310	-0.14305912198313	-0.0488094327609084	church	NN	Z	A	A	Z	AB	AB	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for
church/NN/br-a31/1842	-0.502207980728588	0.0698986352193253	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of
church/NN/br-a31/2112	-0.14305912198313	-0.0488094327609084	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship
church/NN/br-a31/2120	-0.129576587496863	9.23413108876111e-05	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7
church/NN/br-b08/1866	-0.110115175283813	-0.00410038625809856	church	NN	Z	D	D	Z	CDE	DE	Z	Z	Z	 wrote after almost a decade of service to this majestic <font color=green>church</font> .`` Such a church needs vigor and vitality in its rector
church/NN/br-b08/1871	-0.110115175283813	-0.00410038625809856	church	NN	Z	C	C	Z	CDE	C	Z	Z	Z	 a decade of service to this majestic church.`` Such a <font color=green>church</font>  needs vigor and vitality in its rector and one man
church/NN/br-b12/2115	-0.277189211751592	0.180276596355408	church	NN	Z	A	A	Z	AB	AB	Z	Z	Z	 and Greek and other ancient writings, some by the early <font color=green>church</font>  fathers, in themselves called for a restudy of the Bible
church/NN/br-b12/2217	-0.14305912198313	-0.0488094327609084	church	NN	Z	B	B	Z	AB	AB	Z	Z	Z	 of a joint committee made up of representatives of the <font color=green>Church</font>  of England, Church of Scotland, Methodist Church, Congregational Union, Baptist
church/NN/br-b12/2226	-0.156773293543799	-0.0615088408694925	church	NN	Z	B	B	Z	AB	AB	Z	Z	Z	 representatives of the Church of England, Church of Scotland, Methodist <font color=green>Church</font> , Congregational Union, Baptist Union, Presbyterian Church of England, Churches in
church/NN/br-b12/2235	-0.156773293543799	-0.0615088408694925	church	NN	Z	B	B	Z	AB	AB	Z	Z	Z	 Church of Scotland, Methodist Church, Congregational Union, Baptist Union, Presbyterian <font color=green>Church</font>  of England, Churches in Wales, Churches in Ireland, Society of
church/NN/br-b15/1190	-0.288180610778746	-0.143224079309974	church	NN	Z	C	C	Z	CDE	C	Z	Z	Z	 El; Rev. DeWitt Clemens, pastor of the Mathewson Street Methodist <font color=green>Church</font> ; Mr. Felix Miranda, of the Imperial Knife Co.; and to
church/NN/br-d01/1628	-0.22849604316338	0.217083630196922	church	NN	church%1:14:00::	B	B	B	AB	AB	AB	AB	B	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who
church/NN/br-d02/1641	0.0494555516616395	0.234998506702045	church	NN	church%1:14:00::	B	B	B	AB	AB	AB	AB	B	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity
church/NN/br-d02/706	-0.107069014456853	0.283676888199798	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be
church/NN/br-d02/923	-0.244741170844964	0.279608424873563	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world
