id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text
church/NN/br-a01/2073	-0.15399190620999	-0.158138214834201	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we
church/NN/br-d01/1628	0.0112622132650838	-0.137796051201035	church	NN	B	B	AB	AB	church%1:14:00::	A	A	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who
church/NN/br-d02/1641	0.193465268400657	0.0371917694581199	church	NN	B	B	AB	AB	church%1:14:00::	A	A	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity
church/NN/br-d02/706	0.0313282753338663	-0.0724116018924353	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be
church/NN/br-d02/786	0.0696854720089489	-0.239021206382707	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear
church/NN/br-d02/877	0.141256564565431	0.0959900782531969	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather
church/NN/br-d02/923	0.0622052784317212	-0.0552931003671523	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world
church/NN/br-d02/949	-0.037794074012659	-0.136597949938604	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need
church/NN/br-d02/969	0.0271544455201194	-0.127163919461852	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents
church/NN/br-d03/1080	0.0138377892653623	0.113941933298918	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good
