id	model.x	model.y	lemma	pos	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text
church/NN/br-a01/2073	-0.199557282040738	-0.160759004710089	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we
church/NN/br-d01/1628	0.0427383087771515	-0.187721910075146	church	NN	B	B	AB	AB	church%1:14:00::	A	A	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who
church/NN/br-d02/1641	0.23054791421983	-0.0676082538361997	church	NN	B	B	AB	AB	church%1:14:00::	A	A	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity
church/NN/br-d02/706	0.0187617979883235	0.00472073777587214	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be
church/NN/br-d02/786	0.100202486957172	-0.198552671313569	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear
church/NN/br-d02/877	0.104492139430538	0.045369016527152	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather
church/NN/br-d02/923	0.168317464620377	-0.0587337405213476	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world
church/NN/br-d02/949	0.0365927815661939	-0.126861087457674	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need
church/NN/br-d02/969	-0.0430628649248181	-0.165666308588534	church	NN	A	A	AB	AB	church%1:14:00::	A	A	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents
church/NN/br-d03/1080	0.154994898447502	0.0130918507210999	church	NN	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good
