"token_id"	"model.x"	"model.y"	"lemma"	"pos"	"sense_key"	"marisense"	"mari_broad_sense"	"wn_broad_sense"	"text"
"1"	"church/NN/br-a01/2073"	0.12333207203715	0.004940472264452	"church"	"NN"	"church%1:04:00::"	"E"	"E"	"D"	" said.`` Being at the polls was just like being at <font color=\"green\">church</font> . I did n't smell a drop of liquor, and we"
"2"	"church/NN/br-a07/1303"	-0.000203332195716411	-0.000589107136222354	"church"	"NN"	NA	"A"	"A"	NA	" Africa, the Middle East and Latin America. Interviews with several <font color=\"green\">church</font>  leaders have disclosed that this development has raised the question"
"3"	"church/NN/br-a07/1325"	-0.000241619996025155	-0.000602578289844075	"church"	"NN"	NA	"A"	"A"	NA	" the Peace Corps will be able to prevent confusion for <font color=\"green\">church</font>  and state over methods, means and goals. There are a"
"4"	"church/NN/br-a07/1487"	-0.000220218166545899	-0.000594787549913904	"church"	"NN"	NA	"A"	"A"	NA	" projects and still preserve the constitutional requirement on separation of <font color=\"green\">church</font>  and state? R. Sargent Shriver Jr., director of the corps"
"5"	"church/NN/br-a10/1754"	-0.000236169658188262	-0.000600950912743664	"church"	"NN"	NA	"A"	"A"	NA	" one out of three Americans has vital contact with the <font color=\"green\">church</font> . This means that more than 100 million have no vital"
"6"	"church/NN/br-a10/1769"	-0.000229407470973463	-0.000599427452645683	"church"	"NN"	NA	"A"	"A"	NA	" more than 100 million have no vital touch with the <font color=\"green\">church</font>  or religious life'', he told delegates Friday. Talking of the"
"7"	"church/NN/br-a10/1850"	-0.000187166309141651	-0.000603784892018046	"church"	"NN"	NA	"C"	"C"	NA	" adding that the denomination had a national goal of one <font color=\"green\">church</font>  for every 10000 persons.`` In this light we need 1000"
"8"	"church/NN/br-a10/1940"	-0.000212641619094433	-0.00059744441752796	"church"	"NN"	NA	"A"	"A"	NA	" this would necessitate some changes in methods, he said.`` The <font color=\"green\">church</font>  's ability to change her methods is going to determine"
"9"	"church/NN/br-a16/453"	-0.000208276200319089	-0.000590307399230683	"church"	"NN"	NA	"D"	"D"	NA	" a small one at noon tomorrow in St. Bernadine 's <font color=\"green\">church</font> , Forest Park. A small reception will follow in the Oak"
"10"	"church/NN/br-a17/1636"	-0.00020291407026044	-0.000589004625716173	"church"	"NN"	NA	"D"	"D"	NA	" Gay, who were married Saturday at the Munger Place Methodist <font color=\"green\">Church</font> . Parents of the bride are Mr. and Mrs. Ferris M."
"11"	"church/NN/br-a17/1770"	-0.000215644569323154	-0.000606500448244254	"church"	"NN"	NA	"D"	"D"	NA	" College of Technology, in the chapel of the First Presbyterian <font color=\"green\">Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr."
"12"	"church/NN/br-a17/2228"	-0.000198664005141432	-0.000598117741457236	"church"	"NN"	NA	"D"	"D"	NA	" Burgher Jr. seated guests. A reception was held at the <font color=\"green\">church</font> . The First Christian Church of Pampa was the setting for"
"13"	"church/NN/br-a17/2233"	-0.000221124252141304	-0.000597088527698262	"church"	"NN"	NA	"D"	"D"	NA	" A reception was held at the church. The First Christian <font color=\"green\">Church</font>  of Pampa was the setting for the wedding last Sunday"
"14"	"church/NN/br-a21/677"	-0.000219665301969838	-0.000603843089774044	"church"	"NN"	NA	"D"	"D"	NA	" for 10 a. m. tomorrow in St. Anne 's Catholic <font color=\"green\">Church</font> , 31978 Mound, in Warren. The mother and daughter, who will"
"15"	"church/NN/br-a22/1206"	0.192723333698761	-0.0176741198781086	"church"	"NN"	NA	"B"	"B"	NA	" World War 1,. He was a member of the Baptist <font color=\"green\">church</font> . Survivors include two brothers, C. E. Killingsworth, Atlanta, and John"
"16"	"church/NN/br-a22/1283"	-0.0486186971564012	-0.0789634871775594	"church"	"NN"	NA	"C"	"C"	NA	" painter. He was a member of the Oakland City Methodist <font color=\"green\">Church</font>  and a native of Atlanta. Funeral services will be at"
"17"	"church/NN/br-a22/307"	-0.0144842593651962	0.0387507132014509	"church"	"NN"	NA	"B"	"B"	NA	" challenged by the state. Emory is affiliated with the Methodist <font color=\"green\">Church</font> . Some church leaders, both clerical and lay, have criticized the"
"18"	"church/NN/br-a22/310"	0.0828381530784679	0.0500237807542588	"church"	"NN"	NA	"A"	"A"	NA	" the state. Emory is affiliated with the Methodist Church. Some <font color=\"green\">church</font>  leaders, both clerical and lay, have criticized the university for"
"19"	"church/NN/br-a31/1395"	-0.0287765660089982	-0.0910636956492711	"church"	"NN"	NA	"D"	"D"	NA	" from 4 to 8 p. m. Sunday at First Presbyterian <font color=\"green\">Church</font> . At that time the second half of the Christian Youth"
"20"	"church/NN/br-a31/1542"	-0.118679752108076	-0.120472617472304	"church"	"NN"	NA	"C"	"C"	NA	" he and his wife serve as advisors at First Presbyterian <font color=\"green\">Church</font> . And he wanted to be careful that the kids not"
"21"	"church/NN/br-a31/1842"	0.179199516968994	0.0367300564150946	"church"	"NN"	NA	"D"	"D"	NA	" planned for 10: 50 a. m. Sunday at First Christian <font color=\"green\">Church</font> . It will be the second time the assistant manager of"
"22"	"church/NN/br-a31/2087"	-0.0100075157632969	-0.0156868177715259	"church"	"NN"	NA	"D"	"D"	NA	" Family'' at 7: 30 p. m. Sunday at Christ Lutheran <font color=\"green\">Church</font> . Mr. and Mrs. George Treadwell will be honored at a"
