id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	mari2	mari3	wn2	wn3	wnsense	text
church/NN/br-a01/2073	0.0114295194547992	0.0210564897095062	church	NN	church%1:04:00::	E	E	E	CDE	DE	CDE	DE	E	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we
church/NN/br-d01/1628	-0.230750972009959	-0.0903637315121241	church	NN	church%1:14:00::	B	B	B	AB	AB	AB	AB	B	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who
church/NN/br-d02/1641	-0.0783866890499947	-0.0561550777221692	church	NN	church%1:14:00::	B	B	B	AB	AB	AB	AB	B	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity
church/NN/br-d02/706	-0.214424335928277	0.0950003666356397	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be
church/NN/br-d02/786	-0.226679746132237	0.0620828651899435	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear
church/NN/br-d02/877	-0.112108541240045	-0.000814717753670276	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather
church/NN/br-d02/923	-0.0749380845557548	0.00361055012245453	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world
church/NN/br-d02/949	-0.105397803947561	0.00843068624824372	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need
church/NN/br-d02/969	-0.0965688084354619	-0.0285052056281948	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents
church/NN/br-d03/1080	0.195008187410095	-0.169741057954305	church	NN	church%1:04:00::	E	E	E	CDE	DE	CDE	DE	E	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good
church/NN/br-d03/1342	0.124544375931426	-0.145523048709307	church	NN	church%1:06:00::	E	E	D	CDE	DE	CDE	DE	D	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the
church/NN/br-d03/1350	0.00521170590721168	0.41357751195792	church	NN	church%1:06:00::	E	E	D	CDE	DE	CDE	DE	D	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They
church/NN/br-d03/1871	-0.0459516495315821	-0.435212586710885	church	NN	catholic_church%1:14:00::	B	B	B	AB	AB	AB	AB	B1	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with
church/NN/br-d03/1909	0.0604416645507883	-0.122110168302479	church	NN	church_of_england%1:14:00::	B	B	B	AB	AB	AB	AB	B2	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church
church/NN/br-d03/2097	-0.260945298910186	-0.309884652839063	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 Canterbury. The good feeling which exists between these two important <font color=green>church</font>  figures is now well known in England. The Holy Sacrifice
church/NN/br-d03/2336	0.255238421552302	-0.146136308166307	church	NN	catholic_church%1:14:00::	D	D	B	CDE	DE	AB	AB	B1	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.
church/NN/br-d03/2341	0.105736442953804	-0.0151906146739179	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.
church/NN/br-d03/721	0.0236257244252747	-0.155618199514889	church	NN	church%1:06:00::	B	B	D	AB	AB	CDE	DE	D	 crowds going in and out of the Birmingham Oratory( Catholic) <font color=green>Church</font>  on Sunday mornings. She found this a marvel because, as
church/NN/br-d03/862	0.07821334996885	0.196784124333275	church	NN	church_of_england%1:14:00::	B	B	B	AB	AB	AB	AB	B2	 to a newspaper report of the 1961 statistics of the <font color=green>Church</font>  of England, the`` total of confirmed members is 9748000, but
church/NN/br-d03/883	-0.015879045312157	0.454287335859735	church	NN	church_roll%1:10:00::	C	C	C	CDE	C	CDE	C	C	 is 9748000, but only 2887671 are registered on the parochial <font color=green>church</font>  rolls'', and`` over 27 million people in England are baptized
church/NN/br-d03/899	-0.0158775135063397	0.454287429249846	church	NN	church_of_england%1:14:00::	B	B	B	AB	AB	AB	AB	B2	 over 27 million people in England are baptized into the <font color=green>Church</font>  of England, but roughly only a tenth of them continue
church/NN/br-d03/945	0.199557328848403	0.20526634010601	church	NN	church_of_england%1:14:00::	B	B	B	AB	AB	AB	AB	B2	 than an Archbishops' Commission`` reported last month that in the <font color=green>Church</font>  of England alone there are 790 churches which are redundant
church/NN/br-d04/56	0.0291223243427032	0.12367550068483	church	NN	church_father%1:18:00::	A	A	A	AB	AB	AB	AB	A	 Jesus Christ the unique and the universal concur. Perhaps no <font color=green>church</font>  father saw this concurrence of the unique and the universal
church/NN/br-f15/713	-0.0663584478196032	0.00860182473118416	church	NN	roman_catholic_church%1:14:00::	B	B	B	AB	AB	AB	AB	B1	 permit birth control only for medical reasons. The Roman Catholic <font color=green>Church</font> , however, sanctions a much more liberal policy on family planning
church/NN/br-f15/754	-0.05136058576232	0.0129587807884924	church	NN	roman_catholic_church%1:14:00::	B	B	B	AB	AB	AB	AB	B1	 disagree over the methods to be used. The Roman Catholic <font color=green>Church</font>  sanctions only abstention or the rhythm method, also known as
church/NN/br-f15/776	-0.0376830782211104	0.0779579296739311	church	NN	roman_catholic_church%1:14:00::	A	A	B	AB	AB	AB	AB	B1	 as the use of the infertile or safe period. The <font color=green>Church</font>  considers this to be the method provided by nature and
church/NN/br-f15/862	-0.189895093011716	-0.165629750480028	church	NN	roman_catholic_church%1:14:00::	A	A	B	AB	AB	AB	AB	B1	 there seems little chance of agreement. The grounds for the <font color=green>Church</font>  's position are Scriptural( Old Testament), the teachings of the
church/NN/br-f15/882	-0.199351310219296	-0.222609477197557	church	NN	roman_catholic_church%1:14:00::	A	A	B	AB	AB	AB	AB	B1	 the teachings of the fathers and doctors of the early <font color=green>Church</font> , the unbroken tradition of nineteen centuries, the decisions of the
church/NN/br-f44/1076	0.40854311156491	-0.0116176445658721	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 and economic level of the congregation; the mission of the <font color=green>church</font>  is actually a process of informal co-optation; the lay ministry
church/NN/br-f44/1285	0.243381235118241	0.00637143600435238	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 co-optation is the principal form of mission in the contemporary <font color=green>church</font> ; economic integration and co-optation are the two methods by which
church/NN/br-f44/1618	0.136105748189195	0.00859953342069548	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 in the metropolis. It now becomes evident that the denominational <font color=green>church</font>  is intimately involved with the economy of middle-class culture, for
church/NN/br-f44/2150	0.208287284312699	0.0775019193217865	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 will occupy our attention under the rubric of the organization <font color=green>church</font> . An understanding of the new role of residential association in
church/NN/br-f44/368	0.100538972145932	0.0105253180127828	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 they can lose higher- and lower status members from the <font color=green>church</font>  without collapsing, but they need adequate recruits for the core
church/NN/br-f44/647	0.0949595340486451	0.0148692740528938	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 denominations. There is much talk in theological circles about the`` <font color=green>Church</font>  as Mission'' and the`` Church 's Mission''; theologians have been
church/NN/br-f44/654	0.245290863746579	0.179293042356069	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 in theological circles about the`` Church as Mission'' and the`` <font color=green>Church</font>  's Mission''; theologians have been stressing the fact that the
church/NN/br-f44/667	0.118243896619598	-0.0893676365103698	church	NN	church%1:14:00::	A	A	B	AB	AB	AB	AB	B	 's Mission''; theologians have been stressing the fact that the <font color=green>Church</font>  does not exist for its own sake but as a
church/NN/br-f44/924	0.105654490448657	-0.0694801617136002	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 with friendly members the`` contacts with an organization of the <font color=green>church</font> ''( 11.2 per cent of the cases), then a substantial two
church/NN/br-f44/986	0.315337216094172	-0.173172977266814	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 people; the new people respond in kind by joining the <font color=green>church</font> . Missionary outreach by friendly contact looks somewhat different when one
church/NN/br-g12/1271	0.386025818229835	-0.196168389393958	church	NN	church%1:06:00::	D	D	D	CDE	DE	CDE	DE	D	 and gestured toward the Madeleine. The classical lines of the <font color=green>church</font>  which Napoleon thought of as a Temple of Glory, dominated
church/NN/br-g12/1807	0.124619817685389	0.0838936698228071	church	NN	church%1:06:00::	D	D	D	CDE	DE	CDE	DE	D	 not attractive, but it is deeper. When you pass a <font color=green>church</font>  on an Irish bus, all the hands flurry in the
church/NN/br-g12/544	0.0971523917933375	-0.0777039138368644	church	NN	church%1:06:00::	D	D	D	CDE	DE	CDE	DE	D	 the Madeleine and across to a sidewalk cafe opposite that <font color=green>church</font> . The conversation that ensued may have been engrossing but it
church/NN/br-h17/1199	-0.00324224913172889	-0.251097192443209	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 because of his willingness to kill in defense of his <font color=green>church</font>  and home. Upon administrative approval of the reclassification, he was
church/NN/br-h17/1434	0.408543111579192	-0.0116176445663286	church	NN	church%1:14:00::	C	C	B	CDE	C	AB	AB	B	 preaching and from 20 to 25 hours per month to <font color=green>church</font>  activities. His claim was therefore`` so highly exaggerated'', the Department
church/NN/br-j23/1105	0.101527081873728	0.024352453205697	church	NN	church_member%1:18:00::	C	C	C	CDE	C	CDE	C	C	 which is reflective of our common religion. Even the non <font color=green>church</font>  members- the freewheelers, marginal religionists and so on- have the
church/NN/br-j57/2237	-0.198707359610349	0.0701785884273214	church	NN	church_father%1:18:00::	A	A	A	AB	AB	AB	AB	A	 which reached Christianity by the way of Stoicism through the <font color=green>Church</font>  Fathers of Late Antiquity.
church/NN/br-j57/958	-0.161489138519505	0.0766179085278295	church	NN	church_father%1:18:00::	A	A	A	AB	AB	AB	AB	A	 all possessions. This conception was taken up by the early <font color=green>Church</font>  Fathers and by canon lawyers and theologians in the Middle
church/NN/br-j58/1496	-0.224011737876533	0.0295656857140087	church	NN	church_bell%1:06:00::	D	D	D	CDE	DE	CDE	DE	D	 In many Northern towns and cities meetings were held and <font color=green>church</font>  bells were tolled. Such was not the case in Rhode
