id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	text
country/NN/br-a04/1253	-0.0344439703288279	-0.00143753347800617	country	NN	NA	B4	B	NA	 that he agreed to the need for unity in the <font color=green>country</font>  now. But he further said that it was better politics
country/NN/br-a05/1184	0.0269124210520111	-0.00978057945055779	country	NN	NA	B4	B	NA	 Sheraton-Biltmore Hotel that about half of the people in the <font color=green>country</font>  want the`` welfare'' type of government and the other half
country/NN/br-a06/106	-0.230278202796541	-0.166052697272976	country	NN	NA	A	A	NA	 Westfield Young Democratic Club cocktail party at the Scotch Plains <font color=green>Country</font>  Club. It was greeted with a chorus of boos by
country/NN/br-a07/1688	0.00857863402909068	-0.0169148229021743	country	NN	NA	B	B	NA	 those countries. A committee of experts has recommended that a <font color=green>country</font>  's population be considered in the distribution of professional posts
country/NN/br-a08/443	-0.0194011841794084	-0.00868393736850556	country	NN	NA	B4	B	NA	 the National Archives building where hundreds of thousands of this <font color=green>country</font>  's most valuable records are kept. Also the department of
country/NN/br-a10/426	0.118865522194998	-0.0256778371861397	country	NN	NA	B3	B	NA	 States must plan to absorb the exported goods of the <font color=green>country</font> , at what he termed a`` social cost''. Martin said the
country/NN/br-a10/460	0.114881567936992	0.085970042738266	country	NN	NA	B3	B	NA	 primary products which may involve the total income of one <font color=green>country</font> . The Portland school board was asked Monday to take a
country/NN/br-a16/837	-0.186853615832355	-0.0368478755032664	country	NN	NA	B1	B	NA	 his brother would meet her at the border of that <font color=green>country</font> - so newly separated from Egypt and the United Arab Republic
country/NN/br-a17/346	-0.182131687706876	-0.119144395325154	country	NN	NA	A	A	NA	 will be a stag dinner Friday evening at the Denver <font color=green>Country</font>  Club which will precede the opening of the 1961 golf
country/NN/br-a18/1063	-0.115086641188291	0.160023569304502	country	NN	NA	A	A	NA	 Mrs. John Charles Cotty is chairman of publicity for the <font color=green>country</font>  fair and Mrs. Francis G. Felske and Mrs. Francis Smythe
country/NN/br-a18/1123	-0.177113408981517	-0.148005234985744	country	NN	NA	A	A	NA	 exhibit and sale of paintings and sculpture at the Philmont <font color=green>Country</font>  Club on April 8 and 9. A preview party for
country/NN/br-a18/24	-0.155258664005276	-0.135158340430639	country	NN	NA	A	A	NA	 of the Thrift Shop Committee for May 6 at Philmont <font color=green>Country</font>  Club. The women have a reputation for giving parties that
