id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	text
state/JJ/br-e21/1143	-0.00174592435917025	-0.00279851228297962	state	JJ	state%5:00:02:public:00	A2	A	K	 <font color="green"></font> 
state/JJ/br-e21/1154	-0.00173254849912204	-0.00279758709301312	state	JJ	state%5:00:01:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-g17/2331	-0.00178895502434102	-0.00280364762824668	state	JJ	state%5:00:02:public:00	A2	A	K	 <font color="green"></font> 
state/JJ/br-g23/486	-0.00174748857384611	-0.00279033800661288	state	JJ	state%5:00:02:public:00	A2	A	K	 <font color="green"></font> 
state/JJ/br-h11/1986	-0.00174397529909291	-0.00280213376891884	state	JJ	solid-state%5:00:02:solid:01	D	D	E	 <font color="green"></font> 
state/JJ/br-h14/1730	-0.00174816543514991	-0.00279037416214444	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-h14/1763	-0.0017392759489949	-0.00279297897871181	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-h14/332	-0.00174994926276782	-0.00280330867697501	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-h14/533	-0.00173962523673441	-0.00278367545291834	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-h15/1500	-0.00174023072122157	-0.00279604585401644	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-j38/1551	-0.00173807903836721	-0.00278393297377267	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-j38/1871	-0.00174460953512813	-0.00279299001461185	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-j38/441	-0.0017436413158401	-0.00278967069305824	state	JJ	state%5:00:02:public:00	A3	A	K	 <font color="green"></font> 
state/JJ/br-j38/86	-0.00174130762134267	-0.00279561822520183	state	JJ	state%5:00:02:public:00	A1	A	K	 <font color="green"></font> 
state/NN/br-a02/1165	-0.00174303814306717	-0.00279760595977074	state	NN	state%1:15:01::	A2	A	A	 <font color="green"></font> 
state/NN/br-a02/1454	-0.00173172050675235	-0.00279437643732502	state	NN	state%1:14:01::	A1	A	C	 <font color="green"></font> 
state/NN/br-a02/2003	-0.00174384841412852	-0.0027892780775178	state	NN	state%1:14:01::	A3	A	C	 <font color="green"></font> 
state/NN/br-a02/214	-0.00173078632868455	-0.00279500216028246	state	NN	state_treasurer%1:18:00::	A2	A	K	 <font color="green"></font> 
state/NN/br-a02/470	-0.00174357373942351	-0.00279377511076316	state	NN	state%1:14:00::	A1	A	D	 <font color="green"></font> 
state/NN/br-a02/620	-0.00172366726331876	-0.00279924222419891	state	NN	state%1:15:01::	A2	A	A	 <font color="green"></font> 
state/NN/br-a03/507	-0.00174893816081911	-0.00280174344425928	state	NN	NA	A1	A	NA	 <font color="green"></font> 
state/NN/br-a04/1377	-0.00174906105386515	-0.00279285224590574	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a04/1848	-0.00174833200432483	-0.00279170005011237	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a04/1926	-0.00174693046111911	-0.00279136749570725	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a04/363	-0.00174520313936479	-0.00280174496269489	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a04/495	-0.00172708847560743	-0.0027994152204952	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a04/536	-0.0017453824523767	-0.00279670220949616	state	NN	NA	C	C	NA	 <font color="green"></font> 
state/NN/br-a04/583	-0.0017453916427695	-0.00279627832809293	state	NN	NA	C	C	NA	 <font color="green"></font> 
state/NN/br-a04/627	-0.00174449133350708	-0.00279327244762044	state	NN	NA	C	C	NA	 <font color="green"></font> 
state/NN/br-a04/641	-0.0017484013076699	-0.00280269054447161	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a04/893	-0.00173958099107936	-0.0027987258818163	state	NN	NA	C	C	NA	 <font color="green"></font> 
state/NN/br-a05/686	-0.00173359183579145	-0.00278256935934576	state	NN	NA	A1	A	NA	 <font color="green"></font> 
state/NN/br-a05/72	-0.0017394384694904	-0.0027804904975284	state	NN	NA	A1	A	NA	 <font color="green"></font> 
state/NN/br-a05/888	-0.00174969067872552	-0.00280164367049208	state	NN	NA	A2	A	NA	 <font color="green"></font> 
state/NN/br-a05/903	-0.00174392810339541	-0.00278544075401842	state	NN	NA	A2	A	NA	 <font color="green"></font> 
state/NN/br-a06/1152	-0.00174627242596437	-0.00280073349710706	state	NN	NA	A3	A	NA	 <font color="green"></font> 
state/NN/br-a06/1193	-0.00174085667944152	-0.00279962264437171	state	NN	NA	A4	A	NA	 <font color="green"></font> 
state/NN/br-a06/1439	-0.00174200028247744	-0.00279454427672996	state	NN	NA	A2	A	NA	 <font color="green"></font> 
state/NN/br-a06/1454	-0.00172835854024075	-0.00279946318506659	state	NN	NA	A2	A	NA	 <font color="green"></font> 
state/NN/br-a06/198	-0.00174566490989092	-0.0028017067204916	state	NN	NA	A	A	NA	 <font color="green"></font> 
state/NN/br-a06/362	-0.00171977377739268	-0.00279985308936269	state	NN	NA	A3	A	NA	 <font color="green"></font> 
state/NN/br-a06/525	-0.00174248919417423	-0.00279311790422001	state	NN	NA	A3	A	NA	 <font color="green"></font> 
state/NN/br-a06/615	-0.00175204219855896	-0.00279205216899725	state	NN	NA	A1	A	NA	 <font color="green"></font> 
state/NN/br-a06/740	-0.00174862916358346	-0.00280249938870851	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a06/897	-0.00174021488174172	-0.00279374702943927	state	NN	NA	A4	A	NA	 <font color="green"></font> 
state/NN/br-a07/1327	-0.00174687700948458	-0.00280266164833612	state	NN	NA	C	C	NA	 <font color="green"></font> 
state/NN/br-a07/1489	-0.00174028582250923	-0.00278664538715841	state	NN	NA	C	C	NA	 <font color="green"></font> 
state/NN/br-a07/2077	-0.00174622130249123	-0.00279272023990109	state	NN	NA	A5	A	NA	 <font color="green"></font> 
state/NN/br-a07/592	-0.00174370841332213	-0.00279656034360241	state	NN	NA	A4	A	NA	 <font color="green"></font> 
state/NN/br-a07/689	-0.00174825106845935	-0.00279006032834496	state	NN	NA	A4	A	NA	 <font color="green"></font> 
state/NN/br-a07/751	-0.00172490539085556	-0.00280038533614503	state	NN	NA	A3	A	NA	 <font color="green"></font> 
state/NN/br-a07/773	-0.00174591313986308	-0.00278424512037575	state	NN	NA	A4	A	NA	 <font color="green"></font> 
state/NN/br-a08/1399	-0.00174628740643714	-0.00279346153194912	state	NN	NA	A3	A	NA	 <font color="green"></font> 
