	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
schaal/noun/nrc_handelsblad_20031017_48/141/L0	schaal/noun/nrc_handelsblad_20031017_48/141	L0	groot	adj	groot/adj	grote	True	L	1	2.7086158	774779.0	6322.0
schaal/noun/nrc_handelsblad_20031017_48/141/L1	schaal/noun/nrc_handelsblad_20031017_48/141	L1	op	prep	op/prep	op	True	L	2	1.5734066999999998	4502370.0	11789.0
schaal/noun/nrc_handelsblad_20031017_48/141/L2	schaal/noun/nrc_handelsblad_20031017_48/141	L2	daar	adv	daar/adv	daar	True	L	3	-0.02865852	274838.0	146.0
schaal/noun/nrc_handelsblad_20031017_48/141/L3	schaal/noun/nrc_handelsblad_20031017_48/141	L3	zich	pron	zich/pron	zich	True	L	4	-0.04971516	1097010.0	569.0
schaal/noun/nrc_handelsblad_20031017_48/141/L4	schaal/noun/nrc_handelsblad_20031017_48/141	L4	man	noun	man/noun	mannen	True	L	5	-0.6987778	381643.0	103.0
schaal/noun/nrc_handelsblad_20031017_48/141/L5	schaal/noun/nrc_handelsblad_20031017_48/141	L5	vergrijp	verb	vergrijp/verb	vergrijpen	True	L	6	1.6457148999999998	1065.0	3.0
schaal/noun/nrc_handelsblad_20031017_48/141/L6	schaal/noun/nrc_handelsblad_20031017_48/141	L6	land	noun	land/noun	landen	True	L	7	0.53196114	304215.0	282.0
schaal/noun/nrc_handelsblad_20031017_48/141/L7	schaal/noun/nrc_handelsblad_20031017_48/141	L7	islamitisch	adj	islamitisch/adj	islamitische	True	L	8	0.7091339	19065.0	21.0
schaal/noun/nrc_handelsblad_20031017_48/141/L8	schaal/noun/nrc_handelsblad_20031017_48/141	L8	in	prep	in/prep	in	True	L	9	0.17624795	9492181.0	6143.0
schaal/noun/nrc_handelsblad_20031017_48/141/L9	schaal/noun/nrc_handelsblad_20031017_48/141	L9	vrouw	noun	vrouw/noun	vrouwen	True	L	10	-0.48741612	300299.0	100.0
schaal/noun/nrc_handelsblad_20031017_48/141/L10	schaal/noun/nrc_handelsblad_20031017_48/141	L10	en	vg	en/vg	en	True	L	11			
schaal/noun/nrc_handelsblad_20031017_48/141/L11	schaal/noun/nrc_handelsblad_20031017_48/141	L11	man	noun	man/noun	mannen	True	L	12	-0.6987778	381643.0	103.0
schaal/noun/nrc_handelsblad_20031017_48/141/L12	schaal/noun/nrc_handelsblad_20031017_48/141	L12	van	prep	van/prep	van	True	L	13	0.15299056	12638933.0	8010.0
schaal/noun/nrc_handelsblad_20031017_48/141/L13	schaal/noun/nrc_handelsblad_20031017_48/141	L13	scheiding	noun	scheiding/noun	scheiding	True	L	14			
schaal/noun/nrc_handelsblad_20031017_48/141/L14	schaal/noun/nrc_handelsblad_20031017_48/141	L14	pervers	adj	pervers/adj	perverse	True	L	15			
schaal/noun/nrc_handelsblad_20031017_48/141/L15												
schaal/noun/nrc_handelsblad_20031017_48/141/R0	schaal/noun/nrc_handelsblad_20031017_48/141	R0	aan	prep	aan/prep	aan	True	R	1	-0.24344262	2153601.0	919.0
schaal/noun/nrc_handelsblad_20031017_48/141/R1	schaal/noun/nrc_handelsblad_20031017_48/141	R1	kind	noun	kind/noun	kinderen	True	R	2	-0.64644927	305978.0	87.0
schaal/noun/nrc_handelsblad_20031017_48/141/R2	schaal/noun/nrc_handelsblad_20031017_48/141	R2	.	punct	./punct	.	True	R	3			
schaal/noun/nrc_handelsblad_20031017_48/141/R3	schaal/noun/nrc_handelsblad_20031017_48/141	R3	sentence_delimiter	none	none	</sentence>	none	R	4			
schaal/noun/nrc_handelsblad_20031017_48/141/R4	schaal/noun/nrc_handelsblad_20031017_48/141	R4	sentence_delimiter	none	none	<sentence>	none	R	5			
schaal/noun/nrc_handelsblad_20031017_48/141/R5	schaal/noun/nrc_handelsblad_20031017_48/141	R5	de	det	de/det	De	False	R	6	0.058127135	28074105.0	16176.0
schaal/noun/nrc_handelsblad_20031017_48/141/R6	schaal/noun/nrc_handelsblad_20031017_48/141	R6	incest	noun	incest/noun	incest	False	R	7			
schaal/noun/nrc_handelsblad_20031017_48/141/R7	schaal/noun/nrc_handelsblad_20031017_48/141	R7	en	vg	en/vg	en	False	R	8			
schaal/noun/nrc_handelsblad_20031017_48/141/R8	schaal/noun/nrc_handelsblad_20031017_48/141	R8	pedofilie	noun	pedofilie/noun	pedofilie	False	R	9			
schaal/noun/nrc_handelsblad_20031017_48/141/R9	schaal/noun/nrc_handelsblad_20031017_48/141	R9	ben	verb	ben/verb	zijn	False	R	10	-0.06655508	9938754.0	5058.0
schaal/noun/nrc_handelsblad_20031017_48/141/R10	schaal/noun/nrc_handelsblad_20031017_48/141	R10	er	adv	er/adv	er	False	R	11	0.19149879	1744977.0	1154.0
schaal/noun/nrc_handelsblad_20031017_48/141/R11	schaal/noun/nrc_handelsblad_20031017_48/141	R11	schrikbarend	adj	schrikbarend/adj	schrikbarend	False	R	12			
schaal/noun/nrc_handelsblad_20031017_48/141/R12	schaal/noun/nrc_handelsblad_20031017_48/141	R12	.	punct	./punct	.	False	R	13			
schaal/noun/nrc_handelsblad_20031017_48/141/R13	schaal/noun/nrc_handelsblad_20031017_48/141	R13	sentence_delimiter	none	none	</sentence>	none	R	14			
schaal/noun/nrc_handelsblad_20031017_48/141/R14	schaal/noun/nrc_handelsblad_20031017_48/141	R14	sentence_delimiter	none	none	<sentence>	none	R	15			
schaal/noun/nrc_handelsblad_20031017_48/141/R15												
