id	left	target	right
gemiddeld/adj/nrc_handelsblad_20020413_195/207	te berekenen . De onderzoekers berekenden de verandering van de	gemiddelde	warmteflux aan het aardoppervlak in de afgelopen 500 jaar .
gemiddeld/adj/nrc_handelsblad_20020131_8/825	daar sprake van aanzienlijke vooruitgang . De economische groei bedroeg	gemiddeld	4,6 procent per jaar en het inkomen per hoofd van
gemiddeld/adj/nrc_handelsblad_20030423_107/314	drinken jongeren die tijdens hun zomervakantie door voorlichters zijn benaderd	gemiddeld	14,1 glas , anderen 17,6 . Drie maanden na de
gemiddeld/adj/nrc_handelsblad_20010717_103/52	grotendeels te danken aan Tiger Woods . De kijkcijfers stijgen	gemiddeld	met 50 procent als Woods van de partij is
gemiddeld/adj/nrc_handelsblad_20020227_88/143	minuten . Het resultaat is dat de Franse consument voor	gemiddeld	25 à 30 procent meer gesprekstijd betaalt dan hij werkelijke
gemiddeld/adj/nrc_handelsblad_20011012_122/413	even in , maar trok snel weer aan . De	gemiddelde	woningprijs daalde in die tijd met 9.000 gulden naar 161.000
gemiddeld/adj/nrc_handelsblad_20020304_116/591	een renner moet leven als een pater ? Ik drink	gemiddeld	twee pinten per dag . Ik ben vaak genoeg met
gemiddeld/adj/nrc_handelsblad_20011129_157/1574	jaren , en het hoeft niet te verbazen dat we	gemiddeld	langer en harder werken dan sinds de invoering van de
gemiddeld/adj/nrc_handelsblad_20020814_99/152	afschrijvingen steeg met 3 procent naar 82 cent waar analisten	gemiddeld	hadden gerekend op zo'n 70 cent . Ook de stijging
gemiddeld/adj/nrc_handelsblad_20020116_44/193	Jaarlijks stromen ruim 100.000 nieuwe mensen de WAO in ,	gemiddeld	80.000 gaan er juist weer uit . Met name aan
gemiddeld/adj/nrc_handelsblad_19991209_127/83	, maar ook de grotere bekendheid van Riaggs . De	gemiddelde	tijd tot een behandeling kan beginnen is nu negen weken
gemiddeld/adj/nrc_handelsblad_20010528_112/1087	130 ligplaatsen , op een totaal van 350 ligplaatsen .	Gemiddeld	komen er 250 aanvragen binnen . Tweederde van mensen die
gemiddeld/adj/nrc_handelsblad_19990401_128/806	goed deden dan de AEX-index , terwijl laaggewaardeerde aandelen juist	gemiddeld	beter presteerden . Daarmee zou het eerste kwartaal van 1999
gemiddeld/adj/nrc_handelsblad_20001123_36/7	De loonstijging in de CAO's bedraagt	gemiddeld	3,4 procent . Als rekening wordt gehouden met de ingangsdatum
gemiddeld/adj/nrc_handelsblad_20030705_15/174	een kleine toename vergeleken met de periode 1997-2001 , waarin	gemiddeld	jaarlijks 232 slachtoffers vielen . Twee van de tien slachtoffers
gemiddeld/adj/nrc_handelsblad_20010602_126/287	"	 Dat gebeurt in De Lage Kamp . Er wonen"	gemiddeld	negen gezinnen met ongeveer veertien kinderen van nul tot twaalf
gemiddeld/adj/nrc_handelsblad_20020909_89/92	aantal verklaringen voor het succes van e-commerce . Omdat de	gemiddelde	bestedingen nog steeds groeien , is het logisch dat ook
gemiddeld/adj/nrc_handelsblad_19991030_68/581	"minder loon 	 , vindt Bruinsma . Hij becijfert het"	gemiddelde	"PGGM-pensioen op 600 gulden per maand . 	 Mijn pensioen"
gemiddeld/adj/nrc_handelsblad_20020910_12/431	stijging van de hoeveelheid informatie wil niet zeggen dat het	gemiddelde	niveau omhooggaat . Integendeel , doordat internet tot een ophoping
gemiddeld/adj/nrc_handelsblad_20001202_65/1235	zijn de jaren van experimenten en ambtelijk-politieke voorbereiding . De	gemiddelde	staatsburger zal pas over twee jaar , omstreeks 2003 ,
gemiddeld/adj/nrc_handelsblad_19990108_103/2097	naar andere delen van België en het buitenland . De	gemiddelde	Antwerpenaar zal zich er niet van bewust zijn dat zijn
gemiddeld/adj/nrc_handelsblad_20011122_15/842	meningsuiting alleen geldt voor hen die hetzelfde denken als de	gemiddelde	Nederlander . Scheffer ziet de recente multiculturele ontwikkelingen in de
gemiddeld/adj/nrc_handelsblad_20020925_70/217	Walker verknipt was . Zonder deze nummers zou dit een	gemiddeld	goede plaat zijn geweest . Maar met die vier is
gemiddeld/adj/nrc_handelsblad_20010324_157/128	een reeks vermoede gewichten op van 4-3-5-6-3-3,5-2-3-3,5-2,2 wat neerkomt op	gemiddeld	3,5 kilo . Dat zit er bijna twintig procent naast
gemiddeld/adj/nrc_handelsblad_20001202_147/211	wedstrijden voor het ontslag blijken prestaties terug te vallen van	gemiddeld	seizoensniveau naar ongeveer 65 procent daarvan . 2 . Als
gemiddeld/adj/nrc_handelsblad_20000108_66/1115	snel belangrijker worden als het economische tij keert . De	gemiddelde	leeftijd van de werkende bevolking zal in 2005 naar schatting
gemiddeld/adj/nrc_handelsblad_20040305_47/442	) ligt om meerdere redenen voor de hand . De	gemiddelde	dagkosten van een tbs-plaats zijn ongeveer driemaal zo hoog als
gemiddeld/adj/nrc_handelsblad_20011006_157/799	een heel smal spectrum hebben , dan kan men de	gemiddelde	druppelgrootte laten zakken . Voor de kwaadwillende is de continue
gemiddeld/adj/nrc_handelsblad_20020614_7/39	kan niemand ontkennen dat de koers de afgelopen maand in	gemiddeld	met 4 procent is gedaald en ten opzichte van de
gemiddeld/adj/nrc_handelsblad_20020223_28/60	De officiële media noemen het onderwerp nauwelijks , en de	gemiddelde	Chinees houdt zich meer bezig met hoe hij zich zo
gemiddeld/adj/nrc_handelsblad_20000331_140/504	onderzoek blijkt dat het percentage actieve leden nauwelijks verandert .	Gemiddeld	genomen wordt het partijleven steeds gaande gehouden door hooguit 20
gemiddeld/adj/nrc_handelsblad_20011026_3/40	de staatssecretaris van Emancipatiezaken gaat het net als bij de	gemiddelde	Nederlander : Annelies Verstand stelt haar huishoudelijke taken steeds vaker
gemiddeld/adj/nrc_handelsblad_20020706_769/392	de afdeling Vrijetijdsstudies van de Katholieke Universiteit Brabant geeft het	gemiddelde	huishouden liefst een kwart van zijn inkomen aan vrije tijd
gemiddeld/adj/nrc_handelsblad_20040331_33/311	en in onderdelen weer verkocht . Tegenwoordig houdt KKR ondernemingen	gemiddeld	acht jaar onder beheer . Het bod van 16 euro
gemiddeld/adj/nrc_handelsblad_20031128_900/221	in Engeland . Allebei verdienden ze het tienvoudige van een	gemiddeld	salaris in Amersfoort . En allebei stonden ze na een
