id	left	target	right
geldig/adj/nrc_handelsblad_19990415_190/27	, ook als ze niet in het bezit zijn van	geldige	identiteitspapieren . Dit heeft staatssecretaris Cohen ( Justitie ) meegedeeld
geldig/adj/nrc_handelsblad_20011011_37/550	vorm van een totale chaos , zou dit vers weer	geldig	"kunnen worden . 	 Karagül : 	 Het algemene doel"
geldig/adj/nrc_handelsblad_20040415_146/126	de verwachte winsten te weinig wordt betaald vindt hij niet	geldig	". 	 Ik heb geleerd dat je in de luchtvaart"
geldig/adj/nrc_handelsblad_20010716_107/56	Puhovski van het Helsinki Comité voor mensenrechten , hebben één	geldig	"argument . 	 Een oorlog kent winnaars en verliezers ."
geldig/adj/nrc_handelsblad_20030527_10/225	De gisteren verstrekte vergunningen zijn acht jaar en drie maanden	geldig	. CDA en VVD hebben samen een meerderheid in de
geldig/adj/nrc_handelsblad_20010309_14/276	honden ? Het wordt tijd dat De Vries zich een	geldige	perskaart van zijn verenigingsblad Effect laat aanmeten
geldig/adj/nrc_handelsblad_20010310_151/79	Van Oijen niet te bereiken was . Is dat een	geldig	excuus ? Mevrouw B. ligt vervolgens langdurig in haar eigen
geldig/adj/nrc_handelsblad_20001116_21/122	in 1992 was slechts twee procent van de stembiljetten niet	geldig	in Florida . Eerder werd al duidelijk dat met name
geldig/adj/nrc_handelsblad_20001124_6/165	ontzeggen hem het recht Griekenland te bezoeken omdat hij geen	geldig	paspoort heeft . Hij wil namelijk geen achternaam opgeven en
geldig/adj/nrc_handelsblad_20020429_64/353	omgaan . Dankzij dat lidmaatschap was hij in bezit van	geldige	wapenvergunningen en kon hij goedkoop aan munitie komen . In
geldig/adj/nrc_handelsblad_20010917_79/338	de abortuskliniek Bloemenhove . Maar het slotlied is nog even	geldig	"als toen : 	 Het is altijd zo gegaan ,"
geldig/adj/nrc_handelsblad_20010928_86/46	1991-1995 ) . De nieuwe aanklacht wordt officieel en juridisch	geldig	indien deze door een rechter van het Joegoslavië-Tribunaal wordt bevestigd
geldig/adj/nrc_handelsblad_20020826_96/399	vier maanden buitenspel stond , was voor de coach geen	geldig	excuus . Van Persie was na zijn invalbeurt rijp voor
geldig/adj/nrc_handelsblad_20000824_38/197	systeem , dat wil zeggen dat eenmaal behaalde meesterpunten levenslang	geldig	blijven . Wie vaak hoog eindigt , verdient meer meesterpunten
