id	left	target	right
dof/adj/nrc_handelsblad_20000831_73/188	geluid wordt af en toe geheel of gedeeltelijk zachter of	doffer	waardoor het lijkt alsof er meerdere lagen op elkaar zijn
dof/adj/nrc_handelsblad_20011019_50/94	en spaghetti alle vongole rondgedragen . Een stoppelbaard en wat	doffe	"ogen , achter grote brillenglazen verraden zijn vermoeidheid . 	"
dof/adj/nrc_handelsblad_20020826_54/552	met de vuist tegen de Ambassador beukt hoor je een	dof	geluid . Bij een Maruti heb je meteen een deuk
dof/adj/nrc_handelsblad_20000303_155/411	kamerplanten , hangen op leren bankstellen wat jongeren . Een	doffe	dreun klinkt , niemand danst . De camera zwenkt en
dof/adj/nrc_handelsblad_20010907_176/943	stellen dat de glans van Björnsons werk verminderd is en	dof	geworden . Plattelandsdominee De schrijver als orator , als volksleider
dof/adj/nrc_handelsblad_20020605_108/211	macht is en dan toch nog al die moeite van	doffe	schoten , suizende sabels , knarsende scharnieren en vuurwerk doet
dof/adj/nrc_handelsblad_20010801_115/418	Country koos hij niet voor cinematografisch vertoon , maar voor	doffe	graankorrels die door niemand worden opgepoetst
dof/adj/nrc_handelsblad_20010113_120/952	schildersmateriaal te voorzien . Gewelddadige scènes voltrekken zich vaak in	doffe	stilte en worden afgewisseld met felgekleurde schilderijen , zonder dat
dof/adj/nrc_handelsblad_20040427_75/26	klassieke , uit één plaat zilver gedreven dienblad . Het	doffe	, rafelige blad dat eruit ziet als een verse archeologische
dof/adj/nrc_handelsblad_20030509_28/313	men zijn kruis en niet de politiek zelf maar de	doffe	berusting is het die Kata's moeder haar land Hongarije uit
dof/adj/nrc_handelsblad_20040513_19/163	krijgt de leuze ` Shining India ' plotseling een zeer	doffe	glans . Het eerste slachtoffer daarvan is eerste minister Chandrababu
dof/adj/nrc_handelsblad_20010728_88/249	Hartverscheurend gekras van metaal op steen , maar niet het	dof	bonken van autoblik dat het geluid van een botsing is
dof/adj/nrc_handelsblad_19990709_148/1978	hem in de steek had gelaten . Ik hoor het	doffe	geluid van de drums , de trage slepende melodie ,
dof/adj/nrc_handelsblad_20020607_175/696	klinkt eerder kalmerend dan alarmerend , en punt is te	dof	. De verslaggever moet voor dit ene woord zijn lippen
dof/adj/nrc_handelsblad_20000506_6/34	aanrecht . Net voor het Hooge Hexel had hij een	doffe	klap gehoord ter hoogte van de rechter voorbumper . Hij
dof/adj/nrc_handelsblad_20010618_114/133	Het timbre is verreweg het belangrijkste aspect . Een te	doffe	of te lichte kleur is een ernstiger vergrijp dan een
dof/adj/nrc_handelsblad_20020604_20/342	altijd , in zijn regie-aanwijzingen . De mantels moesten respectievelijk	dof	violet , dof rood en dof geel zijn , de
dof/adj/nrc_handelsblad_20020604_20/348	De mantels moesten respectievelijk dof violet , dof rood en	dof	"geel zijn , de stemmen 	 zo zacht als de"
dof/adj/nrc_handelsblad_20020809_143/1916	waar krijgt doorheen was gemengd . Dat maakte de decors	dof	. Bij Wijnberg is alles glans . Hij is ook
dof/adj/nrc_handelsblad_20000630_99/115	al , eerst in wanhoop en verontwaardiging , later in	doffe	berusting . Bij Het Huis van Oranje zag ik later
dof/adj/nrc_handelsblad_20020213_130/957	race wel wat weg van een zombie . Met een	doffe	blik in zijn ogen , vol ongeloof . Even later
dof/adj/nrc_handelsblad_20030502_29/106	schrok vooral van zijn ogen : ze stonden nauw en	dof	en er lag een blauwig waas over . Hij keek
dof/adj/nrc_handelsblad_20030710_132/69	verlangt naar groots en meeslepend , Halliday naar kalm en	dof	. Leconte weet het zo te filmen dat een bank
dof/adj/nrc_handelsblad_20001007_165/425	schil oogt de goudrenet ambachtelijk . De geelgroene , enigszins	doffe	kleur verdwijnt deels achter een opkomend oranje-rood blosje . Tegenwoordig
dof/adj/nrc_handelsblad_20011027_155/353	' , sinds 34 jaar gevangen in Pollsmoor , de	dof	kijkende Mohammed die zoveel moorden op zijn geweten zou hebben
dof/adj/nrc_handelsblad_20020812_109/502	het favoriete restaurant was gepland , voltrekt zich in een	doffe	paniek . Daantje laat zich niet meer zien . Veel
dof/adj/nrc_handelsblad_20021009_189/198	beoordelen Claus op zijn openbare optredens waarbij hij vaak een	doffe	, neerslachtige indruk maakte . Wie was de ware Claus
