id	left	target	right
grijs/adj/nrc_handelsblad_20040424_68/213	( 68 ) oogt fit en is keurig gekleed :	grijze	pantalon , grijze trui en een colbertjas waarop een gouden
grijs/adj/nrc_handelsblad_20021005_111/684	zeker : hij heeft er in twee jaar een hoop	grijze	"haren bij gekregen . 	 Dick Koekie Voorn is al"
grijs/adj/nrc_handelsblad_20030930_103/395	of gene hebben afgesproken . Er is bovendien een groot	grijs	gebied , met name op het gebied van diensten en
grijs/adj/nrc_handelsblad_20011025_169/78	zelfverzekerd in de oppositiebanken tot de tijd rijp is .	Grijzend	middelpunt is Andrzej Lepper , leider van de boerenpartij Samoobrona
grijs/adj/nrc_handelsblad_20010614_112/763	met gekleurde vakjes en de voordeurruit biedt een blik op	grijze	Gispenstoelen , die opvallend vaak opduiken in winkelinterieurs rondom de
grijs/adj/nrc_handelsblad_20010209_159/1457	een recent landschap zien waarin bruine rotspartijen afsteken tegen een	grijze	lucht . Boven de rotsen zweeft , als een mysterieus
grijs/adj/nrc_handelsblad_20000802_5/259	épauletten ; manspersonen met zwart haar , blond haar ,	grijs	haar , rood haar en in 't geheel geen haar
grijs/adj/nrc_handelsblad_20020720_91/398	gemaakt van plakband in de kleuren zwart , wit en	grijs	. Zobop , een kunstwerk van de Schot Jim Lambie
grijs/adj/nrc_handelsblad_20020109_2/106	"	 Normaal gesproken staat slechts ongeveer tachtig procent van de"	grijze	containers en vijftig procent van de groene containers aan de
grijs/adj/nrc_handelsblad_20000919_162/470	"Eens wordt Anderlecht weer een madame 	 , sprak de"	grijze	eminentie twee jaar geleden . Optimisten en chauvinisten repten zelfs
grijs/adj/nrc_handelsblad_20000303_125/33	probleem had kunnen worden . Met gefronste wenkbrauwen , het	grijzende	haar als altijd in een onberispelijke coupe , kwam Baltasar
grijs/adj/nrc_handelsblad_20021005_103/483	vluchttrappen geplaatst met als resultaat een doodse , rommelige ,	grijze	gevel . Dat de trappen schuilgaan achter grote halfdoorzichtige metalen
grijs/adj/nrc_handelsblad_19990716_102/127	ik niets meer kunnen vertellen . Wel over de treurige	grijs	gestemde held , de anti-held zegt de kenner , en
grijs/adj/nrc_handelsblad_20011027_25/918	"het geen gewone steen was . 	 Hij vond de"	grijze	, gladde steen een kleine 25 jaar geleden . Helaas
grijs/adj/nrc_handelsblad_20001114_15/427	het zittende partijbestuur op de been gebracht . Een overwegend	grijzende	achterban , van wie vooral vertegenwoordigers uit Amsterdam en uit
grijs/adj/nrc_handelsblad_19991202_13/175	"negatief bekendstaat . Hoe dan ? 	 We zijn eerder"	grijs	"	 , zegt het voormalige hoofd van de afdeling ,"
grijs/adj/nrc_handelsblad_20040115_46/19	man , met een karakteristiek hoofd , houtsnijwerk met een	grijze	haardos die nog jaren meekan . De maanden dat zijn
grijs/adj/nrc_handelsblad_20001104_7/108	roze hemd terwijl zijn friteszakvormige onderlijf verstopt zit in een	grijze	pantalon . De vrouw gaat van boven schuil in een
grijs/adj/nrc_handelsblad_20000504_46/434	goed . Er lopen brede paden met grote zwarte en	grijze	tegels waar mosjes op groeien door het oude kamp .
grijs/adj/nrc_handelsblad_20000610_140/529	foute smaken elkaar ontmoeten . Flikkerende lampjes bungelen aan een	grijs	betonnen plafond , het plastiek van twee damesbillen boven de
grijs/adj/nrc_handelsblad_20000922_152/181	onmogelijke wordt gecombineerd . De onderste helft oogt zwaar ,	grijs	en onverwoestbaar als een bunker . De bovenste helft licht
grijs/adj/nrc_handelsblad_20020118_132/32	. En niemand weet wanneer het beter gaat . De	grijze	haren waren er al en ook aan zijn aanstekelijke optimisme
grijs/adj/nrc_handelsblad_20001207_105/311	weer een tennisser opgestaan die meer expressie vertoonde dan alle	grijze	muizen die het circuit vervuilen , jubelde John McEnroe .
grijs/adj/nrc_handelsblad_20001113_87/57	Het curieuze wedstrijdverloop verleidde Rotterdams eerste burger , in een	grijs	verleden zelf ook actief op het hockeyveld , na afloop
grijs/adj/nrc_handelsblad_20031230_61/12	winterlandschap is een ingetogen , melancholische symfonie van wit en	grijs	. De Malinese zangeres Rokia Traoré mengt op Bowmboï haar
grijs/adj/nrc_handelsblad_19991111_192/495	uur komen de doorkijkjes naar de Gran Sasso , een	grijze	klomp rots die majestueus de zonnestralen weerkaatst . Op het
grijs/adj/nrc_handelsblad_20000929_59/375	een scheef pagekopje ) en de pupillen ( zwart ,	grijs	met wit cirkeltje ) , maar verder is zij het
grijs/adj/nrc_handelsblad_20020904_104/207	prijs van groene stroom voorlopig gelijkt blijft aan die van	grijze	stroom . Hiermee wil Essent particulieren duidelijk maken dat overstappen
grijs/adj/nrc_handelsblad_20001123_167/302	designbeurs van Londen . De 60 centimeter hoge reuzentablet van	grijs	of roze polyethyleen voelt zacht aan , maar de vulling
