cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_2	ann_3	ann_1	ann_4	votes
grijs/adj/nrc_handelsblad_20020717_6/269/L0	grijs/adj/nrc_handelsblad_20020717_6/269	L0	het	det	het/det	het	True	L	1	0.001966018	11650779	6024	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L1	grijs/adj/nrc_handelsblad_20020717_6/269	L1	in	prep	in/prep	in	True	L	2	0.13175175	9492181	5575	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L2	grijs/adj/nrc_handelsblad_20020717_6/269	L2	boek_houd_gedrag	noun	boek_houd_gedrag/noun	boekhoudgedrag	True	L	3	NA	NA	NA	TRUE	FALSE	TRUE	FALSE	2
grijs/adj/nrc_handelsblad_20020717_6/269/L3	grijs/adj/nrc_handelsblad_20020717_6/269	L3	creatief	adj	creatief/adj	creatieve	True	L	4	-0.12209595	13152	6	TRUE	FALSE	FALSE	FALSE	1
grijs/adj/nrc_handelsblad_20020717_6/269/L4	grijs/adj/nrc_handelsblad_20020717_6/269	L4	dit	det	dit/det	dit	True	L	5	-0.44264257	795783	264	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L5	grijs/adj/nrc_handelsblad_20020717_6/269	L5	ben	verb	ben/verb	was	True	L	6	0.10546464	9938754	5700	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L6	grijs/adj/nrc_handelsblad_20020717_6/269	L6	afspraak	noun	afspraak/noun	afspraken	True	L	7	-0.63950133	40414	11	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L7	grijs/adj/nrc_handelsblad_20020717_6/269	L7	de	det	de/det	de	True	L	8	-0.02797945	28074105	14082	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L8	grijs/adj/nrc_handelsblad_20020717_6/269	L8	volgens	prep	volgens/prep	Volgens	True	L	9	-0.6376983	478509	131	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L9	grijs/adj/nrc_handelsblad_20020717_6/269	L9	sentence_delimiter	none	none	<sentence>	none	L	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L10	grijs/adj/nrc_handelsblad_20020717_6/269	L10	sentence_delimiter	none	none	</sentence>	none	L	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L11	grijs/adj/nrc_handelsblad_20020717_6/269	L11	.	punct	./punct	.	False	L	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L12	grijs/adj/nrc_handelsblad_20020717_6/269	L12	spreid	verb	spreid/verb	spreiden	False	L	13	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L13	grijs/adj/nrc_handelsblad_20020717_6/269	L13	kan	verb	kan/verb	kon	False	L	14	-0.38121325	1969534	695	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L14	grijs/adj/nrc_handelsblad_20020717_6/269	L14	jaar	noun	jaar/noun	jaren	False	L	15	-0.3797092	1574348	555	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R0	grijs/adj/nrc_handelsblad_20020717_6/269	R0	gebied	noun	gebied/noun	gebied	True	R	1	2.3285851	59707	317	FALSE	TRUE	TRUE	FALSE	2
grijs/adj/nrc_handelsblad_20020717_6/269/R1	grijs/adj/nrc_handelsblad_20020717_6/269	R1	.	punct	./punct	.	True	R	2	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R2	grijs/adj/nrc_handelsblad_20020717_6/269	R2	sentence_delimiter	none	none	</sentence>	none	R	3	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R3	grijs/adj/nrc_handelsblad_20020717_6/269	R3	sentence_delimiter	none	none	<sentence>	none	R	4	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R4	grijs/adj/nrc_handelsblad_20020717_6/269	R4	het	det	het/det	Het	False	R	5	0.001966018	11650779	6024	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R5	grijs/adj/nrc_handelsblad_20020717_6/269	R5	opzij_zet	verb	opzij_zet/verb	opzijzetten	False	R	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R6	grijs/adj/nrc_handelsblad_20020717_6/269	R6	van	prep	van/prep	van	False	R	7	-0.15885822	12638933	5564	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R7	grijs/adj/nrc_handelsblad_20020717_6/269	R7	een	det	een/det	een	False	R	8	0.501424	11075723	9451	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R8	grijs/adj/nrc_handelsblad_20020717_6/269	R8	deel	noun	deel/noun	deel	False	R	9	0.028144577999999996	150293	80	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R9	grijs/adj/nrc_handelsblad_20020717_6/269	R9	van	prep	van/prep	van	False	R	10	-0.15885822	12638933	5564	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R10	grijs/adj/nrc_handelsblad_20020717_6/269	R10	de	det	de/det	de	False	R	11	-0.02797945	28074105	14082	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R11	grijs/adj/nrc_handelsblad_20020717_6/269	R11	winst	noun	winst/noun	winst	False	R	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R12	grijs/adj/nrc_handelsblad_20020717_6/269	R12	in	prep	in/prep	in	False	R	13	0.13175175	9492181	5575	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R13	grijs/adj/nrc_handelsblad_20020717_6/269	R13	de	det	de/det	de	False	R	14	-0.02797945	28074105	14082	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R14	grijs/adj/nrc_handelsblad_20020717_6/269	R14	vorm	noun	vorm/noun	vorm	False	R	15	-0.3473961	73809	27	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_20020717_6/269/R15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L0	grijs/adj/nrc_handelsblad_19991005_94/174	L0	in	prep	in/prep	in	True	L	1	0.13175175	9492181	5575	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L1	grijs/adj/nrc_handelsblad_19991005_94/174	L1	heer	noun	heer/noun	heren	True	L	2	2.3527963	21607	117	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L2	grijs/adj/nrc_handelsblad_19991005_94/174	L2	vijf	num	vijf/num	Vijf	True	L	3	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L3	grijs/adj/nrc_handelsblad_19991005_94/174	L3	sentence_delimiter	none	none	<sentence>	none	L	4	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L4	grijs/adj/nrc_handelsblad_19991005_94/174	L4	sentence_delimiter	none	none	</sentence>	none	L	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L5	grijs/adj/nrc_handelsblad_19991005_94/174	L5	.	punct	./punct	.	False	L	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L6	grijs/adj/nrc_handelsblad_19991005_94/174	L6	helft	noun	helft/noun	helft	False	L	7	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
grijs/adj/nrc_handelsblad_19991005_94/174/L7	grijs/adj/nrc_handelsblad_19991005_94/174	L7	eerste	num	eerste/num	eerste	False	L	8	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
