id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre	wordform	msOct	determiner	building	definiteness	dgsense	number	capital	has_posm	prem_adj	prem_place	prem_name	prem_kind	comm	activity	organization	msOct4
church/NN/br-a01/2073	-0.0231573295693559	0.421382027628665	church	NN	press_reportage	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	NN	informative	1	0	2.63	0	1	church	others	church	c3	none	yes	no	E	singular	no	no	no	no	no	no	no	yes	no	c
church/NN/br-a07/1303	0.109868356565672	-0.38512054639623	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	NN	informative	3	0	2.93	0	1	church	others	church	a2	NA	no	NA	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a07/1325	-0.24347126631101	-0.263676966760884	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	NN	informative	4	1	2.58	0.25	1	church	others	church	a1	none	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a07/1487	-0.182563946130957	0.406700951282142	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	NN	informative	4	0	2.63	0	1	church	others	church	a1	none	no	no	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a10/1769	0.105483004293244	0.347552843635154	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	NN	informative	3	0	2.8	0	1	church	others	church	d	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	no	d
church/NN/br-a10/1940	-0.24347126631101	-0.263676966760884	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	NN	informative	1	0	2.58	0	2	church	others	church	a2	the	no	yes	A	singular	no	no	no	no	no	no	no	NA	yes	a
church/NN/br-a16/453	0.179537756931176	0.109338005517271	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	NN	informative	4	2	2.9	0.5	2	church	others	church	c1	none	yes	no	D	singular	no	no	no	no	yes	no	no	no	no	c
church/NN/br-a17/1636	0.182106738591201	0.186993471418646	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	NNP	informative	4	2	2.65	0.5	2	Church	others	Church	c1	the	yes	yes	D	singular	yes	no	no	yes	no	yes	no	no	no	c
church/NN/br-a17/1770	0.253847352170643	0.331256060083805	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	NNP	informative	2	0	2.76	0	1	Church	others	Church	c1	the	yes	yes	D	singular	yes	no	no	no	no	yes	no	no	no	c
church/NN/br-a17/2228	0.0534054660111888	0.0121618060148975	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	NN	informative	5	2	3.26	0.4	5	church	others	church	c1	the	yes	yes	D	singular	no	no	no	no	no	no	no	no	no	c
