id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre
church/NN/br-a01/2073	-0.307980930789358	-0.035539149241612	church	NN	press_reportage	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	NN	informative	1	0	2.3	0	3	church	others
church/NN/br-a07/1303	-0.0636161941726655	-0.0400876174441081	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	NN	informative	3	1	2.57	0.33	4	church	others
church/NN/br-a07/1325	-0.13483173064457	-0.162261789195019	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	NN	informative	4	2	2.4	0.5	2	church	others
church/NN/br-a07/1487	0.136969142779488	-0.113680305546801	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	NN	informative	4	1	2.4	0.25	3	church	others
church/NN/br-a10/1754	-0.136655338319063	-0.171969754871954	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	NN	informative	1	1	2.25	1	2	church	others
church/NN/br-a10/1769	-0.0755869933741136	-0.0701181667811999	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	NN	informative	3	1	2.4	0.33	3	church	others
church/NN/br-a10/1940	-0.186134881215608	-0.213529257978361	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	NN	informative	1	0	2.58	0	2	church	others
church/NN/br-a16/453	-0.130059091098463	0.166466859141951	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	NN	informative	4	2	2.67	0.5	3	church	others
church/NN/br-a17/1636	-0.114809797324131	0.158567177129926	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	NNP	informative	4	3	2.55	0.75	3	Church	others
church/NN/br-a17/1770	-0.120072373097484	0.177976133670653	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	NNP	informative	2	0	2.34	0	3	Church	others
church/NN/br-a17/2228	-0.113763131752422	0.0681578490898047	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	NN	informative	5	2	3.26	0.4	5	church	others
church/NN/br-a17/2233	-0.13143400766766	0.0707963678892167	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	NNP	informative	4	1	3.2	0.25	4	Church	others
church/NN/br-a21/677	-0.195189702090603	0.0974386606270451	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	NNP	informative	4	1	3.09	0.25	3	Church	others
church/NN/br-a22/1206	-0.137305695538482	0.456578731041456	church	NN	press_reportage	B	B	AB	AB	Z	Z	Z	Z	Z	 World War 1,. He was a member of the Baptist <font color=green>church</font> . Survivors include two brothers, C. E. Killingsworth, Atlanta, and John	NN	informative	2	0	2.96	0	1	church	others
church/NN/br-a22/1283	-0.123539617752218	0.231565857771133	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	NNP	informative	2	0	2.73	0	3	Church	others
church/NN/br-a22/307	-0.0852740768949275	0.0149021069151508	church	NN	press_reportage	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	NNP	informative	4	1	2.96	0.25	2	Church	others
church/NN/br-a22/310	-0.0712794936933098	0.0038515542772684	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	NN	informative	5	1	2.89	0.2	3	church	others
church/NN/br-a31/1395	-0.171515972114179	0.224856919182144	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 from 4 to 8 p. m. Sunday at First Presbyterian <font color=green>Church</font> . At that time the second half of the Christian Youth	NNP	informative	5	0	2.97	0	1	Church	others
church/NN/br-a31/1842	0.0297134958652084	0.317818598631701	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	NNP	informative	3	0	3.21	0	2	Church	others
church/NN/br-a31/2087	-0.154512843786299	0.111472729976723	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Family'' at 7: 30 p. m. Sunday at Christ Lutheran <font color=green>Church</font> . Mr. and Mrs. George Treadwell will be honored at a	NNP	informative	3	0	2.57	0	2	Church	others
church/NN/br-a31/2112	-0.113081208034803	0.0734544953362725	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	NNP	informative	3	0	3.22	0	2	Church	others
church/NN/br-a31/2120	-0.168188783527732	0.00959880668830843	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	NN	informative	4	0	3.52	0	2	church	others
