id	model.x	model.y	lemma	wf	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	new_pos	new_broad_genre	mean_weight	weighted.cues_ratio
church/NN/br-a01/2073	-0.268607951605817	0.0989312756818756	church	church	NN	press_reportage	press	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	95	0	9	NN	press	0.95	0
church/NN/br-a07/1303	-0.0132426194839241	-0.145125029457717	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	1	172	33	7	NN	press	1.72	0.33
church/NN/br-a07/1325	0.0396874924970847	-0.132305706443743	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	3	123	75	8	NN	press	1.23	0.75
church/NN/br-a07/1487	0.00669296654740976	-0.171081072470219	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	4	1	164	25	7	NN	press	1.64	0.25
church/NN/br-a10/1754	0.107376748405622	-0.17245871451194	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	1	1	133	100	6	NN	press	1.33	1
church/NN/br-a10/1769	0.010402073472269	-0.0280128169520485	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	3	149	100	8	NN	press	1.49	1
church/NN/br-a10/1850	-0.00050987952649389	-0.283004234456741	church	church	NN	press_reportage	press	C	C	C	CDE	Z	Z	Z	Z	Z	 adding that the denomination had a national goal of one <font color=green>church</font>  for every 10000 persons.`` In this light we need 1000	3	2	53	67	6	NN	press	0.53	0.67
church/NN/br-a10/1940	0.0891035451899508	-0.1828359843408	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	122	0	8	NN	press	1.22	0
church/NN/br-a16/453	-0.0576898430560113	0.159681616965875	church	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	156	50	6	NN	press	1.56	0.5
church/NN/br-a17/1636	-0.1178073583266	0.151216407482081	church	Church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	3	130	75	7	NNP	press	1.3	0.75
