id	model.x	model.y	lemma	wf	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	new_pos	new_broad_genre	mean_weight	weighted.cues_ratio
country/NN/br-a04/1253	-0.152520702180747	-0.0510258511974199	country	country	NN	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 that he agreed to the need for unity in the <font color=green>country</font>  now. But he further said that it was better politics	2	1	129	50	2	NN	press	1.29	0.5
country/NN/br-a05/1184	0.161749591684295	-0.228567609697968	country	country	NN	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 Sheraton-Biltmore Hotel that about half of the people in the <font color=green>country</font>  want the`` welfare'' type of government and the other half	4	1	133	25	1	NN	press	1.33	0.25
country/NN/br-a06/106	-0.0606721115970215	0.166609562457192	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 Westfield Young Democratic Club cocktail party at the Scotch Plains <font color=green>Country</font>  Club. It was greeted with a chorus of boos by	4	3	232	75	5	NNP	press	2.32	0.75
country/NN/br-a07/1688	-0.00996516107795313	-0.0320259608648794	country	country	NN	press_reportage	press	B	B	B14	B	Z	Z	Z	Z	Z	 those countries. A committee of experts has recommended that a <font color=green>country</font>  's population be considered in the distribution of professional posts	2	2	152	100	7	NN	press	1.52	1
country/NN/br-a08/443	-0.0032039041879535	0.00288106759658607	country	country	NN	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 the National Archives building where hundreds of thousands of this <font color=green>country</font>  's most valuable records are kept. Also the department of	2	1	153	50	6	NN	press	1.53	0.5
country/NN/br-a10/426	0.0278617187584539	-0.26339679013781	country	country	NN	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 States must plan to absorb the exported goods of the <font color=green>country</font> , at what he termed a`` social cost''. Martin said the	4	1	227	25	3	NN	press	2.27	0.25
country/NN/br-a10/460	0.0369181228834494	0.122477067694659	country	country	NN	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 primary products which may involve the total income of one <font color=green>country</font> . The Portland school board was asked Monday to take a	3	1	150	33	3	NN	press	1.5	0.33
country/NN/br-a16/837	-0.0734657919913963	0.0815579531386637	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 his brother would meet her at the border of that <font color=green>country</font> - so newly separated from Egypt and the United Arab Republic	2	2	171	100	5	NN	press	1.71	1
country/NN/br-a17/346	-0.00531044677609194	0.118288088043591	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 will be a stag dinner Friday evening at the Denver <font color=green>Country</font>  Club which will precede the opening of the 1961 golf	2	2	209	100	8	NNP	press	2.09	1
country/NN/br-a18/1063	0.0887004893159454	0.2135191872094	country	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 Mrs. John Charles Cotty is chairman of publicity for the <font color=green>country</font>  fair and Mrs. Francis G. Felske and Mrs. Francis Smythe	1	1	216	100	5	NN	press	2.16	1
country/NN/br-a18/1123	-0.0280483161661314	0.126844009481502	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 exhibit and sale of paintings and sculpture at the Philmont <font color=green>Country</font>  Club on April 8 and 9. A preview party for	2	2	231	100	6	NNP	press	2.31	1
country/NN/br-a18/24	-0.0301624260318289	0.160031932835224	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 of the Thrift Shop Committee for May 6 at Philmont <font color=green>Country</font>  Club. The women have a reputation for giving parties that	3	1	241	33	4	NNP	press	2.41	0.33
country/NN/br-a18/734	0.0548541817965617	0.11879830482935	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 contributions may be made there will be facilities at Philmont <font color=green>Country</font>  Club for those who would like to bring the bundles	2	2	241	100	3	NNP	press	2.41	1
country/NN/br-a20/641	-0.172633179352757	0.0331895287574007	country	country	NN	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 and the two civil servants the recipients for selling their <font color=green>country</font>  's secrets. The fact that secrets of the Dreadnought, and	3	4	233	133	5	NN	press	2.33	1.33
country/NN/br-a26/490	-0.0684636248510379	0.0608656875585169	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 price would be quoted regularly in newspapers all over the <font color=green>country</font> . He was also pleased with the wide distribution because he	5	4	201	80	7	NN	press	2.01	0.8
country/NN/br-a27/436	-0.172756349654319	-0.128891800327249	country	country	NN	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 the steel strike. Draper declared,`` As I see it, this <font color=green>country</font>  has never faced such great dangers as threaten us today	4	2	181	50	3	NN	press	1.81	0.5
country/NN/br-a28/645	0.02186931660868	-0.0286449029755922	country	country	NN	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 the rural recovery are being felt almost immediately by the <font color=green>country</font>  's farm equipment manufacturers. For example, farm equipment shipments of	3	4	149	133	8	NN	press	1.49	1.33
country/NN/br-a29/2062	-0.0238694532297737	0.128283453916158	country	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 weekend they have reserved the entire Stagecoach Inn and adjoining <font color=green>country</font>  club, Saledo, for festivities. Invitations have been extended to some	3	1	247	33	5	NN	press	2.47	0.33
country/NN/br-a29/2109	-0.0104594303218438	0.173562266733377	country	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 The get-together Friday night will be a banquet at the <font color=green>country</font>  club patio and pool, and an orchestra will play for	4	1	201	25	3	NN	press	2.01	0.25
country/NN/br-a30/1777	0.0534161753323575	-0.28906844377551	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Longinotti. Newcomers of social note from other parts of the <font color=green>country</font>  are the Ray Carbones, formerly of Panama; the Geddes MacGregors	3	1	259	33	2	NN	press	2.59	0.33
country/NN/br-a30/292	-0.00213200678234294	0.0608538287853549	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 three-building complex. Fall foliage and flowers will decorate Los Angeles <font color=green>Country</font>  Club for the annual formal party Saturday evening. More than	3	2	193	67	9	NNP	press	1.93	0.67
country/NN/br-a30/380	-0.0473797412138531	0.108251469101669	country	Country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 A. Swim celebrated his 75 th birthday at the Wilshire <font color=green>Country</font>  Club, guests came by chartered plane from all over the	4	3	232	75	7	NNP	press	2.32	0.75
country/NN/br-a30/392	-0.0845984484862247	0.106036732911683	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Club, guests came by chartered plane from all over the <font color=green>country</font> . A flight originating in Florida picked up guests on the	4	3	210	75	7	NN	press	2.1	0.75
country/NN/br-a32/320	-0.0295913983671783	0.00737171766005286	country	country	NN	press_reportage	press	B3	B	B23	B	Z	Z	Z	Z	Z	 today as it ever was; that its presentation in this <font color=green>country</font>  is part of a capitalist plot to boobify the American	4	2	171	50	5	NN	press	1.71	0.5
country/NN/br-a33/1449	0.00591444129107095	0.051387889558727	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 that the National Gallery`` is the only museum in the <font color=green>country</font>  to have a full-time music director, Richard Bales, I 'm	4	3	159	75	6	NN	press	1.59	0.75
country/NN/br-a33/399	0.118165564138326	0.0697605446961384	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Regional representatives appointed to serve from each section of the <font color=green>country</font>  include Frank E. Barnes of Boston. President Kennedy could n't	3	2	216	67	4	NN	press	2.16	0.67
country/NN/br-a33/754	-0.0384904064211987	-0.0138090004656875	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 serious music''. He added`` I think that sometimes in this <font color=green>country</font>  we are not aware as we should be of the	3	2	151	67	3	NN	press	1.51	0.67
country/NN/br-a35/813	-0.0079927934940896	-0.0136301055968032	country	country	NN	press_reportage	press	B4	B	B14	B	Z	Z	Z	Z	Z	 For while the past needs of the Church in this <font color=green>country</font>  may have been adequately met by collegiate institutions, which in	2	1	166	50	6	NN	press	1.66	0.5
country/NN/br-a41/1107	0.0440616980076366	0.167316129499733	country	country	NN	press_reportage	press	B	B	B14	B	Z	Z	Z	Z	Z	 those Congolese( among them Joseph Kasavubu) who favored splitting the <font color=green>country</font>  into small independent states, Balkanizing it. Second, there were those	2	1	180	50	4	NN	press	1.8	0.5
country/NN/br-a41/1455	-0.00898167103133048	-0.250582859869695	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 the thousands of Belgian civilians who had remained in the <font color=green>country</font> . The Belgian government decided to act, and on July 10	2	0	260	0	3	NN	press	2.6	0
country/NN/br-a41/1497	-0.282937261942547	-0.0747879456956686	country	country	NN	press_reportage	press	B	B	B14	B	Z	Z	Z	Z	Z	 Moise Tshombe, announced that his province had seceded from the <font color=green>country</font> . Confusion became chaos; each succeeding day brought new acts of	2	2	235	100	4	NN	press	2.35	1
country/NN/br-a41/2101	-0.143035197219907	0.0215360750698131	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Tshombe, holds 65% of the mineral wealth of the entire <font color=green>country</font> . From October 1960 to February 1961, the U. N. forces	3	3	193	100	5	NN	press	1.93	1
country/NN/br-a41/342	-0.0209046835304519	0.011496327696486	country	country	NN	press_reportage	press	B2	B	B23	B	Z	Z	Z	Z	Z	 part of a government, of managing the affairs of a <font color=green>country</font>  in the manner of a father dealing with his children	2	1	139	50	6	NN	press	1.39	0.5
country/NN/br-a44/2146	0.0134539580838007	-0.00777234001985981	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 condition. There are, for example, approximately 25000000 people in this <font color=green>country</font>  with no public library service and about 50000000 with inadequate	5	3	153	60	8	NN	press	1.53	0.6
country/NN/br-a44/235	0.0608229696349825	-0.0479811369706073	country	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 to supplement their annual funds. In some parts of the <font color=green>country</font> , however, a co-operative movement has begun to grow, under the	2	1	209	50	4	NN	press	2.09	0.5
country/NN/br-b01/1647	0.0211493853164327	-0.0186613572215196	country	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 become oppressive. Unquestionably Trujillo did some good things for his <font color=green>country</font> : he improved public facilities such as roads and sanitation, attracted	4	2	167	50	4	NN	press	1.67	0.5
country/NN/br-b01/1784	-0.112819940992631	0.429219008757601	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 character. Tardily the Government here came to understand how this <font color=green>country</font>  's own reputation was tarnished by the association with repression	3	1	347	33	1	NN	press	3.47	0.33
country/NN/br-b01/774	-0.0422060502754094	-0.0417407074375108	country	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 By limiting American strength too much to nuclear strength, this <font color=green>country</font>  limited its ability to fight any kind of war besides	5	3	154	60	7	NN	press	1.54	0.6
