id	model.x	model.y	lemma	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw	wf	new_pos	new_broad_genre	mean_weight	weighted.cues_ratio
church/NN/br-a16/453	-0.278950328194149	0.102532631807247	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	290	50	2	church	NN	press	2.9	0.5
church/NN/br-a17/2228	-0.135558184628075	-0.0124915238901897	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	2	326	40	5	church	NN	press	3.26	0.4
church/NN/br-a17/2233	-0.137305161385878	-0.0213264617733716	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	4	0	347	0	3	Church	NNP	press	3.47	0
church/NN/br-a21/677	-0.241120313429902	-0.103621451554822	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	4	0	353	0	2	Church	NNP	press	3.53	0
church/NN/br-a22/1283	-0.273226729833802	0.173110153856184	church	NN	press_reportage	press	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	2	0	308	0	2	Church	NNP	press	3.08	0
church/NN/br-a22/307	-0.176359592972559	-0.0226674324540302	church	NN	press_reportage	press	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	4	0	346	0	1	Church	NNP	press	3.46	0
church/NN/br-a22/310	-0.176359592972559	-0.0226674324540302	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	5	0	311	0	2	church	NN	press	3.11	0
church/NN/br-a31/1842	-0.328957360827592	-0.22995366079782	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	3	0	395	0	1	Church	NNP	press	3.95	0
church/NN/br-a31/2112	-0.176359592972559	-0.0226674324540302	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	3	0	322	0	2	Church	NNP	press	3.22	0
church/NN/br-a31/2120	-0.13897315757144	-0.0311663932256649	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	4	0	352	0	2	church	NN	press	3.52	0
