cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_2	ann_3	ann_1	ann_4	votes
gemeen/adj/nrc_handelsblad_20011003_117/192/L0	gemeen/adj/nrc_handelsblad_20011003_117/192	L0	volwassene	noun	volwassene/noun	volwassenen	True	L	1	1.436503	14530	7	TRUE	FALSE	TRUE	FALSE	2
gemeen/adj/nrc_handelsblad_20011003_117/192/L1	gemeen/adj/nrc_handelsblad_20011003_117/192	L1	dat	comp	dat/comp	dat	True	L	2	NA	NA	NA	FALSE	FALSE	TRUE	FALSE	1
gemeen/adj/nrc_handelsblad_20011003_117/192/L2	gemeen/adj/nrc_handelsblad_20011003_117/192	L2	leer	verb	leer/verb	leert	True	L	3	-0.17928226	94215	9	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L3	gemeen/adj/nrc_handelsblad_20011003_117/192	L3	die	pron	die/pron	die	True	L	4	0.35837832	2519801	415	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L4	gemeen/adj/nrc_handelsblad_20011003_117/192	L4	,	punct	,/punct	,	True	L	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L5	gemeen/adj/nrc_handelsblad_20011003_117/192	L5	scenario	noun	scenario/noun	scenario	True	L	6	-0.05102414	18328	2	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L6	gemeen/adj/nrc_handelsblad_20011003_117/192	L6	het	det	het/det	het	True	L	7	-0.062572636	11650779	1252	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L7	gemeen/adj/nrc_handelsblad_20011003_117/192	L7	van	prep	van/prep	van	True	L	8	-0.13759322	12638933	1260	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L8	gemeen/adj/nrc_handelsblad_20011003_117/192	L8	psychologie	noun	psychologie/noun	psychologie	True	L	9	1.0001072	3214	1	TRUE	FALSE	FALSE	FALSE	1
gemeen/adj/nrc_handelsblad_20011003_117/192/L9	gemeen/adj/nrc_handelsblad_20011003_117/192	L9	de	det	de/det	De	True	L	10	-0.10376664	28074105	2894	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L10	gemeen/adj/nrc_handelsblad_20011003_117/192	L10	sentence_delimiter	none	none	<sentence>	none	L	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L11	gemeen/adj/nrc_handelsblad_20011003_117/192	L11	sentence_delimiter	none	none	</sentence>	none	L	12	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L12	gemeen/adj/nrc_handelsblad_20011003_117/192	L12	.	punct	./punct	.	False	L	13	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L13	gemeen/adj/nrc_handelsblad_20011003_117/192	L13	dood	noun	dood/noun	dood	False	L	14	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L14	gemeen/adj/nrc_handelsblad_20011003_117/192	L14	de	det	de/det	de	False	L	15	-0.10376664	28074105	2894	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/L15	gemeen/adj/nrc_handelsblad_20011003_117/192	L15	en	vg	en/vg	en	False	L	16	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
gemeen/adj/nrc_handelsblad_20011003_117/192/R0	gemeen/adj/nrc_handelsblad_20011003_117/192	R0	ga	verb	ga/verb	gaan	True	R	1	-0.34290105	1085158	88	FALSE	FALSE	TRUE	FALSE	1
gemeen/adj/nrc_handelsblad_20011003_117/192/R1	gemeen/adj/nrc_handelsblad_20011003_117/192	R1	doe	verb	doe/verb	doen	True	R	2	0.24492025	731956	107	FALSE	TRUE	TRUE	FALSE	2
