id	left	target	right	file
spoor/noun/nrc_handelsblad_20000127_56/518	De aanklagers hebben het alibi van Musema steeds verworpen . Ze zeiden dat hij zijn	sporen	zeer bekwaam had uitgewist . Musema werd vijf jaar geleden aangehouden in Zwitserland waar hij	nrc_handelsblad_20000127_56
spoor/noun/nrc_handelsblad_20000823_29/45	"de moord noemden ze 	 haat tegen buitenlanders 	 . De drie toonden geen enkel"	spoor	van berouw , maar ontkenden de bedoeling te hebben gead Adriano te vermoorden . Dat	nrc_handelsblad_20000823_29
spoor/noun/nrc_handelsblad_20031212_03/52	is . Maar al is het geen grote hit , het nummer heeft wel zijn	sporen	nagelaten in ons leven . Is het je opgevallen ? Al die mensen die plotseling	nrc_handelsblad_20031212_03
spoor/noun/nrc_handelsblad_20010125_74/330	verder ook maar een scheurtje in het pleisterwerk te zien . Er is zelfs geen	spoor	meer aanwijsbaar van de aanval van de elitetroepen van het door de VS getrainde Atlacatl-bataljon	nrc_handelsblad_20010125_74
spoor/noun/nrc_handelsblad_20021004_159/1039	Dat is een ingreep die van literair meesterschap getuigt . We waren eerlijk gezegd het	spoor	een beetje bijster geraakt tussen de bemanningsleden van uiteenlopende zeeslepers , en ook Jans vrouw	nrc_handelsblad_20021004_159
spoor/noun/nrc_handelsblad_20010127_9/125	dat niet te binnen wilde schieten wat het nu precies was dat Darwin op het	spoor	van de evolutieleer en de soortvorming zette . Darwin was geen man van de puntige	nrc_handelsblad_20010127_9
spoor/noun/nrc_handelsblad_20040529_206/499	de gotische sfeer die bijna iedere gebeurtenis in een verdacht licht plaatst , de valse	sporen	die vooral de lezer op het verkeerde been zetten , de theorieën over het wezen	nrc_handelsblad_20040529_206
spoor/noun/nrc_handelsblad_20040410_196/306	"tijd is ontstaan . 	 soortvorming Bovendien denkt Lenski dat hij toch iets op het"	spoor	is dat op soortvorming lijkt . ` ` De meeste van de twaalf populaties zijn	nrc_handelsblad_20040410_196
spoor/noun/nrc_handelsblad_20020206_30/120	uit West-Europa , dat in India gerecycled wordt . Zie tv-vooraf . Ned.3 , 20.02-20.32u.	Sporen	van Erasmus . Eerste van een serie documentaires over het erfgoed van Erasmus . Vandaag	nrc_handelsblad_20020206_30
spoor/noun/nrc_handelsblad_19991228_39/271	doen dan de rest van de markt . Elsevier steeg driekwart procent . In het	spoor	volgden Wolters Kluwer , dat ruim een procent won , en VNU met bijna drie	nrc_handelsblad_19991228_39
spoor/noun/nrc_handelsblad_19990724_29/374	eens dat de Europese verovering van het continent tot op de dag van vandaag diepe	sporen	heeft nagelaten op hun aanwezigheid , die duizenden jaren teruggaat in de geschiedenis . In	nrc_handelsblad_19990724_29
spoor/noun/nrc_handelsblad_20010614_149/78	podiumkunstenaars . En dan met name ` de geborgenheid , de afwezigheid en de achtergelaten	sporen	van het lichaam ' . Embodiment opent op 15 juni 18u en de betrokken galeries	nrc_handelsblad_20010614_149
spoor/noun/nrc_handelsblad_20020415_116/1032	. Volgens De Schutter moest Barrez Van Noppen alleen intimideren . Via hen leidde het	spoor	naar veehandelaar Germain Daenen en uiteindelijk naar Vercauteren , die beiden ontkennen . Flor van	nrc_handelsblad_20020415_116
spoor/noun/nrc_handelsblad_20031113_02/42	met wasstraat , of soms een kleine kiosk . Af en toe houdt het verhoogde	spoor	gewoon midden op een kruispunt abrupt op . Het viaduct loopt voor een groot deel	nrc_handelsblad_20031113_02
