id	left	target	right	lemma
church/n/wlp_gb_g04/17245394	to be found in the Patriarchal Palace . <p> Opening times The complex now belongs to a school ( the	church	houses portakabin schoolrooms ) and so is not usually accessible . <p> History Following the arrival of the body of	GB
church/n/wlp_gb_g05/20043074	as a consequence of the decision by general synod is the Church of England no longer looks like a national	church	", it simply looks like a sect like any other sect , "" he said . <p> "" If the"	GB
church/n/wlp_gb_g04/12957765	church of St. Julien le Pauvre . Chances are you will recognize this scene from countless paintings . Because this	church	was begun in 1170 , it may be the official oldest church in Paris . In the 17th century it	GB
church/n/wlp_gb_g02/14377760	to sit lightly to structures in order to join in with God 's mission ; and the need for any	church	partnership to have clear and explicit intentions . As so often in these conferences , the conversations outside the hall	GB
church/n/wlp_gb_b07/16138385	, notice , filter , miss ? In the early days of pacing around -- across the marshes behind Blythburgh	Church	, or where the Waveney emerges , in a burble of copper water closely guarded by reeds -- I felt	GB
church/n/wlp_gb_b01/18493149	, have and are writing . They are leading the fight against this apostasy , this bunkum that is the	Church	today . <p> I now give an itemised shopping list the modern go-getting , do-gooding , penetrating , sharp ,	GB
church/n/wlp_gb_g07/19628367	, St Magnus Martyr and so on , would be a great service to the Ordinariate and to the whole	Church	, back to Rome . <p> Yorkshire Catholic <p> Well fine .... if you are not a Catholic . Actually	GB
church/n/wlp_gb_g05/11248280	the Church , persecuted decent men and women , while promoting cliques and ' private , by invitation only '	churches	within churches like Opus Dei and the sickly Legionaries of Christ with their money , that tainted thing . Ratzinger	GB
church/n/wlp_gb_g02/11447565	converted more than 700,000 people to the Catholic faith . <p> Ignatius Loyola ? s Jesuits transformed the Roman Catholic	Church	in terms of quality ##475011 <p> Hitting the deck : Unfortunately he fell while trying to get back on his	GB
church/n/wlp_gb_g10/15759550	Landilo fan , and others ; and sometimes , but not very often , the school is held in the	church	itself , as at Llanfihangel Tal y Llyn and Llandulais Tyr Abad . Several of the Adventure schools are held	GB
church/n/wlp_gb_g01/20272085	it is a coincidence that the 21st Sunday in Ordinary Time was chosen . In Ephesians , Paul compares the	Church	to a marriage and calls upon wives to obey their husbands and husbands to care for their wives . <p>	GB
church/n/wlp_gb_g10/24652360	no difference of rank and position among men , and it enforces this equality in actual life . The Christian	churches	profess the same equality , yet there are various echelons among them , such as priests of different ranks ,	GB
church/n/wlp_gb_b01/1899773	a huge column . Our chapel is for Baptist and Congregational and we are known as United Board . Our	church	is farther than the others and there were about 2 dozen of us headed by an officer and a corporal	GB
church/n/wlp_gb_g01/20038770	Lib Dem leader Nick Clegg listens to members of the Infant , Mother and Pre School group at the Community	Church	in Greenway , Bristol , earlier this year <p> Ministers are planning to shake up the so-called ' nappy curriculum	GB
church/n/wlp_gb_g04/22595302	Cecilia Bartoli and the Kronos Quartet . It 's worth attending just to get a rare peek inside Haghia Irene	church	, normally closed to the public . <h> Rock ' n ' Coke <p> Where : Hezarfen Airfield When :	GB
church/n/wlp_gb_g03/17200863	religion is that it 's ready-mixed societal mortar , Putnam had carried out research that showed that just going to	church	"makes you nicer -- even if you think theology is bunk . According to him , what "" makes you"	GB
church/n/wlp_gb_g01/2421926	is threefold . Firstly , Montana lies outside the Bible-belt , with a comparatively small number of its residents attending	church	, thus decreasing the influence of campaign groups who rail against abortion and advocate social conservatism . Secondly , being	GB
church/n/wlp_gb_g11/13481528	catch some top-notch classical tunes without having to pay a cent . <h> 32 . Stockholm : Go see the	churches	in Gamla Stan <p> Gamla Stan , Stockholm 's Old Town area , is filled with sights to delight with	GB
church/n/wlp_gb_b06/440198	incident the same offenders threatened a Christian worker at her home in Deniyaya , ordering her to leave . Another	church	worker was also threatened and his ID card stolen . Hoax calls were made to church members from someone pretending	GB
church/n/wlp_gb_g06/1332045	was there I do not know . <p> is this poor excuse for a Christian still talking ? the Anglican	church	needs modernising and the first thing that should go is this muppet ! take your crocheted yoghurt cardigans and go	GB
church/n/wlp_ie_g02/21180583	a small group in Israel ? and it 's fully refundable when they come back leading a group from their	church	". "" <p> Read the show notes or listen to the interview to learn more about programs offered by GoIsraelUSA"	Ireland
church/n/wlp_ie_g04/947963	reflections this evening -- There are many young people who are struggling to find a reason to remain in the	Church	""" -- may seem slightly puzzling to some of you . Let me explain its origin . It is a"	Ireland
