id	left	target	right	lemma
afbetaling/noun/het_laatste_nieuws_20030108_01_211/123	. In absolute cijfers is de schuldenlast gelijk gebleven , procentueel zijn we zelfs gedaald . andquot; Procentueel zou de	afbetaling	van schuld in 2003 nog maar 32 procent van de inkomsten bedragen , waar dit enkele jaren geleden nog 39	afbetaling
aflossing/noun/nrc_handelsblad_20001230_91/805	organiseerden steden en dorpen hun eigen marktkraamverlotingen . De goede doelen waren toen de bouw van een nieuwe stadspoort ,	aflossing	van de stadsschulden of de financiering van de lokale oorlog . Tijdens die dagenlange feesten op de marktpleinen liepen de	aflossing
aflossing/noun/het_laatste_nieuws_19990102_01_389/187	wel degelijk in bij Sint-Niklaas . Zo werd de achterstallige huur bij de stad Sint-Niklaas aangezuiverd en wordt een versnelde	aflossing	van schulden bij de RSZ in het vooruitzicht gesteld.Lokeren dribbelde meteen Eendracht Aalst , dat reeds verscheidene jonge elementen uit	aflossing
aflossing/noun/volkskrant_20000526_8/213	denkfout , waarmee hij de lezer waarschijnlijk wil misleiden . Hij stelt namelijk dat de door hem gewenste investering de	aflossing	van de staatsschuld niet vertraagt . Dat is pertinente onzin . Als we in de plaats van elf miljard negen	aflossing
afbetaling/noun/nrc_handelsblad_20011113_96/109	Weggegeven worden auto's nog niet in de Verenigde Staten , maar het lijkt er veel op . Wie nu op	afbetaling	een nieuwe auto koopt , hoeft namelijk geen rente te betalen . En je mag de maandelijkse afbetalingen spreiden over	afbetaling
afbetaling/noun/het_laatste_nieuws_20020817_01_393/191	. De warenhuiskoopkaarten daarentegen zijn inderdaad een steeds groter wordend probleem . Vaak zijn aanvragen voor een gewone lening op	afbetaling	bedoeld om de schuld van een kredietkaart te vervangen . De laatste tijd is het echter andquot; bon ton andquot;	afbetaling
afbetaling/noun/algemeen_dagblad_20010201_84/176	. Toch willen zij wel een gebaar maken in de richting van de gedupeerden . Dat wil zeggen , op	afbetaling	. De heer en mevrouw B. hebben daar echter geen vertrouwen in . Bovendien gaat het zo veel te lang	afbetaling
aflossing/noun/parool_20011025_85/82	aanvaarden dan ook de berekeningen van het Centraal Planbureau voor de komende kabinetsperiode ( 2003-2006 ) , waarin een jaarlijkse	aflossing	is verwerkt die overeenkomt met ruim één procent van het bruto binnenlands product ( bbp ) - zeg maar tien	aflossing
aflossing/noun/parool_19990923_3/471	. Dit wordt overigens voor ruim de helft gefinancierd uit de ontwikkelingshulp , zodat de donoren als het ware de	aflossing	van hun eigen leningen betalen : vestzak-broekzak . Ondertussen zit er geen schot in de economie . \" De Afrikaanse	aflossing
aflossing/noun/de_standaard_19991118_01_123/105	Het kabinet van Landsverdediging raamt de kosten van het gependel met dit zware materiaal op tachtig miljoen frank voor drie	aflossingen	. De veertien tanks en het ander hoofdmateriaal worden uit Kosovo teruggereden naar het Griekse Thessaloniki . Van daar keren	aflossing
afbetaling/noun/de_morgen_20031223_01_117/81	boekhoudschandaal bij Parmalat neemt steeds grotere proporties aan . Volgens de krant Corriere della Sera heeft de Italiaanse zuivelgroep een	afbetaling	van 2,9 miljard euro niet uitgevoerd maar wel in de boeken ingeschreven . Hoofdaandeelhouder en stichter Calisto Tanzi heeft dat	afbetaling
aflossing/noun/de_standaard_19990820_01_18/503	liberalen na twaalf jaar oppositie en Agalev bij een eerste regeringsdeelname - - als medewerkers aantrekken en die voor een	aflossing	van de wacht zorgen . Eerder hadden we al aandacht voor onder anderen Peter Praet , kabinetschef van minister van	aflossing
aflossing/noun/nrc_handelsblad_20000108_10/810	voor 2002 niet werd voorzien . Dijkstal opende het debat met een strijdlustig interview in De Telegraaf . Hij stelde	aflossing	van de staatsschuld als eerste prioriteit . Dat zou door verminderde rente-uitgaven weer ruimte creëeren voor andere prioriteiten . Maar	aflossing
afbetaling/noun/de_morgen_20010224_01_175/479	tussen de 30 en 40 procent . De meeste kredietnemers zien gedurende de eerste jaren het grootste deel van hun	afbetaling	wel veeleer naar interesten vloeien . Gelukkig kunnen ook deze interestaflossingen op een greintje medeleven van de fiscus rekenen .	afbetaling
aflossing/noun/volkskrant_20000701_21/414	80 duizend gulden ) per stuk . Van deze premie gaat 3150 pond af voor belastingen , 2000 pond aan	aflossing	zodat in feite 18 duizend pond wordt betaald voor de toegangsbewijzen . In vijf jaar tijd heeft de koper recht	aflossing
aflossing/noun/nrc_handelsblad_20000214_63/830	discussies , studies en publicaties binnen de partij . Daaronder vallen : de toekomstige financiering van de AOW , de	aflossing	van de staatsschuld , de scholingkansen van jongeren , de verdeling van zorg en arbeid tussen partners , enzovoort .	aflossing
