id	left	target	right	file
help/verb/nrc_handelsblad_20020629_33/2358	"Vrouwen hebben die bloedarmoede als ze zwanger zijn 	 , belde ze , 	 het"	helpt	". 	 Ze wil me spreken/filmen over dans in Nederland - snel , voordat hij"	nrc_handelsblad_20020629_33
help/verb/nrc_handelsblad_20001104_138/826	een jonge collega die na een geslaagde kraak twee maten vermoordde . Weduwe Famke Janssen	helpt	hem een handje . Bescheiden vakman Irvin verrast met Hopperiaanse stadslandschappen . Veronica , 21.35-23.15u.	nrc_handelsblad_20001104_138
help/verb/nrc_handelsblad_20000107_100/837	afdruk in de lucht en niemand zal de wolken dit verwijten . Verwijten zal niet	helpen	trouwens want wolken weten niet wat ze doen . Zelden is het verlies van het	nrc_handelsblad_20000107_100
help/verb/nrc_handelsblad_20000127_104/110	"aansluiting op een professioneel systeem . 	 Om de vele honderdduizenden particuliere beleggers te kunnen"	helpen	"zijn we gaan werken aan een ander model zonder abonnementskosten 	 , zegt BIS Benelux"	nrc_handelsblad_20000127_104
help/verb/nrc_handelsblad_20010111_28/393	kledinggeboden van het seculiere establishment te omzeilen . Voordat zijn zaak het computertijdperk intrad ,	hielp	Sezai Ozturk de dames met pruiken die zij over hun hoofddoek heentrokken . Maar al	nrc_handelsblad_20010111_28
help/verb/nrc_handelsblad_20020130_108/201	de ambassade . Daar werd hem door de intercom medegedeeld dat men hem niet kon	helpen	". Dezelfde avond telefoneerde Benali met Dash . 	 We wisten niet dat je een"	nrc_handelsblad_20020130_108
help/verb/nrc_handelsblad_20010913_151/251	"resultaat 	 . CNV-onderhandelaar Kusters vindt het 	 een heel goed resultaat , dat zal"	helpen	om meer rust te krijgen in het bedrijf . Dat hebben we nodig om alle	nrc_handelsblad_20010913_151
help/verb/nrc_handelsblad_20010428_97/155	, de stem belandt altijd in de zelfde logge partijcoalitie die het ook niet kan	helpen	. Leefbaar-partijen hebben er hun succes aan te danken . Deelraden of referenda zijn lapmiddelen	nrc_handelsblad_20010428_97
help/verb/nrc_handelsblad_20010526_54/391	Ik weet een goed middel om D66 er in de volgende kabinetsperiode weer bovenop te	helpen	"	 , zegt een Amsterdamse D66'er , in de wetenschap dat in de peilingen D66"	nrc_handelsblad_20010526_54
help/verb/nrc_handelsblad_20040521_164/392	) en Hans Andersson ( AEF ) , die bij de PvdA menige bestuurscrisis heeft	helpen	"bedwingen . 	 Waar christen-democraten van oudsher hun maatschappelijke betrokkenheid invullen in besturen van bijvoorbeeld"	nrc_handelsblad_20040521_164
