id	left	target	right	lemma
parool/N/STR_1938_3_pos/137	van zijn cultuur . Van het oogenblik dat het onvervreemdbaar ' Recht van den Mensch ' klonk als een verlossend	parool	voor den modernen mensch , en de democratische gemeenschapsinrichting de oude schakels had verbroken , barstte de massavloed los .	parool
parool/N/NVT_1960_97_pos/3578	poëtische en morele taak heeft vervuld ’ . En : ‘ Zelfs in Amerika werd “ Das_Vermächtnis_Kains ” het literaire	parool	van de dag ’ . En : ‘ De ronduit overweldigende originaliteit van de hele compositie en wijze van uitbeelden	parool
parool/N/JAA_1996_13_pos/947	had meegewerkt aan De Blaasbalg , een uitgave onder redactie van mr. G.J. van Heuven_Goedhart ( hoofdredacteur van het naoorlogse	Parool	) van de antifascistische stichting ‘ Weest op uw hoede ’ . Daarin schreef ze , bijna zestig jaar geleden	parool
parool/N/GID_1929_22_pos/6077	tot hoe langer hoe strikter onteigening van al het andere doorgevoerd , totdat Cap . 40 eindigt met het albesluitend	parool	: Du bist myn ere , du bist die vroude mijns herten , in di sal ic gloriëren . Want	parool
parool/N/TAA_1987_5_pos/4443	die hij noemt en tezelfdertijd heftig afwijst : De -ismen zijn doodgebloed en sinds enkele jaren vervangen door een ander	parool	: de zakelijkheid . Het curieuze aan deze verandering is vooral dit , dat deze nieuwe aesthetische norm volkomen cosmospolitisch	parool
parool/N/STR_1934_72_pos/312	humanistische strooming doen ontstaan . Want humanisme kan niet leven van twist , en nog minder van nivelleering . Humanistisch	parool	kon alleen zijn : ' Ook aan de vrouw al wat der vrouw kan zijn , gelijk aan den man	parool
parool/N/GID_1928_28_pos/3437	de Nieuwe Opvoeding ’ , maar helaas in den geest van_de H.B.S. 5-j . c . , voor welke het	parool	: ‘ kennis is macht ’ al verouderd moet heeten . Hoeveel te_meer dan voor een meisjesschool ! Men ,	parool
parool/N/DIE_1990_57_pos/1100	in_de_plaats_van individueel onderzoek . En bovenal : de computer deed zijn intrede . Niet schrijven maar tellen werd nu het	parool	. Zowat alles werd geteld of gekwantificeerd : de graanproduktie , de bevolking , de lonen , de leenbanken ,	parool
parool/N/NVT_1961_3_pos/2174	van generlei waarde indien hij zich schuilhoudt onder de domper van een hogere mogendheid of achter het masker van opgedrongen	parolen	, indien hij de mens niet aanspreken mag van gelaat tot gelaat . Het spreekt vanzelf dat culturele autonomie ,	parool
wachtwoord/N/ONT_1958_40_pos/14219	. De wereld aanzien op haar geheim , verhouding zoeken tot het ‘ Unscheinbare ’ , - dat zou het	wachtwoord	van deze nieuwe dichters en dichteressen kunnen zijn . Vreemd , zo gezien is er dus eigenlijk geen tegenstelling tussen	wachtwoord
wachtwoord/N/GID_1971_54_pos/990	hij een wachtwoord uitsprak . ’10 . Het is Lex die dit wachtwoord uitspreekt , en het is vooral een	wachtwoord	voor de lezer . Het is de laatste aanduiding van de ware aard van Mandy's minnaar : de figuur van	wachtwoord
wachtwoord/N/NVT_1971_31_pos/2388	Hugo_Claus : Maar wanneer kan men van een politiek engagement bij de auteur spreken ? Toch niet_alleen als hij de	wachtwoorden	van een politieke partij gaat herkauwen ? ] , niet noodzakelijk evenwel van elke partijliteratuur . De politiek is immers	wachtwoord
wachtwoord/N/NIE_1965_78_pos/232	heeft vanuit hun werkkring en persoonlijk standpunt door te lichten en dat zij gemeend heeft te kunnen samenvatten onder het	wachtwoord	: indiscretie . Zij had ook een nieuw standaardwoord kunnen gebruiken : privacy . Het gaat om al die gevallen	wachtwoord
wachtwoord/N/DIE_1923_66_pos/1548	wij hebben naar Fransche hulp niet moeten wachten om als natie te bestaan . Gedurig verwijten wij den franskiljons hun	wachtwoord	te Parijs te gaan halen . Aan 't zelfde euvel moeten wij nu niet mank gaan , en wat mij	wachtwoord
wachtwoord/N/DIE_1905_50_pos/55	de_la musique , de_la musique avant toute chose ’ ; in Nederland kwam de generatie van '80 op met het	wachtwoord	van Willem_Kloos : ‘ poëzie moet zijn de allerindividueelste expressie van_de allerindividueelste emotie ’ iets waaruit ik maar niet goed	wachtwoord
wachtwoord/N/GEM_1925_12_pos/2252	, dat de ‘ tradisie ’ natuur-noodwendig volgen moet , dan sluipt ergens de fluisterende voorzichtigheid naar_voren en lispelt het	wachtwoord	‘ de studeerkamer ’ . En denkt 'n naïeveling 'n kristelike waarheid te moeten redden uit liberale of kalvinistiese afzetsels	wachtwoord
wachtwoord/N/GID_1932_93_pos/7490	regel gevochten voor een verloren zaak . Nog al te veel is in Javaansche kringen repristinatie , niet renovatie het	wachtwoord	, doch men vergeet , dat repristinatie nooit blijvend kan zijn . Tot besluit een enkel woord over hedendaagsche poëzie	wachtwoord
wachtwoord/N/NVT_1957_39_pos/23782	ook geregeld was , wat er ook in de brief stond , wat grootouders en tantes ook zegden . Het	wachtwoord	was onder zijn handtekening het postscriptum : Bien des compliments à_Anne . De dag voor zijn vertrek ontving hij een	wachtwoord
wachtwoord/N/GID_1986_7_pos/8245	en Antje zelf die het altijd zó druk heeft dat er gewoon geen tijd is voor de liefde . Het	wachtwoord	van Antje is dan_ook : wachten , niet_alleen op de lange_termijn ( eerst ga je lekker een tijdje naar Denemarken	wachtwoord
wachtwoord/N/TAA_1946_49_pos/345	! U deert wie ook op Java sneuvel , Ten zoen van haat ligt halfverdiend , Maar 't blijft uw	wachtwoord	aan Van_Hoëvell : ‘ Blijf Insulinde's trouwste vriend ! ’ 1 ) Voor Potgieter is het hoogste , wat hij	wachtwoord
wachtwoord/N/GID_1935_95_pos/2308	, opééns , bewoog zich iets in het donker . ‘ Werda ?! ’ ‘ Merdoe ! ’ - Het	wachtwoord	. Geruisch . Stappen . Toegono sloeg aan . ‘ Korporaal Toegono ? ’ ‘ Saja_toewan_litnan . ’ ‘ Heb	wachtwoord
wachtwoord/N/DIE_1937_5_pos/1879	oorlog op_komst was en soldatenvolk over 't land liep ’ , was zijn gedachte . Driek heeft beloofd , het	wachtwoord	van het vuur door te geven in de richting van den Damweg . Want op de Benschopsche Zuidzijdskaai sloeg hij	wachtwoord
wachtwoord/N/NVT_1951_81_pos/1947	ziekten der urinewegen , doctor dental surgeon - wie , behalve hijzelf , wist dat dit geheimzinnige tekenen waren ,	wachtwoorden	voor onbekende gebieden , grotendeels ook onbekend aan de specialisten , die daar hun leven doorbrachten ? Een specialist was	wachtwoord
wachtwoord/N/DIE_1930_68_pos/6640	te huisvesten te_midden_van schoonheid en waardigheid . Ruskin heeft hun doen zien , welken dienst ze hiermee bewijzen . Hun	wachtwoord	is geworden : Als we bouwen , laat er ons aan denken , dat we bouwen voor eeuwig . Laat	wachtwoord
wachtwoord/N/DIE_1909_58_pos/10854	ouders . Sinds vroegere geslachten én de echte klassiek én de kunst der midden-eeuwen over boord wierpen , sinds het	wachtwoord	klonk : “ Dies Linienspiel thut meinem Auge weh Mit seiner Zierlichkeit und seiner Weichheit ; Ich sehne mich nach	wachtwoord
wachtwoord/N/GID_1902_35_pos/10718	in het Athénée hun onderwijs te komen geven . Maar , zal de leeraar zich hebben te schikken naar het	wachtwoord	van die bedienaars van_den godsdienst , dan moet hij natuurlijk hun geloofsovertuiging deelen ; en wat wordt er dan van	wachtwoord
wachtwoord/N/DIE_1987_62_pos/538	zo eerlijk mogelijk uitspreken van de emotionaliteit te komen . Clichés circuleren in een culturele ruimte , het zijn de	wachtwoorden	bij_uitstek waarbij men zich in het denk- en gedragspatroon van een bepaalde groep inspreekt . Het verzet tegen het cliché	wachtwoord
wachtwoord/N/GID_1967_54_pos/185	gevoel van opeenvolging neemt af ; daarvoor_in_de_plaats komt de illusie van een voortdurend heden . Een voorzichtige ontspanning is het	wachtwoord	. ” Misschien is het zo dat wij steeds grotere verbeeldingssprongen kunnen maken ; hedendaagse schilders houden ervan lichtzinnig van	wachtwoord
parool/N/GID_1985_38_pos/6042	in hun bedrijf de paspoortkwesties regelden , onderschrijven deze persoonlijke ervaringen en het is hun stellige indruk dat er een	parool	bestond om in_het_bijzonder Indo's van repatriëring te weerhouden . In 1952 wordt een speciale commissie ingesteld om het Indo-Europese vraagstuk	parool
parool/N/SPI_1961_9_pos/15581	duizendvoudige mensdom ’ . ‘ Alleen rond een nieuw geloof zou een nieuwe gemeenschap groeien ’ : dit werd het	parool	. - Weliswaar , ‘ een geloof schept men niet ’ . Men ging zwelgen in stelsels , verstandelijke systemen	parool
parool/N/NVT_1978_47_pos/939	sociaal-demokratie en tegen het zelfgenoegzame etnocentrisme van de bewoners van die verzorgingsstaat . De Zweedse intelligentsia was ontvankelijk voor de	parolen	van Myrdal en van Göran_Palm , omdat het intellektuele klimaat in_het_teken van marxisme en strukturalisme stond . De wil bestond	parool
wachtwoord/N/NVT_1961_69_pos/6665	en hij soms , om te lachen en om eigenlijk om de hele troep met hun idealen , verordeningen ,	wachtwoorden	te lachen richtte zich soms midden in het gesprek tot haar : Is het niet zo , Mademoiselle , dat	wachtwoord
wachtwoord/N/SPI_1977_3_pos/948	“ Licht ” - “ helder ” - “ eenvoudig ” , M.R. ) waaruit tegenstanders van het symbolisme hun	wachtwoorden	betrokken ’ ( blz. 41 ) . ‘ Waakzaamheid ten_aanzien_van de polemische bedoeling der literaire wachtwoorden blijft geboden ’ (	wachtwoord
wachtwoord/N/GID_1901_25_pos/1216	'50 kreeg het land een schot . De tijd van welvaart , grootheid en uitbreiding ving aan , onder het	wachtwoord	van vrijheid . Vrijheid van handel en van verkeer veroverde voor Engeland de wereldmarkt ; het goud stroomde aan uit	wachtwoord
parool/N/DIE_1989_162_pos/2178	zijn dat Claus , Michiels en Monika_van_Paemel het een stuk gemakkelijker hebben dan Willy_Spillebeen , Alstein of Spinoy . Het	parool	luidt dus : alert blijven , niet gemakzuchtig afgaan op uitgeversvignetten , uitzien naar nieuwe Vlaamse auteurs die de_moeite_waard zijn	parool
parool/N/DIE_1992_49_pos/2390	in hetzelfde jaar met zijn pamflet De nieuwe Revisor , bedoeld als tegenwicht voor de ‘ jongetjesliteratuur ’ van Het	parool	en Propria_cures , uiteraard de wind van voren . Hoe was het karakter van Propria_cures vóór 1960 ? Niet zoveel	parool
