	id	left	target	right	file
0	herhaal/verb/nrc_handelsblad_20040211_13/350	van Roemenië gebeurde , dat in principe in 2007 kan toetreden , mag niet worden	herhaald	". 	 Elke keer dat de Europese leiders bij elkaar komen worden ze weer wat"	nrc_handelsblad_20040211_13
1	herhaal/verb/nrc_handelsblad_19990410_120/602	tests waarmee geheugenachteruuitgang kan worden gemeten . Door de metingen na een aantal jaren te	herhalen	moet duidelijk worden in hoeverre hart- en vaatziekten en op scans zichtbare hersenafwijkingen latere dementie	nrc_handelsblad_19990410_120
2	herhaal/verb/nrc_handelsblad_20010109_15/366	direct aan toe zich niet te willen verschuilen achter een ambtenaar . In de verklaring	herhalen	"B en W de mededeling van vorige week vrijdag dat het college 	 de volledige"	nrc_handelsblad_20010109_15
3	herhaal/verb/nrc_handelsblad_20000209_66/486	naar hun einde praten over cocaïne en in elke zin het woord coke met nadruk	herhaald	wordt , lijken het net kleine jongetjes die plezier hebben in poep ! zeggen .	nrc_handelsblad_20000209_66
4	herhaal/verb/nrc_handelsblad_20010825_14/66	daarachter liggende verbrandingskamer . Dit proces werd steeds in een seconde 45 tot 50 maal	herhaald	. Door de aldus ontstane en repeterende stuwdruk ontstaat de voorwaartse beweging . Ik woonde	nrc_handelsblad_20010825_14
5	herhaal/verb/nrc_handelsblad_20020515_42/284	een bus door Limburg - op voorkeurstemmen in de Kamer . Dat idee wilde hij	herhalen	". 	 Nu keek ik de laatste dagen om mij heen met een blik van"	nrc_handelsblad_20020515_42
6	herhaal/verb/nrc_handelsblad_20000403_109/530	trait d'union . Het leek of het mirakel van de eclips zich op dit podium	herhaalde	toen door de betoverende zang en dans de Spaanse Zon en de Portugese Maan voor	nrc_handelsblad_20000403_109
7	herhaal/verb/nrc_handelsblad_20010219_77/62	"seksuele activiteit . 	 Dit sterke verhaal op de Argentijnse televisie werd gisteren op Net5"	herhaald	voor G.J.Dröge doet boodschappen . De Viagenol is op zondagavond een flitsend alternatief voor Wim	nrc_handelsblad_20010219_77
8	herhaal/verb/nrc_handelsblad_20011204_22/49	Domingo Cavallo heeft niet alleen ` tijdelijke ' kapitaalcontroles ingesteld , maar hij heeft ook	herhaald	te zullen vasthouden aan de vaste wisselkoers tussen dollar en peso en zelfs de retoriek	nrc_handelsblad_20011204_22
9	herhaal/verb/nrc_handelsblad_20000308_134/38	miljoen gulden voor zijn Rover-fabriek in het Britse Longbridge . In een vandaag vrijgegeven rapport	herhaalt	de Commissie zijn eerder geuitte twijfels over BMW's daadwerkelijke intentie om de productie van Rover	nrc_handelsblad_20000308_134
10	herhaal/verb/nrc_handelsblad_20000901_158/1474	indringend , zangrijk ook : ` It is spring . Time passes . ' Telkens	herhaalt	hij de zin ` Time passes ' , om aan het slot uit te komen	nrc_handelsblad_20000901_158
11	herhaal/verb/nrc_handelsblad_19990706_65/49	der Ploeg en Anne Luc van der Vegt van Regioplan kunnen het niet vaak genoeg	herhalen	", want het idee 	 zingt de laatste weken weer rond terwijl het berust op"	nrc_handelsblad_19990706_65
12	herhaal/verb/nrc_handelsblad_20011116_46/65	. Zo'n vierduizend lezers stuurden hun oplossing al in . Voor wie alsnog wil meedoen	herhalen	we hieronder de vragen . ( Het juiste antwoord moet worden aangekruist ; per vraag	nrc_handelsblad_20011116_46
