id	left	target	right	file
herroep/verb/nrc_handelsblad_20000119_2/436	"is de reden daarvan ? 	 Bouwplannen die projectontwikkelaars indienen kunnen om zoveel redenen worden"	herroepen	. Annuleringen kunnen politieke , bureaucratische of planmatige oorzaken hebben , maar vaak zijn het	nrc_handelsblad_20000119_2
herroep/verb/nrc_handelsblad_20011027_64/511	op grond van het gemak waarmee de sporen verstoven maar de mededeling is later uitdrukkelijk	herroepen	. De Amerikaanse autoriteiten wensten kennelijk de indruk te laten bestaan dat het om een	nrc_handelsblad_20011027_64
herroep/verb/nrc_handelsblad_20020606_72/325	. Het is voor het eerst dat het Europese Hof een door Brussel verboden overname	herroept	. Mytravell steeg in Londen met 6 procent naar 170 pence . De FTSE100-index ging	nrc_handelsblad_20020606_72
herroep/verb/nrc_handelsblad_20040216_105/275	een kliniek , zijn afscheid van het ciclismo aan te kondigen . Een dag later	herriep	hij de uitspraak , maar niemand geloofde nog in zijn terugkeer . Met of zonder	nrc_handelsblad_20040216_105
herroep/verb/nrc_handelsblad_20040312_74/40	"van justitie een 	 significante bijdrage 	 hebben geleverd aan het geweld . De verdachten"	herriepen	op de zitting voortdurend hun verklaringen , omdat ze door politie onder druk zouden zijn	nrc_handelsblad_20040312_74
herroep/verb/nrc_handelsblad_20020612_69/940	, wil in het toetredingsverdrag met de Europese Unie laten vastleggen dat de decreten nooit	herroepen	zullen kunnen worden . De Tsjechische politiek schaart zich eensgezind achter de Tsjechische vlag .	nrc_handelsblad_20020612_69
herroep/verb/nrc_handelsblad_20000417_29/318	Hoewel Iran heeft aangegeven Rushdie's doodstraf niet meer te zullen uitvoeren is de fatwa nooit	herroepen		nrc_handelsblad_20000417_29
herroep/verb/nrc_handelsblad_19990417_143/320	. Maar niemand is onder druk gezet om zijn eerder op schrift gestelde bezwaren te	herroepen	. In de rest van het verhaal van K&T komen alleen niet-onderbouwde suggesties voor als	nrc_handelsblad_19990417_143
herroep/verb/nrc_handelsblad_20020220_79/201	concern , dat vanochtend verliescijfers bekendmaakte , moest immers eerdere prognoses voor de kortere termijn	herroepen	. Zo gingen het afgelopen jaar twee winstwaarschuwingen de deur uit . Het zat allemaal	nrc_handelsblad_20020220_79
herroep/verb/nrc_handelsblad_20011214_95/1364	in 1994 de kiem had gelegd voor het onjuist gebruik van de gelden . Later	herriepen	dezelfde bronnen hun verklaringen , en was Melkert buiten de gevarenzone . Voor Melkert rest	nrc_handelsblad_20011214_95
herroep/verb/nrc_handelsblad_20030822_20/88	. Het zou van slecht bestuur getuigen als genomen besluiten zo snel weer zouden worden	herroepen	. Nederland heeft politiek , bestuurlijk en maatschappelijk gekozen voor groei van de luchthaven op	nrc_handelsblad_20030822_20
herroep/verb/nrc_handelsblad_20040119_04/383	aan dat een vrouw zwanger was van een gekloneerd embryo , maar dat is later	herroepen	. Een jaar later zei hij dat de eerste kloonbaby in januari 2003 geboren zou	nrc_handelsblad_20040119_04
herroep/verb/nrc_handelsblad_20011211_116/1101	weigert de grote belastingvermindering die hij eerder dit jaar door het Congres heeft gejast te	herroepen	, ook al worden de rijken er veel beter van . Hij heeft het federale	nrc_handelsblad_20011211_116
herroep/verb/nrc_handelsblad_20011113_31/39	zouden een getuige twee miljoen D-Mark hebben geboden , als die zijn belastende getuigenis zou	herroepen	en tijdens het proces uit Duitsland weg zou gaan . Niet bewezen is of het	nrc_handelsblad_20011113_31
herroep/verb/nrc_handelsblad_20030620_73/23	Duitse en Oostenrijkse afgevaardigden in het Europese Parlement eisten dat Praag de decreten formeel zou	herroepen	. Onder de vorige Tsjechische premier Milo&#353; Zeman liep de woordenstrijd zo hoog op dat	nrc_handelsblad_20030620_73
herroep/verb/nrc_handelsblad_20010215_87/782	Hof van beroep in het hele land , dat het minst geneigd is vonnissen te	herroepen	". 	 Een belangrijk bezwaar van de twee advocaten is dat de staat Virginia veel"	nrc_handelsblad_20010215_87
herroep/verb/nrc_handelsblad_20000621_103/376	"dezelfde rechten hebben als Oost-Timorezen 	 en dat viel slecht bij de generaals . Wahid"	herriep	zijn uitspraak en koos voor een tweesporenbeleid : berechting van door het leger gepleegde wandaden	nrc_handelsblad_20000621_103
herroep/verb/nrc_handelsblad_20001211_26/717	Gore gunstig resultaat een politieke realiteit zou veroorzaken die door een andersluidend vonnis niet meer	herroepen	zou kunnen worden . Dat was een puur politieke taxatie , en waarschijnlijk een geldige	nrc_handelsblad_20001211_26
herroep/verb/nrc_handelsblad_20020411_72/868	terwijl die Christel Ambrosius vasthielden . In een uitzending van misdaadverslaggever Peter R. de Vries	herriep	hij die verklaring . Voor het hof Leeuwarden hield hij aanvankelijk zijn ontlastende verklaring in	nrc_handelsblad_20020411_72
herroep/verb/nrc_handelsblad_20000707_44/1285	zijn en hem de agenten te hebben zien doodschieten , maar die kort daarna werd	herroepen	. Ontlastende informatie voor Peltier over de gebruikte munitie en wapens werd tijdens het proces	nrc_handelsblad_20000707_44
