id	left	target	right	file
horde/noun/nrc_handelsblad_20010421_153/224	dat je in mijn buurt op zondag met de auto op de dijk achter een	horde	zwart geklede schapen reed die weigerden je door te laten omdat zij uit de kerk	nrc_handelsblad_20010421_153
horde/noun/nrc_handelsblad_20020212_10/343	als ongewenst kan worden ` afgeserveerd ' is nog het meest verontrustend . Ik ken	hordes	politici van vaderlandse bodem die in het verleden wel eens gelijk Pim Fortuyn minder genuanceerde	nrc_handelsblad_20020212_10
horde/noun/nrc_handelsblad_20010606_104/487	"besturen , Eritreeërs schepten de kolen . 	 Met een groene seinvlag slaat hij een"	horde	vliegen weg . Viva Duci diende hij de Italianen te groeten toen Rome fascistisch werd	nrc_handelsblad_20010606_104
horde/noun/nrc_handelsblad_20010315_64/307	uit alsof de winterschilder tot de vaste gasten behoort en het elk dag door een	horde	poetsvrouwen onderhanden wordt genomen . Alles glimt en blinkt . Zouden de Lekker-rapporteurs de roestvrij	nrc_handelsblad_20010315_64
horde/noun/nrc_handelsblad_20000525_26/253	in China ook opgetogenheid over het vooruitzicht dat het land , nu de laatste belangrijke	horde	"is geslecht , lid kan worden van de Wereldhandelsorganisatie ( WTO ) . 	 De"	nrc_handelsblad_20000525_26
horde/noun/nrc_handelsblad_20020706_106/504	de gebeurtenissen van de afgelopen maanden iets duidelijk hebben gemaakt , dan is het dat	horden	Nederlandse burgers iets van de Nederlandse staat willen hebben dat de Nederlandse staat hun niet	nrc_handelsblad_20020706_106
horde/noun/nrc_handelsblad_20031229_16/37	"Henk : 	 Een groepje kinderen belde aan . En meteen daarna kregen we de"	horde	over ons heen . Meteen stond er vijftien man binnen . Een cameraploeg . Fotografen	nrc_handelsblad_20031229_16
horde/noun/nrc_handelsblad_20030617_149/348	de Wallen bepalen nog te veel het imago van de stad . Het weekeindtoerisme van	hordes	Engelsen die lallend over de Wallen zwerven en van jongeren die afkomen op de vrije	nrc_handelsblad_20030617_149
horde/noun/nrc_handelsblad_19991020_48/145	, 9 onthoudingen en 4 onreglementair ingevulde stembriefjes . Habibie was gestruikeld over de voorlaatste	horde	"en lag uit de race . 	 Alhamdulillah 	 , God zij geloofd , riep"	nrc_handelsblad_19991020_48
horde/noun/nrc_handelsblad_20010925_8/32	om de beveiliging over te hevelen van de marechaussee naar private beveiligingsbedrijven . De enige	horde	die nog moet worden genomen is goedkeuring van de wet die dit mogelijk maakt door	nrc_handelsblad_20010925_8
horde/noun/nrc_handelsblad_19991015_23/69	van juf Monique betekent dat : weekend ! Buiten basisschool Het Palet verzamelt zich een	horde	moeders , grootouders en een enkele vader , binnen sluiten ze af met een liedje	nrc_handelsblad_19991015_23
horde/noun/nrc_handelsblad_19990409_129/102	in een pornografische verpakking , heeft zich aan zoiets nog niet gewaagd . Maar de	hordes	blijven thuis , hoogstwaarschijnlijk omdat in Middelburg geen kind gemaltraiteerd wordt . Althans niet direct	nrc_handelsblad_19990409_129
horde/noun/nrc_handelsblad_20000921_148/183	Hoe hoog zijn de te verwachte gouden bergen ? Of zal de Chinese industrie de	horden	buitenlandse ondernemers die zijn aangekondigd nog lange tijd het hoofd bieden ? Als de president	nrc_handelsblad_20000921_148
horde/noun/nrc_handelsblad_20001027_102/1546	de meest letterlijke zin , zeggen dat Rome is gevallen omdat het bezweek aan de	horden	barbaren die enerzijds haar grenzen en anderzijds haar instituties onder de voet liepen . Daarbij	nrc_handelsblad_20001027_102
horde/noun/nrc_handelsblad_20030722_60/65	die de Australische ( 30 ) zet , wordt in Barcelona nauwlettend gevolgd door een	horde	tv-camera's en journalisten . Maar Menzies is dan ook de steun en toeverlaat van een	nrc_handelsblad_20030722_60
horde/noun/nrc_handelsblad_20021005_107/592	, roept dat Christus de mensheid tegemoet komt in een Catalaanse boomgaard loopt niet een	horde	gelovigen , maar heel Europa uit . Pelé en Beckenbauer komen ook overgevlogen . Zelfs	nrc_handelsblad_20021005_107
horde/noun/nrc_handelsblad_20031201_103/353	inwoners van wat nu Zimbabwe heet zich honderd jaar geleden hebben gevoeld toen ` blanke	horden	' hun territorium binnenvielen en zwarte stammen verjoegen	nrc_handelsblad_20031201_103
horde/noun/nrc_handelsblad_20000908_42/471	Spelen niet op zondag werd gesport . Het is wel bijzonder aannemelijk dat hij wat	horden	heeft genomen met een boek in zijn hand , waardoor hij zijn evenwicht beter onder	nrc_handelsblad_20000908_42
horde/noun/nrc_handelsblad_20000421_55/126	, nieuwe geld , aan de man gebracht met eigentijdse pr-middelen , bestormd door de	hordes	van de binnen- en buitenlandse pers en geopend door het staatshoofd . Anderzijds is het	nrc_handelsblad_20000421_55
horde/noun/nrc_handelsblad_20020810_127/1777	overleefd , maar staat volgens de 34-jarige Long Nary nu voor de zwaarste test :	hordes	toeristen . Velen klimmen en klauteren over de kwetsbare bouwsels en er zijn op een	nrc_handelsblad_20020810_127
horde/noun/nrc_handelsblad_20020223_39/58	Ook zonder radio of televisie werd vrijwel live verslag gedaan van de gebeurtenissen . Een	horde	journalisten was in Hoek van Holland neergestreken om de kleinste details te noteren . De	nrc_handelsblad_20020223_39
horde/noun/nrc_handelsblad_20010804_109/32	anarchist en sympathisant van de Baader-Meinhoffgroep . Nu is hij zakenman en heeft hij een	horde	atleten onder zijn hoede . Onder hen favorieten voor een titel op de wereldkampioenschappen atletiek	nrc_handelsblad_20010804_109
horde/noun/nrc_handelsblad_20000624_29/82	ook aan hun eigen tombes , kleine piramidetjes . Het beeld van met zwepen opgejaagde	hordes	slaven , bekend uit films , is volgens hem een volstrekt onjuiste voorstelling van zaken	nrc_handelsblad_20000624_29
horde/noun/nrc_handelsblad_20000218_140/309	. Naar verluidt zijn in de Savoy ratten gesignaleerd . Popcorn malende en cola slurpende	hordes	vullen , ook 's middags , de bioscoopzaal . Velen zijn gekomen om zichzelf te	nrc_handelsblad_20000218_140
horde/noun/nrc_handelsblad_19991016_164/1246	kwamen werken , gingen daarna weer naar huis . En ze blijken ook niet de	horde	nasty drugdealing pimps waarvoor ze in de boulevardpers soms zijn uitgemaakt .	nrc_handelsblad_19991016_164
horde/noun/nrc_handelsblad_20020504_165/101	wereldburgers een Elvis-imitator zijn . Een geloofwaardig toekomstbeeld ? Of lachlust opwekkende trivia ? Een	horde	particuliere en professionele beleggers gebruikte ` trends ' als deze om veel geld te verdienen	nrc_handelsblad_20020504_165
horde/noun/nrc_handelsblad_19991201_4/327	Het Dow Jones-gemiddelde begon iets lager , nam in de loop van de middag de	horde	van 11.000 punten om daarna weer terug te vallen tot 10.878 punten . Vergeleken met	nrc_handelsblad_19991201_4
horde/noun/nrc_handelsblad_20031013_99/159	"als Maarten . Maarten heeft god gifted talent . 	 Nu Lafeber gisteren de mentale"	horde	van een eerste overwinning heeft genomen , lijkt een tweede zege een kwestie van tijd	nrc_handelsblad_20031013_99
