id	left	target	right	lemma
aanraking/N/GID_1929_34_pos/2324	. Het is de groote Penelope , zwaar als een moeizame uitbrekende muziekgolf , die opgaande breekt , bij de	aanraking	met een sublieme stilte . Het lichaam is groot en zwaar in verhouding tot het gekantelde hoofd , dat de	aanraking
aanraking/N/GID_1920_16_pos/3454	gewaarwording van niet meer mij zelf te wezen , van over te vloeien in de wereld buiten mij , de	aanraking	met het wezen der dingen , het beleven der Waarheid door de historie . Meent toch niet , dat het	aanraking
aanraking/N/GID_1934_30_pos/2377	zijn wezen , dan toch in het centrum daarvan , zijn diepste Ik - met het goddelijke Ik in directe	aanraking	zou komen , of zelfs daarmede zou samenvallen ; dat het fundamenteelste zijner ‘ vermogens ’ , nl. zijn willen	aanraking
aanraking/N/NVT_1947_27_pos/3871	uit , Pius , dat je je moed in kunt drinken . Een kristallen glasrand begint te zingen vanwege de	aanraking	met de klokkende hals van een fles . HUIB Schenk maar door , Max . Voor elk nog een druifje	aanraking
aanraking/N/GID_1903_59_pos/1915	in stille woudeenzaamheid , verbergt het ook voor het gezin dat hem huisvest . Hij weert met barsche woorden iedere	aanraking	van de reinen met den onreine , maar zijn jammer begraaft hij diep in zijn ziel . De pachter wéét	aanraking
contact/N/DIE_1988_29_pos/659	innige samenwerking , geen familiefeestjes . Alleen op het meest onderkoelde niveau , dat van de wetenschap , zijn de	contacten	neutraal en zakelijk : dat is inherent aan de wetenschap , die oogst waar geoogst kan worden . En de	contact
contact/N/DIE_1990_127_pos/2724	verloop , dat niet_alleen te danken is aan werkkracht en literair talent , maar ook aan gevoel voor de juiste	contacten	en het juiste publicitair vertoon7 . Mishima doodde zichzelf door seppuku en hij plaatste zijn laatste opzienbarende daad daardoor in	contact
contact/N/STR_1947_61_pos/318	inwendige verscheurdheid ten_prooi viel , voltrok zich inderdaad de snelle technische ontwikkeling van het Westen . Wanneer de Westmogendheden nauwer	contact	zochten en - aanvankelijk met zuiver handelspolitieke doeleinden - drukking begonnen uit te oefenen , bleek China nagenoeg hulpeloos .	contact
contact/N/GID_1933_70_pos/330	ontmoetingen heeft , dat is een banale waarheid , maar tenslotte kan men alleen maar diep geïnteresseerd zijn in de	contacten	waaraan men zelf deel heeft . Wat kan mij in allerlaatste instantie het gezicht schelen dat Oscar_Wilde zette wanneer hij	contact
contact/N/DIE_1951_30_pos/2640	standen ) èn naar tijdvakken ( literaire periodes en modes ) , naast een voortdurend vergelijken met andere landen waarmede	contacten	mogelijk zijn en waarvan invloeden kunnen uitgaan . Zoals het wezen van een taal slechts geheel kan doorgrond worden als	contact
contact/N/NVT_1982_118_pos/2438	mythe als intermediair stadium ( Jean_Clair , NVT , p. 373 ) , of het nastreven van een zuiver lichamelijk	contact	, met de materie , met de natuur , de ambachtelijke methode , de oude techniek ( NVT , pp.	contact
contact/N/DIE_1945_12_pos/1943	. De vier jaar lange Duitsche bezetting heeft het jongere geslacht als met verlamming geslagen . Het was van elk	contact	met het buitenland afgesloten . Holland bestond voor ons niet meer . Frankrijk beleefde een inzinking als nooit te voren	contact
contact/N/DIE_1933_78_pos/3843	om dat Sarah haar vroeger leven voortzet met de jongemannen uit zijn omgeving . Hun geheele leven gaan zij zonder	contact	naast elkaar . Sabbatai motiveert zijn keus met te zeggen : ‘ Ook aan de profeet Hosea heeft God bevolen	contact
contact/N/DIE_1992_89_pos/716	op_de_hoogte wilde houden van de vorderingen van het genootschap . Zelf had Haakman ‘ door een akelig misverstand ’ het	contact	met de organisatie verloren . Daarmee was het Kircher-hoofdstuk voor Haakman nog niet afgesloten . Augustus 1991 vertaalde hij voor	contact
contact/N/JAA_1973_21_pos/3345	zijn voordracht Kunst en mystiek , die meermalen gedrukt werd en één zijner kernmotieven ontwikkelde . Daar ook begon zijn	contact	met Reninca , wier eerste bundel Wassend getij ( 1945 ) hij inleidde . Vanuit Antwerpen gaf hij zijn cursus	contact
contact/N/GID_1988_40_pos/527	in de uit te beelden werkelijkheid . De ontwikkeling van deze denkbeelden moet in verband worden gebracht met het intensieve	contact	dat Rilke in deze tijd heeft met de beeldende kunst . Rilke vestigt zich in Parijs na een langdurig verblijf	contact
