cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_1	ann_2	votes
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L0	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L0	een	det	een/det	een	True	L	1	0.6259256	11075723	1032	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L1	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L1	voorspel	verb	voorspel/verb	voorspellen	True	L	2	2.7707014	22728	18	FALSE	TRUE	TRUE	2
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L2	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L2	olie_prijs	noun	olie_prijs/noun	olieprijzen	True	L	3	1.7279105	7246	2	FALSE	TRUE	TRUE	2
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L3	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L3	dat	comp	dat/comp	dat	True	L	4	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L4	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L4	onverkort	adj	onverkort/adj	onverkort	True	L	5	3.3299274	722	1	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L5	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L5	natuurlijk	adj	natuurlijk/adj	natuurlijk	True	L	6	0.4720589	149989	12	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L6	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L6	geld	verb	geld/verb	geldt	True	L	7	-0.20329542	73758	3	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L7	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L7	al	comp	al/comp	Al	True	L	8	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L8	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L8	sentence_delimiter	none	none	<sentence>	none	L	9	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L9	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L9	sentence_delimiter	none	none	</sentence>	none	L	10	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L10	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L10	.	punct	./punct	.	False	L	11	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L11	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L11	het	det	het/det	het	False	L	12	0.19293958	11650779	703	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L12	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L12	lijk	verb	lijk/verb	lijkt	False	L	13	0.80350864	233946	26	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L13	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L13	zo	adv	zo/adv	zo	False	L	14	0.042567227	748301	39	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L14	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L14	,	punct	,/punct	,	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/L15	hachelijk/adj/nrc_handelsblad_20010116_73/1204	L15	dus	adv	dus/adv	dus	False	L	16	0.2804228	257023	17	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/R0	hachelijk/adj/nrc_handelsblad_20010116_73/1204	R0	zaak	noun	zaak/noun	zaak	True	R	1	2.4318294999999996	181886	103	FALSE	TRUE	TRUE	2
hachelijk/adj/nrc_handelsblad_20010116_73/1204/R1	hachelijk/adj/nrc_handelsblad_20010116_73/1204	R1	ben	verb	ben/verb	is	True	R	2	0.27487627	9938754	651	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/R2	hachelijk/adj/nrc_handelsblad_20010116_73/1204	R2	.	punct	./punct	.	True	R	3	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/R3	hachelijk/adj/nrc_handelsblad_20010116_73/1204	R3	sentence_delimiter	none	none	</sentence>	none	R	4	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20010116_73/1204/R4	hachelijk/adj/nrc_handelsblad_20010116_73/1204	R4	sentence_delimiter	none	none	</artikel>	none	R	5	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L0	hachelijk/adj/nrc_handelsblad_20011010_57/298	L0	een	det	een/det	een	True	L	1	0.6259256	11075723	1032	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L1	hachelijk/adj/nrc_handelsblad_20011010_57/298	L1	kan	verb	kan/verb	kan	True	L	2	0.123528555	1969534	111	FALSE	TRUE	TRUE	2
hachelijk/adj/nrc_handelsblad_20011010_57/298/L2	hachelijk/adj/nrc_handelsblad_20011010_57/298	L2	dat	det	dat/det	Dat	True	L	3	0.18311912	1849436	111	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L3	hachelijk/adj/nrc_handelsblad_20011010_57/298	L3	sentence_delimiter	none	none	<sentence>	none	L	4	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L4	hachelijk/adj/nrc_handelsblad_20011010_57/298	L4	sentence_delimiter	none	none	</sentence>	none	L	5	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L5	hachelijk/adj/nrc_handelsblad_20011010_57/298	L5	.	punct	./punct	.	False	L	6	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L6	hachelijk/adj/nrc_handelsblad_20011010_57/298	L6	lever_op	verb	lever_op/verb	opleveren	False	L	7	1.3533356	72903	14	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L7	hachelijk/adj/nrc_handelsblad_20011010_57/298	L7	moet	verb	moet/verb	moet	False	L	8	0.26507685	1557442	101	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L8	hachelijk/adj/nrc_handelsblad_20011010_57/298	L8	bedrag	noun	bedrag/noun	bedrag	False	L	9	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L9	hachelijk/adj/nrc_handelsblad_20011010_57/298	L9	geleend	adj	geleend/adj	geleende	False	L	10	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L10	hachelijk/adj/nrc_handelsblad_20011010_57/298	L10	het	det	het/det	het	False	L	11	0.19293958	11650779	703	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L11	hachelijk/adj/nrc_handelsblad_20011010_57/298	L11	jaar	noun	jaar/noun	jaar	False	L	12	-0.5753643	1574348	44	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L12	hachelijk/adj/nrc_handelsblad_20011010_57/298	L12	30	num	30/num	30	False	L	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L13	hachelijk/adj/nrc_handelsblad_20011010_57/298	L13	van	prep	van/prep	van	False	L	14	-0.08943730000000001	12638933	575	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L14	hachelijk/adj/nrc_handelsblad_20011010_57/298	L14	rit	noun	rit/noun	rit	False	L	15	0.734628	19328	2	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/L15	hachelijk/adj/nrc_handelsblad_20011010_57/298	L15	de	det	de/det	de	False	L	16	0.05761279	28074105	1479	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/R0	hachelijk/adj/nrc_handelsblad_20011010_57/298	R0	rit	noun	rit/noun	rit	True	R	1	0.734628	19328	2	TRUE	TRUE	TRUE	3
hachelijk/adj/nrc_handelsblad_20011010_57/298/R1	hachelijk/adj/nrc_handelsblad_20011010_57/298	R1	word	verb	word/verb	worden	True	R	2	0.4748744000000001	3486710	279	FALSE	TRUE	FALSE	1
hachelijk/adj/nrc_handelsblad_20011010_57/298/R2	hachelijk/adj/nrc_handelsblad_20011010_57/298	R2	als	comp	als/comp	als	True	R	3	NA	NA	NA	FALSE	TRUE	FALSE	1
hachelijk/adj/nrc_handelsblad_20011010_57/298/R3	hachelijk/adj/nrc_handelsblad_20011010_57/298	R3	de	det	de/det	de	True	R	4	0.05761279	28074105	1479	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/R4	hachelijk/adj/nrc_handelsblad_20011010_57/298	R4	beurs	noun	beurs/noun	beurzen	True	R	5	-0.9978795	55437	1	FALSE	TRUE	FALSE	1
hachelijk/adj/nrc_handelsblad_20011010_57/298/R5	hachelijk/adj/nrc_handelsblad_20011010_57/298	R5	blijf	verb	blijf/verb	blijven	True	R	6	0.7834723000000001	516893	56	FALSE	TRUE	FALSE	1
hachelijk/adj/nrc_handelsblad_20011010_57/298/R6	hachelijk/adj/nrc_handelsblad_20011010_57/298	R6	daal	verb	daal/verb	dalen	True	R	7	-0.20336632	49482	2	FALSE	TRUE	FALSE	1
hachelijk/adj/nrc_handelsblad_20011010_57/298/R7	hachelijk/adj/nrc_handelsblad_20011010_57/298	R7	en	vg	en/vg	en	True	R	8	NA	NA	NA	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/R8	hachelijk/adj/nrc_handelsblad_20011010_57/298	R8	de	det	de/det	de	True	R	9	0.05761279	28074105	1479	FALSE	FALSE	FALSE	0
hachelijk/adj/nrc_handelsblad_20011010_57/298/R9	hachelijk/adj/nrc_handelsblad_20011010_57/298	R9	gewenst	adj	gewenst/adj	gewenste	True	R	10	1.0766788999999999	6855	1	FALSE	FALSE	FALSE	0
